date,year,month,region,product,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,North America,Enterprise,Partner Network,0.72,1.0457,0.9937,1.0017,0.252,0.5061,0,41076.0,36.65,1505517.54,678160.38,827357.16,150551.75,301103.51,375701.9,1530.61,374171.29,571.43,85927.97,287671.89
2024-01-01,2024,1,North America,Pro Plan,Partner Network,0.72,1.0457,0.9937,1.0017,0.2184,0.4964,0,24881.0,58.9,1465433.97,660104.73,805329.24,146543.4,293086.79,365699.05,1530.61,364168.44,571.43,83627.31,279969.7
2024-01-01,2024,1,North America,Apparel,Partner Network,0.72,1.0457,0.9937,1.0017,0.0938,0.4625,0,43875.0,42.82,1878602.57,846216.53,1032386.04,187860.26,375720.51,468805.27,1530.61,467274.66,571.43,107341.74,359361.49
2024-01-01,2024,1,North America,Footwear,Partner Network,0.72,1.0457,0.9937,1.0017,0.4077,0.5556,0,40872.0,58.19,2378344.45,1071325.26,1307019.19,237834.44,475668.89,593515.86,1530.61,591985.24,571.43,136025.18,455388.64
2024-01-01,2024,1,North America,Accessories,Partner Network,0.72,1.0457,0.9937,1.0017,0.2841,0.5158,0,18606.0,35.18,654608.0,294868.17,359739.83,65460.8,130921.6,163357.43,1530.61,161826.81,571.43,37088.74,124166.65
2024-01-01,2024,1,North America,Home & Living,Partner Network,0.72,1.0457,0.9937,1.0017,0.1229,0.4701,0,21225.0,39.82,845190.18,380715.91,464474.26,84519.02,169038.04,210917.21,1530.61,209386.6,571.43,48027.49,160787.68
2024-01-01,2024,1,North America,Beauty & Health,Partner Network,0.72,1.0457,0.9937,1.0017,0.1771,0.4847,0,21513.0,53.41,1149027.74,517579.54,631448.19,114902.77,229805.55,286739.87,1530.61,285209.26,571.43,65466.7,219171.13
2024-01-01,2024,1,Europe,Enterprise,Partner Network,0.72,1.0457,1.0097,1.0017,0.3854,0.5481,0,44481.0,35.07,1559767.27,702597.17,857170.1,155976.73,311953.45,389239.92,1530.61,387709.31,571.43,89041.71,298096.17
2024-01-01,2024,1,Europe,Pro Plan,Partner Network,0.72,1.0457,1.0097,1.0017,0.1889,0.488,0,24462.0,59.46,1454409.97,655138.97,799271.0,145441.0,290881.99,362948.01,1530.61,361417.39,571.43,82994.57,277851.39
2024-01-01,2024,1,Europe,Apparel,Partner Network,0.72,1.0457,1.0097,1.0017,0.4879,0.5842,0,55415.0,37.61,2084038.64,938755.2,1145283.43,208403.86,416807.73,520071.84,1530.61,518541.23,571.43,119133.05,398836.75
2024-01-01,2024,1,Europe,Footwear,Partner Network,0.72,1.0457,1.0097,1.0017,0.5531,0.609,0,44800.0,55.3,2477349.76,1115922.2,1361427.56,247734.98,495469.95,618222.63,1530.61,616692.02,571.43,141707.74,474412.86
2024-01-01,2024,1,Europe,Accessories,Partner Network,0.72,1.0457,1.0097,1.0017,0.5717,0.6165,0,22239.0,31.86,708608.3,319192.61,389415.69,70860.83,141721.66,176833.2,1530.61,175302.59,571.43,40188.17,134542.99
2024-01-01,2024,1,Europe,Home & Living,Partner Network,0.72,1.0457,1.0097,1.0017,0.4185,0.5594,0,25256.0,36.15,913091.05,411301.86,501789.19,91309.11,182618.21,227861.87,1530.61,226331.26,571.43,51924.76,173835.07
2024-01-01,2024,1,Europe,Beauty & Health,Partner Network,0.72,1.0457,1.0097,1.0017,0.239,0.5023,0,22294.0,52.36,1167377.17,525845.05,641532.12,116737.72,233475.43,291318.97,1530.61,289788.36,571.43,66519.89,222697.04
2024-01-01,2024,1,Northeast US,Enterprise,Partner Network,0.72,1.0457,0.9867,1.0017,0.142,0.4752,0,38561.0,37.96,1463843.16,659388.15,804455.01,146384.32,292768.63,365302.06,1530.61,363771.45,571.43,83536.0,279664.02
2024-01-01,2024,1,Northeast US,Pro Plan,Partner Network,0.72,1.0457,0.9867,1.0017,0.225,0.4982,0,24975.0,58.77,1467893.5,661212.63,806680.87,146789.35,293578.7,366312.82,1530.61,364782.21,571.43,83768.48,280442.3
2024-01-01,2024,1,Northeast US,Apparel,Partner Network,0.72,1.0457,0.9867,1.0017,0.2293,0.4995,0,47382.0,41.03,1943922.14,875639.73,1068282.41,194392.21,388784.43,485105.77,1530.61,483575.16,571.43,111090.86,371912.87
2024-01-01,2024,1,Northeast US,Footwear,Partner Network,0.72,1.0457,0.9867,1.0017,0.1069,0.4659,0,34272.0,64.17,2199269.82,990661.09,1208608.73,219926.98,439853.96,548827.78,1530.61,547297.17,571.43,125746.92,420978.82
2024-01-01,2024,1,Northeast US,Accessories,Partner Network,0.72,1.0457,0.9867,1.0017,0.093,0.4623,0,16678.0,37.39,623540.72,280873.92,342666.81,62354.07,124708.14,155604.59,1530.61,154073.98,571.43,35305.59,118196.96
2024-01-01,2024,1,Northeast US,Home & Living,Partner Network,0.72,1.0457,0.9867,1.0017,0.2911,0.5179,0,23384.0,37.73,882369.57,397463.37,484906.2,88236.96,176473.91,220195.33,1530.61,218664.71,571.43,50161.46,167931.83
2024-01-01,2024,1,Northeast US,Beauty & Health,Partner Network,0.72,1.0457,0.9867,1.0017,0.389,0.5493,0,24380.0,49.82,1214717.01,547169.28,667547.73,121471.7,242943.4,303132.63,1530.61,301602.02,571.43,69237.04,231793.55
2024-01-01,2024,1,Southeast US,Enterprise,Partner Network,0.72,1.0457,0.981,1.0017,0.2278,0.4991,0,40500.0,36.94,1496110.56,673923.0,822187.56,149611.06,299222.11,373354.39,1530.61,371823.78,571.43,85388.04,285864.31
2024-01-01,2024,1,Southeast US,Pro Plan,Partner Network,0.72,1.0457,0.981,1.0017,0.0982,0.4637,0,23242.0,61.17,1421705.64,640407.31,781298.34,142170.56,284341.13,354786.64,1530.61,353256.03,571.43,81117.46,271567.14
2024-01-01,2024,1,Southeast US,Apparel,Partner Network,0.72,1.0457,0.981,1.0017,0.1394,0.4745,0,45010.0,42.21,1900041.74,855873.8,1044167.94,190004.17,380008.35,474155.42,1530.61,472624.8,571.43,108572.28,363481.1
2024-01-01,2024,1,Southeast US,Footwear,Partner Network,0.72,1.0457,0.981,1.0017,0.0197,0.4441,0,32666.0,65.91,2152856.81,969754.35,1183102.46,215285.68,430571.36,537245.42,1530.61,535714.81,571.43,123082.98,412060.4
2024-01-01,2024,1,Southeast US,Accessories,Partner Network,0.72,1.0457,0.981,1.0017,0.2891,0.5173,0,18661.0,35.13,655465.69,295254.52,360211.17,65546.57,131093.14,163571.46,1530.61,162040.85,571.43,37137.97,124331.45
2024-01-01,2024,1,Southeast US,Home & Living,Partner Network,0.72,1.0457,0.981,1.0017,0.1192,0.4691,0,21181.0,39.87,844407.89,380363.53,464044.35,84440.79,168881.58,210721.99,1530.61,209191.38,571.43,47982.59,160637.36
2024-01-01,2024,1,Southeast US,Beauty & Health,Partner Network,0.72,1.0457,0.981,1.0017,0.2139,0.4951,0,21973.0,52.79,1159862.02,522459.85,637402.17,115986.2,231972.4,289443.57,1530.61,287912.95,571.43,66088.55,221252.97
2024-01-01,2024,1,Midwest US,Enterprise,Partner Network,0.72,1.0457,0.9852,1.0017,0.2751,0.5131,0,41637.0,36.38,1514621.06,682261.05,832360.0,151462.11,302924.21,377973.68,1530.61,376443.07,571.43,86450.48,289421.17
2024-01-01,2024,1,Midwest US,Pro Plan,Partner Network,0.72,1.0457,0.9852,1.0017,0.2472,0.5047,0,25301.0,58.35,1476360.8,665026.72,811334.08,147636.08,295272.16,368425.84,1530.61,366895.23,571.43,84254.47,282069.32
2024-01-01,2024,1,Midwest US,Apparel,Partner Network,0.72,1.0457,0.9852,1.0017,0.1504,0.4774,0,45290.0,42.07,1905290.15,858237.95,1047052.2,190529.01,381058.03,475465.16,1530.61,473934.54,571.43,108873.52,364489.6
2024-01-01,2024,1,Midwest US,Footwear,Partner Network,0.72,1.0457,0.9852,1.0017,0.2723,0.5122,0,37676.0,60.88,2293802.53,1033243.35,1260559.18,229380.25,458760.51,572418.42,1530.61,570887.81,571.43,131172.77,439143.61
2024-01-01,2024,1,Midwest US,Accessories,Partner Network,0.72,1.0457,0.9852,1.0017,0.1017,0.4645,0,16758.0,37.29,624873.1,281474.09,343399.01,62487.31,124974.62,155937.08,1530.61,154406.47,571.43,35382.06,118452.98
2024-01-01,2024,1,Midwest US,Home & Living,Partner Network,0.72,1.0457,0.9852,1.0017,0.1233,0.4702,0,21231.0,39.81,845282.52,380757.51,464525.01,84528.25,169056.5,210940.25,1530.61,209409.64,571.43,48032.79,160805.42
2024-01-01,2024,1,Midwest US,Beauty & Health,Partner Network,0.72,1.0457,0.9852,1.0017,0.1816,0.486,0,21568.0,53.33,1150326.29,518164.48,632161.81,115032.63,230065.26,287063.93,1530.61,285533.31,571.43,65541.23,219420.65
2024-01-01,2024,1,West US,Enterprise,Partner Network,0.72,1.0457,0.9882,1.0017,0.1908,0.4885,0,39647.0,37.38,1482008.92,667570.92,814438.0,148200.89,296401.78,369835.33,1530.61,368304.71,571.43,84578.66,283154.63
2024-01-01,2024,1,West US,Pro Plan,Partner Network,0.72,1.0457,0.9882,1.0017,0.1693,0.4826,0,24190.0,59.83,1447193.26,651888.2,795305.06,144719.33,289438.65,361147.08,1530.61,359616.47,571.43,82580.36,276464.68
2024-01-01,2024,1,West US,Apparel,Partner Network,0.72,1.0457,0.9882,1.0017,0.2291,0.4995,0,47378.0,41.03,1943850.38,875607.4,1068242.98,194385.04,388770.08,485087.86,1530.61,483557.25,571.43,111086.74,371899.08
2024-01-01,2024,1,West US,Footwear,Partner Network,0.72,1.0457,0.9882,1.0017,0.1905,0.4885,0,35930.0,62.51,2245926.66,1011677.67,1234249.0,224592.67,449185.33,560471.0,1530.61,558940.39,571.43,128424.86,429944.1
2024-01-01,2024,1,West US,Accessories,Partner Network,0.72,1.0457,0.9882,1.0017,0.1446,0.4759,0,17166.0,36.79,631588.84,284499.19,347089.65,63158.88,126317.77,157612.99,1530.61,156082.38,571.43,35767.52,119743.43
2024-01-01,2024,1,West US,Home & Living,Partner Network,0.72,1.0457,0.9882,1.0017,0.0485,0.4511,0,20368.0,40.74,829847.3,373804.72,456042.59,82984.73,165969.46,207088.39,1530.61,205557.78,571.43,47146.86,157839.49
2024-01-01,2024,1,West US,Beauty & Health,Partner Network,0.72,1.0457,0.9882,1.0017,0.0736,0.4574,0,20300.0,55.16,1119749.25,504391.05,615358.2,111974.92,223949.85,279433.43,1530.61,277902.81,571.43,63786.22,213545.17
2024-01-01,2024,1,International,Enterprise,Partner Network,0.72,1.0457,0.8779,1.0017,0.2828,0.5154,0,41825.0,36.29,1517667.01,683633.1,834033.91,151766.7,303533.4,378733.8,1530.61,377203.19,571.43,86625.31,290006.46
2024-01-01,2024,1,International,Pro Plan,Partner Network,0.72,1.0457,0.8779,1.0017,0.6713,0.6586,0,33012.0,50.34,1661668.34,748498.51,913169.84,166166.83,332333.67,414669.34,1530.61,413138.72,571.43,94890.48,317676.82
2024-01-01,2024,1,International,Apparel,Partner Network,0.72,1.0457,0.8779,1.0017,0.0877,0.461,0,43727.0,42.9,1875779.47,844944.86,1030834.61,187577.95,375155.89,468100.77,1530.61,466570.16,571.43,107179.71,358819.02
2024-01-01,2024,1,International,Footwear,Partner Network,0.72,1.0457,0.8779,1.0017,0.0835,0.4599,0,33829.0,64.64,2186593.26,984950.93,1201642.33,218659.33,437318.65,545664.35,1530.61,544133.74,571.43,125019.33,418542.98
2024-01-01,2024,1,International,Accessories,Partner Network,0.72,1.0457,0.8779,1.0017,0.2378,0.502,0,18108.0,35.72,646761.85,291333.87,355427.97,64676.18,129352.37,161399.42,1530.61,159868.81,571.43,36638.4,122658.98
