date,year,month,Region,Product,Channel,dp,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Northeast US,Apparel,Direct Sales,pd,1.0,1.0457,0.9937,1.0017,0.3249,0.7339,0,26104.0,36.41,950495.6,428150.74,522344.85,95049.56,190099.12,237196.18,714.29,236481.89,266.67,54329.5,181885.72
2023-01-01,2023,1,Northeast US,Apparel,Direct Sales,hi,1.0,1.0457,0.9937,1.0017,0.1402,0.6593,0,23450.0,38.65,906260.75,408225.15,498035.59,90626.07,181252.15,226157.37,714.29,225443.08,266.67,51790.58,173385.84
2023-01-01,2023,1,Northeast US,Apparel,Direct Sales,feippfn,1.0,1.0457,0.9937,1.0017,0.1671,0.6694,0,23810.0,38.32,912421.18,411000.12,501421.06,91242.12,182484.24,227694.71,714.29,226980.42,266.67,52144.16,174569.59
2023-01-01,2023,1,Northeast US,Footwear,Direct Sales,pd,1.0,1.0457,0.9937,1.0017,0.1612,0.6672,0,23730.0,38.39,911061.71,410387.75,500673.96,91106.17,182212.34,227355.45,714.29,226641.16,266.67,52066.13,174308.36
2023-01-01,2023,1,Northeast US,Footwear,Direct Sales,hi,1.0,1.0457,0.9937,1.0017,0.1087,0.6477,0,23039.0,39.03,899168.42,405030.42,494138.01,89916.84,179833.68,224387.48,714.29,223673.19,266.67,51383.5,172023.03
2023-01-01,2023,1,Northeast US,Footwear,Direct Sales,feippfn,1.0,1.0457,0.9937,1.0017,0.0853,0.6394,0,22741.0,39.31,893974.18,402690.67,491283.51,89397.42,178794.84,223091.26,714.29,222376.97,266.67,51085.37,171024.93
2023-01-01,2023,1,Northeast US,Accessories,Direct Sales,pd,1.0,1.0457,0.9937,1.0017,0.2211,0.6905,0,24558.0,37.67,925051.99,416689.67,508362.32,92505.2,185010.4,230846.72,714.29,230132.44,266.67,52869.13,176996.64
2023-01-01,2023,1,Northeast US,Accessories,Direct Sales,hi,1.0,1.0457,0.9937,1.0017,0.2249,0.692,0,24612.0,37.62,925953.42,417095.72,508857.7,92595.34,185190.68,231071.68,714.29,230357.39,266.67,52920.87,177169.86
2023-01-01,2023,1,Northeast US,Accessories,Direct Sales,feippfn,1.0,1.0457,0.9937,1.0017,0.2051,0.6841,0,24332.0,37.86,921254.57,414979.12,506275.45,92125.46,184250.91,229899.08,714.29,229184.79,266.67,52651.17,176266.96
2023-01-01,2023,1,Northeast US,Home & Living,Direct Sales,pd,1.0,1.0457,0.9937,1.0017,0.1108,0.6485,0,23066.0,39.0,899638.91,405242.35,494396.57,89963.89,179927.78,224504.89,714.29,223790.61,266.67,51410.51,172113.43
