date,year,month,region,product,channel,new d,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,North America,Enterprise,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.0444,0.731,0,83987.0,9.37,786797.19,409611.86,377185.33,62943.78,94415.66,219825.89,535.71,219290.17,214.29,54768.97,164306.92
2024-01-01,2024,1,North America,Enterprise,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.3954,0.8562,0,98363.0,8.37,823131.11,428527.54,394603.57,65850.49,98775.73,229977.34,535.71,229441.63,214.29,57306.84,171920.51
2024-01-01,2024,1,North America,Enterprise,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.0262,0.7254,0,83342.0,9.42,785065.53,408710.35,376355.18,62805.24,94207.86,219342.08,535.71,218806.36,214.29,54648.02,163944.06
2024-01-01,2024,1,North America,Pro Plan,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.0828,0.7432,0,93052.0,8.89,827495.74,430799.8,396695.94,66199.66,99299.49,231196.79,535.71,230661.08,214.29,57611.7,172835.09
2024-01-01,2024,1,North America,Pro Plan,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.2737,0.8089,0,101278.0,8.37,847766.46,441352.87,406413.59,67821.32,101731.98,236860.3,535.71,236324.58,214.29,59027.57,177082.72
2024-01-01,2024,1,North America,Pro Plan,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.1659,0.7706,0,96488.0,8.67,836112.05,435285.51,400826.54,66888.96,100333.45,233604.13,535.71,233068.42,214.29,58213.53,174640.6
2024-01-01,2024,1,North America,Snacks,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.1723,0.7728,0,61110.0,11.04,674738.08,351273.14,323464.94,53979.05,80968.57,188517.32,535.71,187981.61,214.29,46941.83,140825.49
2024-01-01,2024,1,North America,Snacks,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.3774,0.8489,0,67128.0,10.32,693090.52,360827.55,332262.98,55447.24,83170.86,193644.87,535.71,193109.16,214.29,48223.72,144671.15
2024-01-01,2024,1,North America,Snacks,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.3053,0.8207,0,64901.0,10.58,686439.42,357364.94,329074.48,54915.15,82372.73,191786.6,535.71,191250.88,214.29,47759.15,143277.45
2024-01-01,2024,1,North America,Beverages,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.1287,0.7581,0,104293.0,9.29,968619.53,504269.78,464349.74,77489.56,116234.34,270625.84,535.71,270090.12,214.29,67468.96,202406.88
2024-01-01,2024,1,North America,Beverages,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.0373,0.7289,0,100270.0,9.55,957792.59,498633.21,459159.38,76623.41,114935.11,267600.87,535.71,267065.15,214.29,66712.72,200138.15
2024-01-01,2024,1,North America,Beverages,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.1133,0.753,0,103596.0,9.33,966766.29,503304.98,463461.32,77341.3,116011.96,270108.06,535.71,269572.34,214.29,67339.51,202018.54
2024-01-01,2024,1,North America,Personal Care,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.1178,0.7545,0,137410.0,9.89,1358509.07,707248.88,651260.19,108680.73,163021.09,379558.38,535.71,379022.66,214.29,94702.09,284106.28
2024-01-01,2024,1,North America,Personal Care,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.3,0.8187,0,149101.0,9.33,1390574.58,723942.4,666632.18,111245.97,166868.95,388517.27,535.71,387981.55,214.29,96941.82,290825.45
2024-01-01,2024,1,North America,Personal Care,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.4305,0.8707,0,158569.0,8.93,1415251.19,736789.21,678461.99,113220.1,169830.14,395411.75,535.71,394876.03,214.29,98665.44,295996.31
2024-01-01,2024,1,North America,Household,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.0595,0.7358,0,77837.0,13.6,1058205.85,550909.02,507296.83,84656.47,126984.7,295655.66,535.71,295119.95,214.29,73726.42,221179.25
2024-01-01,2024,1,North America,Household,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.1612,0.769,0,81351.0,13.17,1071639.56,557902.7,513736.86,85731.16,128596.75,299408.95,535.71,298873.23,214.29,74664.74,223994.21
2024-01-01,2024,1,North America,Household,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.3529,0.8391,0,88770.0,12.38,1098697.79,571989.39,526708.39,87895.82,131843.73,306968.84,535.71,306433.12,214.29,76554.71,229664.13
2024-01-01,2024,1,North America,Baby & Child,Direct Sales,a,1.0,1.0457,0.9937,1.0017,0.127,0.7576,0,47734.0,13.4,639537.59,332947.53,306590.06,51163.01,76744.51,178682.54,535.71,178146.82,214.29,44483.13,133449.4
2024-01-01,2024,1,North America,Baby & Child,Direct Sales,b,1.0,1.0457,0.9937,1.0017,0.289,0.8146,0,51327.0,12.72,652936.12,339922.9,313013.22,52234.89,78352.33,182426.0,535.71,181890.28,214.29,45419.0,136257.0
2024-01-01,2024,1,North America,Baby & Child,Direct Sales,c,1.0,1.0457,0.9937,1.0017,0.2594,0.8036,0,50637.0,12.84,650416.81,338611.33,311805.48,52033.35,78050.02,181722.12,535.71,181186.41,214.29,45243.03,135729.09
2024-01-01,2024,1,Europe,Enterprise,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.2536,0.8015,0,92083.0,8.77,807760.62,420525.56,387235.05,64620.85,96931.27,225682.93,535.71,225147.22,214.29,56233.23,168699.7
2024-01-01,2024,1,Europe,Enterprise,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.1458,0.7638,0,87754.0,9.08,796721.16,414778.35,381942.81,63737.69,95606.54,222598.58,535.71,222062.87,214.29,55462.15,166386.44
2024-01-01,2024,1,Europe,Enterprise,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.0953,0.7472,0,85842.0,9.22,791722.49,412176.01,379546.48,63337.8,95006.7,221201.99,535.71,220666.27,214.29,55113.0,165338.99
2024-01-01,2024,1,Europe,Pro Plan,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.1556,0.7671,0,96049.0,8.69,835024.59,434719.37,400305.22,66801.97,100202.95,233300.3,535.71,232764.59,214.29,58137.58,174412.73
2024-01-01,2024,1,Europe,Pro Plan,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.2659,0.806,0,100919.0,8.39,846907.93,440905.91,406002.02,67752.63,101628.95,236620.43,535.71,236084.72,214.29,58967.61,176902.82
2024-01-01,2024,1,Europe,Pro Plan,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.0282,0.726,0,90905.0,9.04,821993.81,427935.46,394058.35,65759.5,98639.26,229659.59,535.71,229123.88,214.29,57227.4,171682.19
2024-01-01,2024,1,Europe,Snacks,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.5408,0.9192,0,72691.0,9.75,709036.46,369129.11,339907.35,56722.92,85084.38,198100.06,535.71,197564.35,214.29,49337.52,148012.55
2024-01-01,2024,1,Europe,Snacks,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.0175,0.7228,0,57156.0,11.58,661962.76,344622.22,317340.53,52957.02,79435.53,184947.98,535.71,184412.27,214.29,46049.5,138148.49
2024-01-01,2024,1,Europe,Snacks,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.0315,0.7271,0,57495.0,11.53,663083.17,345205.52,317877.65,53046.65,79569.98,185261.02,535.71,184725.3,214.29,46127.75,138383.26
2024-01-01,2024,1,Europe,Beverages,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.0837,0.7435,0,102278.0,9.42,963235.47,501466.81,461768.66,77058.84,115588.26,269121.57,535.71,268585.85,214.29,67092.89,201278.68
2024-01-01,2024,1,Europe,Beverages,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.1329,0.7595,0,104487.0,9.28,969132.65,504536.92,464595.73,77530.61,116295.92,270769.2,535.71,270233.49,214.29,67504.8,202514.4
2024-01-01,2024,1,Europe,Beverages,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.1759,0.774,0,106484.0,9.15,974389.89,507273.87,467116.02,77951.19,116926.79,272238.04,535.71,271702.32,214.29,67872.01,203616.03
2024-01-01,2024,1,Europe,Personal Care,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.1799,0.7754,0,141214.0,9.7,1369148.9,712788.05,656360.86,109531.91,164297.87,382531.08,535.71,381995.36,214.29,95445.27,286335.81
2024-01-01,2024,1,Europe,Personal Care,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.1935,0.7801,0,142074.0,9.65,1371525.98,714025.57,657500.41,109722.08,164583.12,383195.22,535.71,382659.5,214.29,95611.3,286833.91
2024-01-01,2024,1,Europe,Personal Care,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.1082,0.7514,0,136839.0,9.92,1356892.42,706407.24,650485.18,108551.39,162827.09,379106.7,535.71,378570.98,214.29,94589.17,283767.52
2024-01-01,2024,1,Europe,Household,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.4466,0.8775,0,92833.0,11.99,1112835.59,579349.63,533485.96,89026.85,133540.27,310918.84,535.71,310383.13,214.29,77542.21,232626.63
2024-01-01,2024,1,Europe,Household,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.1503,0.7653,0,80962.0,13.22,1070172.99,557139.19,513033.8,85613.84,128420.76,298999.2,535.71,298463.48,214.29,74562.3,223686.9
2024-01-01,2024,1,Europe,Household,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.1835,0.7766,0,82158.0,13.08,1074668.12,559479.39,515188.73,85973.45,128960.17,300255.11,535.71,299719.39,214.29,74876.28,224628.83
2024-01-01,2024,1,Europe,Baby & Child,Direct Sales,a,1.0,1.0457,1.0905,1.0017,0.067,0.7381,0,46511.0,13.65,634811.41,330487.05,304324.36,50784.91,76177.37,177362.08,535.71,176826.36,214.29,44153.02,132459.06
2024-01-01,2024,1,Europe,Baby & Child,Direct Sales,b,1.0,1.0457,1.0905,1.0017,0.1586,0.7681,0,48400.0,13.27,642071.1,334266.49,307804.6,51365.69,77048.53,179390.38,535.71,178854.67,214.29,44660.1,133980.29
2024-01-01,2024,1,Europe,Baby & Child,Direct Sales,c,1.0,1.0457,1.0905,1.0017,0.3839,0.8515,0,53653.0,12.32,661257.68,344255.15,317002.52,52900.61,79350.92,184750.99,535.71,184215.27,214.29,46000.25,138000.74
2024-01-01,2024,1,Asia Pacific,Enterprise,Direct Sales,a,1.0,1.0457,0.7302,1.0017,0.3561,0.8404,0,96552.0,8.48,818770.75,426257.51,392513.24,65501.66,98252.49,228759.09,535.71,228223.38,214.29,57002.27,171006.82
2024-01-01,2024,1,Asia Pacific,Enterprise,Direct Sales,b,1.0,1.0457,0.7302,1.0017,0.3282,0.8295,0,95298.0,8.56,815718.3,424668.39,391049.92,65257.46,97886.2,227906.26,535.71,227370.54,214.29,56789.06,170367.19
2024-01-01,2024,1,Asia Pacific,Enterprise,Direct Sales,c,1.0,1.0457,0.7302,1.0017,0.1899,0.7789,0,89481.0,8.95,801171.67,417095.31,384076.36,64093.73,96140.6,223842.02,535.71,223306.31,214.29,55773.01,167319.02
2024-01-01,2024,1,Asia Pacific,Pro Plan,Direct Sales,a,1.0,1.0457,0.7302,1.0017,0.1819,0.7761,0,97174.0,8.62,837807.18,436168.0,401639.18,67024.57,100536.86,234077.74,535.71,233542.03,214.29,58331.94,174995.81
2024-01-01,2024,1,Asia Pacific,Pro Plan,Direct Sales,b,1.0,1.0457,0.7302,1.0017,0.3327,0.8313,0,104080.0,8.21,854402.12,444807.44,409594.68,68352.17,102528.25,238714.26,535.71,238178.54,214.29,59491.06,178473.19
2024-01-01,2024,1,Asia Pacific,Pro Plan,Direct Sales,c,1.0,1.0457,0.7302,1.0017,0.1403,0.762,0,95406.0,8.74,833422.59,433885.36,399537.23,66673.81,100010.71,232852.71,535.71,232317.0,214.29,58025.68,174077.04
