date,year,month,region,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,North America,1.0,1.0457,0.9937,1.0017,0.0828,0.7432,0,95670.0,11.37,1087602.66,566213.2,521389.47,87008.21,130512.32,303868.93,9000.0,294868.93,3600.0,72817.23,218451.7
2024-01-01,2024,1,Europe,1.0,1.0457,1.0905,1.0017,0.2737,0.8089,0,104127.0,10.7,1114245.08,580083.42,534161.66,89139.61,133709.41,311312.65,9000.0,302312.65,3600.0,74678.16,224034.49
2024-01-01,2024,1,Asia Pacific,1.0,1.0457,0.7302,1.0017,0.1659,0.7706,0,99202.0,11.08,1098927.34,572108.9,526818.44,87914.19,131871.28,307032.97,9000.0,298032.97,3600.0,73608.24,220824.73
2024-01-01,2024,1,Latin America,1.0,1.0457,0.1864,1.0017,0.1723,0.7728,0,99481.0,11.06,1099808.08,572567.42,527240.66,87984.65,131976.97,307279.05,9000.0,298279.05,3600.0,73669.76,221009.28
2024-01-01,2024,1,Middle East & Africa,1.0,1.0457,0.266,1.0017,0.3774,0.8489,0,109277.0,10.34,1129722.16,588140.89,541581.27,90377.77,135566.66,315636.84,9000.0,306636.84,3600.0,75759.21,227277.63
2024-02-01,2024,2,North America,1.0,0.8783,0.9886,1.0033,0.3053,0.7808,0,100515.0,10.58,1063741.53,556005.02,507736.51,85099.32,127648.98,294988.2,9000.0,285988.2,3600.0,70597.05,211791.15
2024-02-01,2024,2,Europe,1.0,0.8783,1.0915,1.0033,0.1287,0.7197,0,92649.0,11.22,1039261.9,541961.4,497300.5,83140.95,124711.43,289448.12,9000.0,280448.12,3600.0,69212.03,207636.09
2024-02-01,2024,2,Asia Pacific,1.0,0.8783,0.7354,1.0033,0.0373,0.6909,0,88943.0,11.55,1027210.94,536922.97,490287.97,82176.88,123265.31,284845.78,9000.0,275845.78,3600.0,68061.45,204184.34
2024-02-01,2024,2,Latin America,1.0,0.8783,0.1837,1.0033,0.1133,0.7158,0,92147.0,11.26,1037650.53,541636.37,496014.16,83012.04,124518.06,288484.06,9000.0,279484.06,3600.0,68971.01,206913.04
2024-02-01,2024,2,Middle East & Africa,1.0,0.8783,0.2667,1.0033,0.1178,0.7164,0,92219.0,11.25,1037882.53,541156.06,496726.47,83030.6,124545.9,289149.96,9000.0,280149.96,3600.0,69137.49,207412.47
2024-03-01,2024,3,North America,1.0,1.0213,0.9961,1.005,0.3,0.8108,0,104372.0,10.63,1109232.55,579580.82,529651.73,88738.6,133107.91,307805.22,9000.0,298805.22,3600.0,73801.31,221403.92
2024-03-01,2024,3,Europe,1.0,1.0213,1.0959,1.005,0.4305,0.8614,0,110883.0,10.18,1128575.97,590666.24,537909.72,90286.08,135429.12,312194.53,9000.0,303194.53,3600.0,74898.63,224695.9
2024-03-01,2024,3,Asia Pacific,1.0,1.0213,0.7368,1.005,0.0595,0.7276,0,93662.0,11.48,1075444.72,563234.62,512210.1,86035.58,129053.37,297121.16,9000.0,288121.16,3600.0,71130.29,213390.87
2024-03-01,2024,3,Latin America,1.0,1.0213,0.1847,1.005,0.1612,0.7626,0,98173.0,11.1,1089996.38,569297.93,520698.45,87199.71,130799.57,302699.17,9000.0,293699.17,3600.0,72524.79,217574.38
2024-03-01,2024,3,Middle East & Africa,1.0,1.0213,0.2675,1.005,0.3529,0.8313,0,107010.0,10.44,1117169.41,583439.82,533729.59,89373.55,134060.33,310295.71,9000.0,301295.71,3600.0,74423.93,223271.78
2024-04-01,2024,4,North America,1.0,1.157,1.0013,1.0067,0.127,0.7785,0,100222.0,11.25,1127963.62,591730.16,536233.45,90237.09,135355.63,310640.73,9000.0,301640.73,3600.0,74510.18,223530.55
