date,year,month,quarter,month_name
2023-01-01,2023,1,Q1,Jan
2023-02-01,2023,2,Q1,Feb
2023-03-01,2023,3,Q1,Mar
2023-04-01,2023,4,Q2,Apr
2023-05-01,2023,5,Q2,May
2023-06-01,2023,6,Q2,Jun
2023-07-01,2023,7,Q3,Jul
2023-08-01,2023,8,Q3,Aug
2023-09-01,2023,9,Q3,Sep
2023-10-01,2023,10,Q4,Oct
2023-11-01,2023,11,Q4,Nov
2023-12-01,2023,12,Q4,Dec
2024-01-01,2024,1,Q1,Jan
2024-02-01,2024,2,Q1,Feb
2024-03-01,2024,3,Q1,Mar
2024-04-01,2024,4,Q2,Apr
2024-05-01,2024,5,Q2,May
2024-06-01,2024,6,Q2,Jun
2024-07-01,2024,7,Q3,Jul
2024-08-01,2024,8,Q3,Aug
2024-09-01,2024,9,Q3,Sep
2024-10-01,2024,10,Q4,Oct
2024-11-01,2024,11,Q4,Nov
2024-12-01,2024,12,Q4,Dec
2025-01-01,2025,1,Q1,Jan
2025-02-01,2025,2,Q1,Feb
2025-03-01,2025,3,Q1,Mar
2025-04-01,2025,4,Q2,Apr
2025-05-01,2025,5,Q2,May
2025-06-01,2025,6,Q2,Jun
2025-07-01,2025,7,Q3,Jul
2025-08-01,2025,8,Q3,Aug
2025-09-01,2025,9,Q3,Sep
2025-10-01,2025,10,Q4,Oct
2025-11-01,2025,11,Q4,Nov
2025-12-01,2025,12,Q4,Dec
