date,year,month,Region,Product,Channel,system,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,North America,Starter,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.2211,0.2288,0,2779.0,588.32,1634798.77,294705.17,1340093.59,359655.73,572179.57,408258.3,3800.0,404458.3,1680.0,84583.44,318194.85
2023-01-01,2023,1,North America,Professional,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.2249,0.229,0,2781.0,587.6,1634201.76,294597.55,1339604.21,359524.39,571970.62,408109.21,3800.0,404309.21,1680.0,84552.13,318077.07
2023-01-01,2023,1,North America,Enterprise,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.2051,0.228,0,2769.0,591.35,1637322.51,295160.13,1342162.38,360210.95,573062.88,408888.55,3800.0,405088.55,1680.0,84715.8,318692.75
2023-01-01,2023,1,North America,Add-ons & Extensions,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.1108,0.2233,0,2712.0,609.16,1651965.66,297799.85,1354165.81,363432.45,578187.98,412545.39,3800.0,408745.39,1680.0,85483.73,321581.65
2023-01-01,2023,1,North America,Professional Services,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.2904,0.2325,0,2823.0,575.22,1623793.65,292721.28,1331072.37,357234.6,568327.78,405509.99,3800.0,401709.99,1680.0,84006.3,316023.69
2023-01-01,2023,1,EMEA,Starter,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.0617,0.221,0,2683.0,618.45,1659481.7,299154.77,1360326.93,365085.97,580818.59,414422.36,3800.0,410622.36,1680.0,85877.9,323064.47
2023-01-01,2023,1,EMEA,Professional,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.2513,0.2304,0,2798.0,582.6,1630019.03,293843.53,1336175.5,358604.19,570506.66,407064.65,3800.0,403264.65,1680.0,84332.78,317251.88
2023-01-01,2023,1,EMEA,Enterprise,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.1888,0.2272,0,2759.0,594.42,1639870.39,295619.44,1344250.96,360771.49,573954.64,409524.83,3800.0,405724.83,1680.0,84849.41,319195.42
2023-01-01,2023,1,EMEA,Add-ons & Extensions,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.0654,0.2211,0,2685.0,617.75,1658914.48,299052.51,1359861.97,364961.19,580620.07,414280.71,3800.0,410480.71,1680.0,85848.15,322952.56
2023-01-01,2023,1,EMEA,Professional Services,Direct Sales,protocol,1.0,1.0457,0.9983,1.0033,0.272,0.2315,0,2811.0,578.69,1626729.96,293250.61,1333479.35,357880.59,569355.48,406243.27,3800.0,402443.27,1680.0,84160.29,316602.98
