date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,69333.0,40913820.09,7375534.37,33538285.73,9001040.43,14319837.03,10217408.28,95000.0,10122408.28,42000.0,2116885.75,7963522.55,81.97,24.97,19.46
2023-02-01,2023,2,Base,63317.0,37653340.74,6814466.77,30838873.96,8283734.96,13178669.28,9376469.74,95000.0,9281469.74,42000.0,1940288.63,7299181.13,81.9,24.9,19.39
2023-03-01,2023,3,Base,68751.0,40362149.19,7332876.83,33029272.36,8879672.81,14126752.21,10022847.31,95000.0,9927847.31,42000.0,2076027.92,7809819.4,81.83,24.83,19.35
2023-04-01,2023,4,Base,73161.0,43130124.0,7833373.1,35296750.87,9488627.26,15095543.41,10712580.21,95000.0,10617580.21,42000.0,2220871.86,8354708.36,81.84,24.84,19.37
2023-05-01,2023,5,Base,61598.0,36567768.27,6637609.43,29930158.86,8044909.02,12798718.9,9086530.92,95000.0,8991530.92,42000.0,1879401.49,7070129.38,81.85,24.85,19.33
2023-06-01,2023,6,Base,56207.0,33600826.97,6107200.41,27493626.56,7392181.95,11760289.42,8341155.18,95000.0,8246155.18,42000.0,1722872.57,6481282.59,81.82,24.82,19.29
2023-07-01,2023,7,Base,59822.0,35566108.88,6477907.04,29088201.78,7824543.97,12448138.1,8815519.76,95000.0,8720519.76,42000.0,1822489.15,6856030.59,81.79,24.79,19.28
2023-08-01,2023,8,Base,60532.0,35643707.01,6497713.76,29145993.27,7841615.53,12475297.43,8829080.27,95000.0,8734080.27,42000.0,1825336.85,6866743.42,81.77,24.77,19.26
2023-09-01,2023,9,Base,61605.0,36844493.94,6724719.39,30119774.57,8105788.67,12895572.89,9118413.03,95000.0,9023413.03,42000.0,1886096.74,7095316.28,81.75,24.75,19.26
2023-10-01,2023,10,Base,58326.0,35199977.6,6434504.44,28765473.16,7743995.07,12319992.15,8701485.94,95000.0,8606485.94,42000.0,1798542.09,6765943.86,81.72,24.72,19.22
2023-11-01,2023,11,Base,64758.0,39140314.41,7183701.21,31956613.22,8610869.18,13699110.07,9646633.97,95000.0,9551633.97,42000.0,1997023.14,7512610.85,81.65,24.65,19.19
2023-12-01,2023,12,Base,69632.0,41650158.86,7660883.98,33989274.86,9163034.95,14577555.61,10248684.32,95000.0,10153684.32,42000.0,2123453.71,7988230.62,81.61,24.61,19.18
2024-01-01,2024,1,Base,69790.0,41362044.27,7634577.98,33727466.27,9099649.73,14476715.52,10151101.02,95000.0,10056101.02,42000.0,2102961.24,7911139.8,81.54,24.54,19.13
2024-02-01,2024,2,Base,75713.0,44231309.35,8178177.03,36053132.33,9730888.04,15480958.29,10841286.01,95000.0,10746286.01,42000.0,2247900.07,8456385.95,81.51,24.51,19.12
2024-03-01,2024,3,Base,75022.0,44848275.0,8311920.84,36536354.16,9866620.52,15696896.26,10972837.39,95000.0,10877837.39,42000.0,2275525.84,8560311.56,81.47,24.47,19.09
2024-04-01,2024,4,Base,68915.0,41038205.43,7631621.98,33406583.44,9028405.22,14363371.9,10014806.35,95000.0,9919806.35,42000.0,2074339.33,7803466.99,81.4,24.4,19.02
2024-05-01,2024,5,Base,69603.0,42114743.59,7810075.44,34304668.13,9265243.57,14740160.25,10299264.26,95000.0,10204264.26,42000.0,2134075.5,8028188.78,81.46,24.46,19.06
2024-06-01,2024,6,Base,64608.0,38624083.47,7166971.78,31457111.68,8497298.35,13518429.24,9441384.1,95000.0,9346384.1,42000.0,1953920.69,7350463.43,81.44,24.44,19.03
2024-07-01,2024,7,Base,70136.0,41538517.34,7708993.91,33829523.47,9138473.82,14538481.06,10152568.58,95000.0,10057568.58,42000.0,2103269.4,7912299.18,81.44,24.44,19.05
2024-08-01,2024,8,Base,68213.0,41278603.61,7662171.68,33616431.93,9081292.77,14447511.29,10087627.88,95000.0,9992627.88,42000.0,2089631.86,7860996.0,81.44,24.44,19.04
2024-09-01,2024,9,Base,67845.0,40230844.7,7485362.71,32745481.98,8850785.85,14080795.65,9813900.51,95000.0,9718900.51,42000.0,2032149.09,7644751.41,81.39,24.39,19.0
2024-10-01,2024,10,Base,64180.0,38182327.66,7130834.45,31051493.19,8400112.05,13363814.68,9287566.43,95000.0,9192566.43,42000.0,1921618.96,7228947.47,81.32,24.32,18.93
2024-11-01,2024,11,Base,71361.0,42284778.13,7889290.99,34395487.12,9302651.19,14799672.35,10293163.6,95000.0,10198163.6,42000.0,2132794.36,8023369.23,81.34,24.34,18.97
2024-12-01,2024,12,Base,68769.0,41488147.6,7774443.14,33713704.44,9127392.48,14520851.66,10065460.35,95000.0,9970460.35,42000.0,2084976.66,7843483.65,81.26,24.26,18.91
