date,year,month,region,product,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,Net_Profit_Margin
2024-01-01,2024,1,North America,Enterprise,Direct Sales,0.8,1.0457,0.9937,1.0017,0.252,0.5624,0,45640.0,36.65,1672797.26,753511.53,919285.74,167279.73,334559.45,417446.56,1530.61,415915.95,571.43,95529.24,319815.28,0.1911859181309276
2024-01-01,2024,1,North America,Pro Plan,Direct Sales,0.8,1.0457,0.9937,1.0017,0.2184,0.5515,0,27646.0,58.9,1628259.97,733449.7,894810.27,162826.0,325651.99,406332.28,1530.61,404801.66,571.43,92972.95,311257.28,0.19115944980210994
2024-01-01,2024,1,North America,Apparel,Direct Sales,0.8,1.0457,0.9937,1.0017,0.0938,0.5139,0,48750.0,42.82,2087336.19,940240.59,1147095.6,208733.62,417467.24,520894.75,1530.61,519364.13,571.43,119322.32,399470.38,0.19137807408015095
2024-01-01,2024,1,North America,Footwear,Direct Sales,0.8,1.0457,0.9937,1.0017,0.4077,0.6174,0,45414.0,58.19,2642604.94,1190361.4,1452243.55,264260.49,528520.99,659462.06,1530.61,657931.45,571.43,151192.81,506167.22,0.1915410102881288
2024-01-01,2024,1,North America,Accessories,Direct Sales,0.8,1.0457,0.9937,1.0017,0.2841,0.5731,0,20673.0,35.18,727342.22,327631.3,399710.92,72734.22,145468.44,181508.25,1530.61,179977.64,571.43,41263.43,138142.78,0.1899281743881168
2024-01-01,2024,1,North America,Home & Living,Direct Sales,0.8,1.0457,0.9937,1.0017,0.1229,0.5223,0,23584.0,39.82,939100.2,423017.68,516082.51,93910.02,187820.04,234352.45,1530.61,232821.84,571.43,53417.6,178832.82,0.190429966898101
2024-01-01,2024,1,North America,Beauty & Health,Direct Sales,0.8,1.0457,0.9937,1.0017,0.1771,0.5386,0,23904.0,53.41,1276697.49,575088.38,701609.1,127669.75,255339.5,318599.86,1530.61,317069.25,571.43,72794.5,243703.32,0.19088572031264822
2024-01-01,2024,1,Europe,Enterprise,Direct Sales,0.8,1.0457,1.0097,1.0017,0.3854,0.609,0,49423.0,35.07,1733074.75,780663.52,952411.23,173307.47,346614.95,432488.8,1530.61,430958.19,571.43,98988.96,331397.81,0.1912195708811752
2024-01-01,2024,1,Europe,Pro Plan,Direct Sales,0.8,1.0457,1.0097,1.0017,0.1889,0.5422,0,27180.0,59.46,1616011.07,727932.19,888078.89,161601.11,323202.21,403275.56,1530.61,401744.95,571.43,92269.91,308903.61,0.19115191457197134
2024-01-01,2024,1,Europe,Apparel,Direct Sales,0.8,1.0457,1.0097,1.0017,0.4879,0.6491,0,61572.0,37.61,2315598.49,1043061.34,1272537.15,231559.85,463119.7,577857.6,1530.61,576326.99,571.43,132423.78,443331.78,0.19145451247897471
