date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Snacks,North America,Grocery,Base,1.0,1.0457,0.9937,1.0033,0.1659,0.77,0,99121.0,11.08,1098671.17,572642.07,526029.11,87893.69,131840.54,306294.87,75.0,306219.87,30.0,76547.47,229642.41
2023-01-01,2023,1,Snacks,North America,Grocery,Optimistic,1.0,1.0457,0.9937,1.0033,0.1723,0.7302,0,93995.0,12.72,1195733.41,623232.19,572501.21,95658.67,143488.01,333354.53,75.0,333279.53,30.0,83312.38,249937.15
2023-01-01,2023,1,Snacks,North America,Grocery,Pessimistic,1.0,1.0457,0.9937,1.0033,0.3774,0.9183,0,118209.0,8.48,1002671.6,522605.81,480065.79,80213.73,120320.59,279531.47,75.0,279456.47,30.0,69856.62,209569.85
2023-01-01,2023,1,Snacks,North America,Grocery,Stress Test,1.0,1.0457,0.9937,1.0033,0.3053,0.9743,0,125416.0,6.89,863834.74,450242.19,413592.56,69106.78,103660.17,240825.61,75.0,240750.61,30.0,60180.15,180540.46
2023-01-01,2023,1,Snacks,North America,Mass Retail,Base,1.0,1.0457,0.9937,1.0033,0.1287,0.7575,0,97512.0,11.21,1093543.93,569969.68,523574.25,87483.51,131225.27,304865.47,75.0,304790.47,30.0,76190.12,228570.35
2023-01-01,2023,1,Snacks,North America,Mass Retail,Optimistic,1.0,1.0457,0.9937,1.0033,0.0373,0.6887,0,88652.0,13.26,1175907.59,612898.71,563008.87,94072.61,141108.91,327827.36,75.0,327752.36,30.0,81930.59,245791.77
2023-01-01,2023,1,Snacks,North America,Mass Retail,Pessimistic,1.0,1.0457,0.9937,1.0033,0.1133,0.8146,0,104862.0,9.24,968930.94,505019.72,463911.21,77514.48,116271.71,270125.03,75.0,270050.03,30.0,67505.01,202515.02
2023-01-01,2023,1,Snacks,North America,Mass Retail,Stress Test,1.0,1.0457,0.9937,1.0033,0.1178,0.8957,0,115300.0,7.31,843324.84,439552.15,403772.69,67465.99,101198.98,235107.72,75.0,235032.72,30.0,58750.68,176252.04
2023-01-01,2023,1,Snacks,North America,Club,Base,1.0,1.0457,0.9937,1.0033,0.3,0.818,0,105306.0,10.62,1117837.36,582631.74,535205.62,89426.99,134140.48,311638.15,75.0,311563.15,30.0,77883.29,233649.86
2023-01-01,2023,1,Snacks,North America,Club,Optimistic,1.0,1.0457,0.9937,1.0033,0.4305,0.8227,0,105904.0,11.68,1237190.48,644840.17,592350.3,98975.24,148462.86,344912.21,75.0,344837.21,30.0,86201.8,258605.41
2023-01-01,2023,1,Snacks,North America,Club,Pessimistic,1.0,1.0457,0.9937,1.0033,0.0595,0.7959,0,102459.0,9.39,962534.43,501685.78,460848.65,77002.75,115504.13,268341.77,75.0,268266.77,30.0,67059.19,201177.57
2023-01-01,2023,1,Snacks,North America,Club,Stress Test,1.0,1.0457,0.9937,1.0033,0.1612,0.9129,0,117513.0,7.22,847919.36,441946.88,405972.49,67833.55,101750.32,236388.61,75.0,236313.61,30.0,59070.9,177212.71
2023-01-01,2023,1,Snacks,North America,E-Commerce,Base,1.0,1.0457,0.9937,1.0033,0.3529,0.8384,0,107933.0,10.43,1125734.7,586747.93,538986.76,90058.78,135088.16,313839.82,75.0,313764.82,30.0,78433.71,235301.12
2023-01-01,2023,1,Snacks,North America,E-Commerce,Optimistic,1.0,1.0457,0.9937,1.0033,0.127,0.7158,0,92143.0,12.9,1188955.03,619699.21,569255.81,95116.4,142674.6,331464.81,75.0,331389.81,30.0,82839.95,248519.86
2023-01-01,2023,1,Snacks,North America,E-Commerce,Pessimistic,1.0,1.0457,0.9937,1.0033,0.289,0.8812,0,113431.0,8.74,990922.42,516481.98,474440.44,79273.79,118910.69,276255.96,75.0,276180.96,30.0,69037.74,207113.22
2023-01-01,2023,1,Snacks,North America,E-Commerce,Stress Test,1.0,1.0457,0.9937,1.0033,0.2594,0.954,0,122805.0,6.99,858658.4,447544.21,411114.19,68692.67,103039.01,239382.51,75.0,239307.51,30.0,59819.38,179458.13
2023-01-01,2023,1,Snacks,North America,Convenience,Base,1.0,1.0457,0.9937,1.0033,0.2536,0.8009,0,103094.0,10.78,1111076.93,579108.11,531968.82,88886.15,133329.23,309753.43,75.0,309678.43,30.0,77412.11,232236.33
2023-01-01,2023,1,Snacks,North America,Convenience,Optimistic,1.0,1.0457,0.9937,1.0033,0.1458,0.7217,0,92905.0,12.83,1191753.7,621157.92,570595.78,95340.3,143010.44,332245.04,75.0,332170.04,30.0,83035.01,249105.03
2023-01-01,2023,1,Snacks,North America,Convenience,Pessimistic,1.0,1.0457,0.9937,1.0033,0.0953,0.8082,0,104046.0,9.29,966769.07,503892.93,462876.14,77341.53,116012.29,269522.33,75.0,269447.33,30.0,67354.33,202063.0
2023-01-01,2023,1,Snacks,North America,Convenience,Stress Test,1.0,1.0457,0.9937,1.0033,0.1556,0.9106,0,117226.0,7.23,847325.99,441637.6,405688.38,67786.08,101679.12,236223.19,75.0,236148.19,30.0,59029.55,177088.64
2023-01-01,2023,1,Snacks,North America,Drug,Base,1.0,1.0457,0.9937,1.0033,0.2659,0.8054,0,103673.0,10.73,1112857.22,580036.02,532821.2,89028.58,133542.87,310249.75,75.0,310174.75,30.0,77536.19,232608.57
2023-01-01,2023,1,Snacks,North America,Drug,Optimistic,1.0,1.0457,0.9937,1.0033,0.0282,0.686,0,88308.0,13.3,1174601.36,612217.89,562383.47,93968.11,140952.16,327463.2,75.0,327388.2,30.0,81839.55,245518.65
2023-01-01,2023,1,Snacks,North America,Drug,Pessimistic,1.0,1.0457,0.9937,1.0033,0.5408,0.9944,1,128004.0,8.01,1025740.07,534629.4,491110.67,82059.21,123088.81,285962.66,75.0,285887.66,30.0,71464.41,214393.24
2023-01-01,2023,1,Snacks,North America,Drug,Stress Test,1.0,1.0457,0.9937,1.0033,0.0175,0.858,0,110449.0,7.54,833032.62,434187.71,398844.91,66642.61,99963.91,232238.39,75.0,232163.39,30.0,58033.35,174100.04
2023-01-01,2023,1,Snacks,Europe,Grocery,Base,1.0,1.0457,1.0905,1.0033,0.0315,0.7265,0,93519.0,11.55,1080558.9,563201.7,517357.19,86444.71,129667.07,301245.41,75.0,301170.41,30.0,75285.1,225855.31
2023-01-01,2023,1,Snacks,Europe,Grocery,Optimistic,1.0,1.0457,1.0905,1.0033,0.0837,0.7025,0,90428.0,13.08,1182589.95,616381.65,566208.3,94607.2,141910.79,329690.31,75.0,329615.31,30.0,82396.33,247188.98
2023-01-01,2023,1,Snacks,Europe,Grocery,Pessimistic,1.0,1.0457,1.0905,1.0033,0.1329,0.8216,0,105763.0,9.18,971302.59,506255.86,465046.73,77704.21,116556.31,270786.21,75.0,270711.21,30.0,67670.3,203010.91
2023-01-01,2023,1,Snacks,Europe,Grocery,Stress Test,1.0,1.0457,1.0905,1.0033,0.1759,0.9188,0,118282.0,7.18,849500.81,442771.15,406729.66,67960.06,101940.1,236829.5,75.0,236754.5,30.0,59181.12,177543.37
2023-01-01,2023,1,Snacks,Europe,Mass Retail,Base,1.0,1.0457,1.0905,1.0033,0.1799,0.7748,0,99736.0,11.04,1100613.96,573654.67,526959.29,88049.12,132073.68,306836.5,75.0,306761.5,30.0,76682.87,230048.62
2023-01-01,2023,1,Snacks,Europe,Mass Retail,Optimistic,1.0,1.0457,1.0905,1.0033,0.1935,0.7371,0,94888.0,12.64,1198966.58,624917.37,574049.21,95917.33,143875.99,334255.9,75.0,334180.9,30.0,83537.72,250613.17
2023-01-01,2023,1,Snacks,Europe,Mass Retail,Pessimistic,1.0,1.0457,1.0905,1.0033,0.1082,0.8128,0,104630.0,9.25,968318.13,504700.32,463617.81,77465.45,116198.18,269954.18,75.0,269879.18,30.0,67462.3,202386.89
2023-01-01,2023,1,Snacks,Europe,Mass Retail,Stress Test,1.0,1.0457,1.0905,1.0033,0.4466,1.0,1,128729.0,6.57,845255.22,440558.29,404696.93,67620.42,101430.63,235645.88,75.0,235570.88,30.0,58885.22,176655.66
2023-01-01,2023,1,Snacks,Europe,Club,Base,1.0,1.0457,1.0905,1.0033,0.1503,0.7647,0,98440.0,11.14,1096507.96,571514.57,524993.39,87720.64,131580.95,305691.8,75.0,305616.8,30.0,76396.7,229190.1
2023-01-01,2023,1,Snacks,Europe,Club,Optimistic,1.0,1.0457,1.0905,1.0033,0.1835,0.7338,0,94463.0,12.68,1197432.03,624117.54,573314.49,95794.56,143691.84,333828.08,75.0,333753.08,30.0,83430.77,250292.31
2023-01-01,2023,1,Snacks,Europe,Club,Pessimistic,1.0,1.0457,1.0905,1.0033,0.067,0.7985,0,102788.0,9.37,963415.62,502145.07,461270.56,77073.25,115609.87,268587.43,75.0,268512.43,30.0,67120.61,201361.82
2023-01-01,2023,1,Snacks,Europe,Club,Stress Test,1.0,1.0457,1.0905,1.0033,0.1586,0.9118,0,117378.0,7.22,847640.67,441801.62,405839.05,67811.25,101716.88,236310.92,75.0,236235.92,30.0,59051.48,177154.44
2023-01-01,2023,1,Snacks,Europe,E-Commerce,Base,1.0,1.0457,1.0905,1.0033,0.3839,0.8508,0,109524.0,10.32,1130450.05,589205.64,541244.41,90436.0,135654.01,315154.4,75.0,315079.4,30.0,78762.35,236287.05
2023-01-01,2023,1,Snacks,Europe,E-Commerce,Optimistic,1.0,1.0457,1.0905,1.0033,0.3561,0.7941,0,102219.0,11.98,1224735.99,638348.73,586387.26,97978.88,146968.32,341440.07,75.0,341365.07,30.0,85333.77,256001.3
2023-01-01,2023,1,Snacks,Europe,E-Commerce,Pessimistic,1.0,1.0457,1.0905,1.0033,0.3282,0.8973,0,115507.0,8.62,996070.26,519165.1,476905.16,79685.62,119528.43,277691.11,75.0,277616.11,30.0,69396.53,208189.58
2023-01-01,2023,1,Snacks,Europe,E-Commerce,Stress Test,1.0,1.0457,1.0905,1.0033,0.1899,0.9246,0,119020.0,7.15,851010.76,443558.15,407452.6,68080.86,102121.29,237250.45,75.0,237175.45,30.0,59286.36,177859.09
2023-01-01,2023,1,Snacks,Europe,Convenience,Base,1.0,1.0457,1.0905,1.0033,0.1819,0.7755,0,99826.0,11.03,1100898.62,573803.04,527095.58,88071.89,132107.83,306915.86,75.0,306840.86,30.0,76702.71,230108.14
2023-01-01,2023,1,Snacks,Europe,Convenience,Optimistic,1.0,1.0457,1.0905,1.0033,0.3327,0.7854,0,101107.0,12.08,1220911.74,636355.48,584556.26,97672.94,146509.41,340373.91,75.0,340298.91,30.0,85067.23,255201.69
2023-01-01,2023,1,Snacks,Europe,Convenience,Pessimistic,1.0,1.0457,1.0905,1.0033,0.1403,0.8243,0,106107.0,9.16,972202.71,506725.01,465477.69,77776.22,116664.33,271037.15,75.0,270962.15,30.0,67733.04,203199.11
2023-01-01,2023,1,Snacks,Europe,Convenience,Stress Test,1.0,1.0457,1.0905,1.0033,0.2691,0.9582,0,123346.0,6.97,859736.8,448106.29,411630.52,68778.94,103168.42,239683.16,75.0,239608.16,30.0,59894.54,179683.62
2023-01-01,2023,1,Snacks,Europe,Drug,Base,1.0,1.0457,1.0905,1.0033,0.2232,0.7899,0,101683.0,10.88,1106711.07,576832.56,529878.5,88536.89,132805.33,308536.29,75.0,308461.29,30.0,77107.82,231323.47
2023-01-01,2023,1,Snacks,Europe,Drug,Optimistic,1.0,1.0457,1.0905,1.0033,0.2002,0.7393,0,95170.0,12.61,1199983.64,625447.47,574536.17,95998.69,143998.04,334539.44,75.0,334464.44,30.0,83608.61,250825.83
2023-01-01,2023,1,Snacks,Europe,Drug,Pessimistic,1.0,1.0457,1.0905,1.0033,0.3366,0.9008,0,115963.0,8.6,997190.7,519749.09,477441.61,79775.26,119662.88,278003.47,75.0,277928.47,30.0,69474.62,208423.85
2023-01-01,2023,1,Snacks,Europe,Drug,Stress Test,1.0,1.0457,1.0905,1.0033,0.0591,0.8733,0,112416.0,7.45,837244.29,436382.89,400861.4,66979.54,100469.31,233412.54,75.0,233337.54,30.0,58326.89,174980.66
2023-01-01,2023,1,Snacks,Asia Pacific,Grocery,Base,1.0,1.0457,0.7302,1.0033,0.2322,0.7931,0,102098.0,10.85,1107998.66,577503.67,530494.98,88639.89,132959.84,308895.25,75.0,308820.25,30.0,77197.56,231592.69
2023-01-01,2023,1,Snacks,Asia Pacific,Grocery,Optimistic,1.0,1.0457,0.7302,1.0033,0.4098,0.8145,0,104856.0,11.77,1233681.49,643011.24,590670.25,98694.52,148041.78,343933.95,75.0,343858.95,30.0,85957.24,257871.71
2023-01-01,2023,1,Snacks,Asia Pacific,Grocery,Pessimistic,1.0,1.0457,0.7302,1.0033,0.1693,0.8348,0,107469.0,9.08,975752.3,508575.11,467177.19,78060.18,117090.28,272026.73,75.0,271951.73,30.0,67980.43,203941.3
2023-01-01,2023,1,Snacks,Asia Pacific,Grocery,Stress Test,1.0,1.0457,0.7302,1.0033,0.2291,0.941,0,121129.0,7.06,855293.8,445790.53,409503.27,68423.5,102635.26,238444.51,75.0,238369.51,30.0,59584.88,178754.63
2023-01-01,2023,1,Snacks,Asia Pacific,Mass Retail,Base,1.0,1.0457,0.7302,1.0033,0.1905,0.7784,0,100206.0,11.0,1102093.33,574425.74,527667.59,88167.47,132251.2,307248.92,75.0,307173.92,30.0,76785.98,230357.94
