date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,15447832.0,175134572.87,91282474.5,83852098.36,14010765.8,21016148.77,48825183.74,11250.0,48813933.74,4500.0,12202358.46,36607075.31,47.88,27.88,20.9
2023-02-01,2023,2,Base,14419340.0,165621140.6,86664760.47,78956380.1,13249691.27,19874536.85,45832152.0,11250.0,45820902.0,4500.0,11454100.5,34362301.52,47.67,27.67,20.75
2023-03-01,2023,3,Base,15025441.0,172815516.63,90669463.6,82146053.06,13825241.26,20737862.02,47582949.76,11250.0,47571699.76,4500.0,11891799.89,35675399.78,47.53,27.53,20.64
2023-04-01,2023,4,Base,15743139.0,180160498.91,95057535.19,85102963.65,14412839.94,21619259.8,49070863.97,11250.0,49059613.97,4500.0,12263778.51,36791335.41,47.24,27.24,20.42
2023-05-01,2023,5,Base,14050179.0,162382343.47,85858849.96,76523493.34,12990587.39,19485881.23,44047024.75,11250.0,44035774.75,4500.0,11007818.68,33023456.02,47.13,27.13,20.34
2023-06-01,2023,6,Base,13503413.0,155015767.14,82254408.88,72761358.26,12401261.41,18601892.04,41758204.89,11250.0,41746954.89,4500.0,10435613.78,31306841.21,46.94,26.94,20.2
2023-07-01,2023,7,Base,13828962.0,159800255.32,85480698.48,74319556.85,12784020.41,19176030.65,42359505.79,11250.0,42348255.79,4500.0,10585938.98,31757816.87,46.51,26.51,19.87
2023-08-01,2023,8,Base,13979205.0,160564078.79,86030950.41,74533128.41,12845126.26,19267689.44,42420312.55,11250.0,42409062.55,4500.0,10601140.69,31803421.93,46.42,26.42,19.81
2023-09-01,2023,9,Base,14256199.0,163426661.3,87783031.73,75643629.48,13074132.86,19611199.29,42958297.21,11250.0,42947047.21,4500.0,10735636.81,32206910.39,46.29,26.29,19.71
2023-10-01,2023,10,Base,13744210.0,158605986.55,84971674.8,73634311.66,12688478.94,19032718.35,41913114.41,11250.0,41901864.41,4500.0,10474341.09,31423023.25,46.43,26.43,19.81
2023-11-01,2023,11,Base,14575812.0,168383719.32,90615342.92,77768376.38,13470697.49,20206046.35,44091632.46,11250.0,44080382.46,4500.0,11018970.64,33056911.85,46.19,26.19,19.63
2023-12-01,2023,12,Base,15098365.0,174951911.11,94315385.14,80636526.03,13996152.86,20994229.37,45646143.79,11250.0,45634893.79,4500.0,11407598.51,34222795.4,46.09,26.09,19.56
2024-01-01,2024,1,Base,15131903.0,174818790.52,94759061.6,80059728.93,13985503.22,20978254.87,45095970.91,11250.0,45084720.91,4500.0,11270055.28,33810165.65,45.8,25.8,19.34
2024-02-01,2024,2,Base,15821211.0,182620348.72,99127764.05,83492584.63,14609627.89,21914441.87,46968514.84,11250.0,46957264.84,4500.0,11738191.16,35214573.69,45.72,25.72,19.28
2024-03-01,2024,3,Base,15854943.0,183228953.19,99621564.25,83607388.91,14658316.26,21987474.43,46961598.29,11250.0,46950348.29,4500.0,11736462.09,35209386.23,45.63,25.63,19.22
2024-04-01,2024,4,Base,14991095.0,173583873.85,94639781.01,78944092.73,13886709.9,20830064.88,44227317.97,11250.0,44216067.97,4500.0,11052892.02,33158676.01,45.48,25.48,19.1
2024-05-01,2024,5,Base,15112904.0,175646707.59,95944135.01,79702572.51,14051736.58,21077604.96,44573230.95,11250.0,44561980.95,4500.0,11139370.2,33418110.72,45.38,25.38,19.03
2024-06-01,2024,6,Base,14271140.0,166709894.47,91207110.43,75502783.99,13336791.52,20005187.3,42160805.13,11250.0,42149555.13,4500.0,10536263.78,31608791.39,45.29,25.29,18.96
2024-07-01,2024,7,Base,14924467.0,174521407.03,95720773.62,78800633.48,13961712.56,20942568.89,43896352.05,11250.0,43885102.05,4500.0,10970150.53,32910451.66,45.15,25.15,18.86
2024-08-01,2024,8,Base,14778761.0,172968171.56,95328825.8,77639345.73,13837453.72,20756180.64,43045711.43,11250.0,43034461.43,4500.0,10757490.39,32272471.11,44.89,24.89,18.66
2024-09-01,2024,9,Base,14605264.0,170894783.13,94253828.15,76640954.94,13671582.63,20507373.99,42461998.36,11250.0,42450748.36,4500.0,10611562.16,31834686.28,44.85,24.85,18.63
2024-10-01,2024,10,Base,14184742.0,165783772.71,91667246.82,74116525.85,13262701.85,19894052.74,40959771.36,11250.0,40948521.36,4500.0,10236005.29,30708015.96,44.71,24.71,18.52
2024-11-01,2024,11,Base,14954559.0,175870682.34,97855633.03,78015049.28,14069654.62,21104481.95,42840912.9,11250.0,42829662.9,4500.0,10706290.7,32118872.13,44.36,24.36,18.26
2024-12-01,2024,12,Base,14870823.0,173719405.31,97280434.05,76438971.26,13897552.4,20846328.63,41695090.15,11250.0,41683840.15,4500.0,10419835.1,31259505.2,44.0,24.0,17.99
2023-01-01,2023,1,Optimistic,14665602.0,190583573.21,99334699.38,91248873.71,15246685.87,22870028.82,53132159.03,11250.0,53120909.03,4500.0,13279102.23,39837306.77,47.88,27.88,20.9
2023-02-01,2023,2,Optimistic,13740749.0,180430631.23,94414151.37,86016479.85,14434450.42,21651675.73,49930353.58,11250.0,49919103.58,4500.0,12478650.84,37435952.75,47.67,27.67,20.75
2023-03-01,2023,3,Optimistic,14319970.0,188459233.82,98877125.94,89582107.78,15076738.65,22615107.99,51890260.98,11250.0,51879010.98,4500.0,12968627.73,38905883.3,47.53,27.53,20.64
