date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Starter,North America,All,Base,1.0,1.0457,0.9937,1.0008,0.2249,0.2291,0,2782.0,587.31,1633956.75,294222.51,1339734.25,359470.49,571884.86,408378.9,15833.33,392545.56,7000.0,80964.57,304580.99
2023-01-01,2023,1,Starter,EMEA,All,Base,1.0,1.0457,1.0905,1.0008,0.2051,0.2281,0,2770.0,591.05,1637077.03,294784.37,1342292.66,360156.95,572976.96,409158.75,15833.33,393325.42,7000.0,81128.34,305197.08
2023-01-01,2023,1,Professional,North America,All,Base,1.0,1.0457,0.9937,1.0008,0.1108,0.2234,0,4116.0,744.22,3062892.13,551527.33,2511364.8,673836.27,1072012.24,765516.29,15833.33,749682.95,7000.0,155963.42,586719.53
2023-01-01,2023,1,Professional,EMEA,All,Base,1.0,1.0457,1.0905,1.0008,0.2904,0.2325,0,4284.0,702.75,3010658.7,542121.79,2468536.91,662344.91,1053730.54,752461.46,15833.33,736628.12,7000.0,153221.91,576406.22
2023-01-01,2023,1,Enterprise,North America,All,Base,1.0,1.0457,0.9937,1.0008,0.0617,0.221,0,4517.0,909.44,4108044.54,739725.31,3368319.23,903769.8,1437815.59,1026733.84,15833.33,1010900.51,7000.0,210819.11,793081.4
2023-01-01,2023,1,Enterprise,EMEA,All,Base,1.0,1.0457,1.0905,1.0008,0.2513,0.2305,0,4710.0,856.73,4035109.75,726592.12,3308517.63,887724.14,1412288.41,1008505.07,15833.33,992671.73,7000.0,206991.06,778680.67
2023-02-01,2023,2,Starter,North America,All,Base,1.0,0.8783,0.9886,1.0017,0.1888,0.2087,0,2534.0,593.92,1505277.7,271432.08,1233845.62,331161.09,526847.19,375837.33,15833.33,360004.0,7000.0,74130.84,278873.16
2023-02-01,2023,2,Starter,EMEA,All,Base,1.0,0.8783,1.0915,1.0017,0.0654,0.2031,0,2466.0,617.6,1523037.1,274404.53,1248632.57,335068.16,533062.98,380501.42,15833.33,364668.09,7000.0,75110.3,282557.79
2023-02-01,2023,2,Professional,North America,All,Base,1.0,0.8783,0.9886,1.0017,0.272,0.2127,0,3918.0,706.75,2768970.76,499301.55,2269669.21,609173.57,969139.77,691355.88,15833.33,675522.54,7000.0,140389.73,528132.81
2023-02-01,2023,2,Professional,EMEA,All,Base,1.0,0.8783,1.0915,1.0017,0.1746,0.208,0,3831.0,729.69,2795630.9,503686.87,2291944.04,615038.8,978470.82,698434.42,15833.33,682601.09,7000.0,141876.23,533724.86
2023-02-01,2023,2,Enterprise,North America,All,Base,1.0,0.8783,0.9886,1.0017,0.4767,0.2232,0,4562.0,793.8,3621037.13,652946.39,2968090.75,796628.17,1267363.0,904099.58,15833.33,888266.25,7000.0,185065.91,696200.33
2023-02-01,2023,2,Enterprise,EMEA,All,Base,1.0,0.8783,1.0915,1.0017,0.1614,0.2074,0,4238.0,881.95,3737258.31,673339.22,3063919.1,822196.83,1308040.41,933681.86,15833.33,917848.52,7000.0,191278.19,719570.33
2023-03-01,2023,3,Starter,North America,All,Base,1.0,1.0213,0.9961,1.0025,0.4197,0.2368,0,2875.0,550.82,1583675.9,285518.47,1298157.43,348408.7,554286.56,395462.16,15833.33,379628.83,7000.0,78252.05,294376.78
2023-03-01,2023,3,Starter,EMEA,All,Base,1.0,1.0213,1.0959,1.0025,0.1125,0.2207,0,2680.0,609.07,1632165.05,294438.19,1337726.86,359076.31,571257.77,407392.78,15833.33,391559.45,7000.0,80757.48,303801.97
2023-03-01,2023,3,Professional,North America,All,Base,1.0,1.0213,0.9961,1.0025,0.0444,0.2175,0,4007.0,760.01,3045431.25,549056.08,2496375.17,669994.87,1065900.94,760479.36,15833.33,744646.02,7000.0,154905.67,582740.36
2023-03-01,2023,3,Professional,EMEA,All,Base,1.0,1.0213,1.0959,1.0025,0.3954,0.2353,0,4336.0,679.1,2944309.6,531145.54,2413164.06,647748.11,1030508.36,734907.59,15833.33,719074.26,7000.0,149535.59,562538.66
