date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,23179.0,17487738.9,3148973.43,14338765.48,3847302.56,6120708.6,4370754.31,94999.98,4275754.29,42000.0,889088.41,3344665.89,81.99,24.99,19.13
2023-02-01,2023,2,Base,21549.0,15951211.9,2875110.64,13076101.29,3509266.62,5582924.17,3983910.49,94999.98,3888910.49,42000.0,807851.2,3039059.28,81.98,24.98,19.05
2023-03-01,2023,3,Base,22807.0,17330591.95,3125444.89,14205147.05,3812730.23,6065707.18,4326709.64,94999.98,4231709.64,42000.0,879839.01,3309870.63,81.97,24.97,19.1
2023-04-01,2023,4,Base,24703.0,18351443.18,3315787.78,15035655.39,4037317.51,6423005.11,4575332.79,94999.98,4480332.78,42000.0,932049.88,3506282.89,81.93,24.93,19.11
2023-05-01,2023,5,Base,20709.0,15577396.71,2815155.48,12762241.23,3427027.27,5452088.84,3883125.11,94999.98,3788125.1,42000.0,786686.28,2959438.84,81.93,24.93,19.0
2023-06-01,2023,6,Base,19170.0,14233496.66,2576161.21,11657335.44,3131369.26,4981723.82,3544242.35,94999.98,3449242.35,42000.0,715520.89,2691721.46,81.9,24.9,18.91
2023-07-01,2023,7,Base,20248.0,15108995.04,2746422.88,12362572.14,3323978.91,5288148.27,3750444.97,94999.98,3655444.98,42000.0,758823.45,2854621.53,81.82,24.82,18.89
2023-08-01,2023,8,Base,19867.0,15337519.87,2789927.25,12547592.62,3374254.37,5368131.95,3805206.28,94999.98,3710206.29,42000.0,770323.31,2897882.97,81.81,24.81,18.89
2023-09-01,2023,9,Base,20815.0,15680211.57,2852346.18,12827865.39,3449646.55,5488074.06,3890144.79,94999.98,3795144.79,42000.0,788160.41,2964984.39,81.81,24.81,18.91
2023-10-01,2023,10,Base,20122.0,14849299.46,2692818.71,12156480.72,3266845.89,5197254.81,3692380.04,94999.98,3597380.04,42000.0,746629.81,2808750.23,81.87,24.87,18.92
2023-11-01,2023,11,Base,22311.0,16507122.78,3001291.12,13505831.64,3631567.02,5777492.97,4096771.66,94999.98,4001771.65,42000.0,831552.05,3128219.61,81.82,24.82,18.95
2023-12-01,2023,12,Base,23635.0,17677222.6,3215817.11,14461405.51,3888988.98,6187027.92,4385388.62,94999.98,4290388.6,42000.0,892161.62,3356227.0,81.81,24.81,18.99
2024-01-01,2024,1,Base,23711.0,17534703.63,3198763.9,14335939.74,3857634.8,6137146.28,4341158.67,94999.98,4246158.67,42000.0,882873.32,3321285.34,81.76,24.76,18.94
2024-02-01,2024,2,Base,25131.0,18955765.59,3456779.71,15498985.87,4170268.44,6634517.95,4694199.48,94999.98,4599199.49,42000.0,957011.89,3600187.59,81.76,24.76,18.99
2024-03-01,2024,3,Base,25733.0,18948675.67,3451750.47,15496925.19,4168708.65,6632036.48,4696180.05,94999.98,4601180.06,42000.0,957427.82,3601752.25,81.78,24.78,19.01
2024-04-01,2024,4,Base,23118.0,17514440.35,3191921.08,14322519.27,3853176.88,6130054.12,4339288.26,94999.98,4244288.26,42000.0,882480.55,3319807.73,81.78,24.78,18.95
2024-05-01,2024,5,Base,23458.0,17926585.82,3268320.58,14658265.24,3943848.88,6274305.04,4440111.34,94999.98,4345111.32,42000.0,903653.38,3399457.95,81.77,24.77,18.96
2024-06-01,2024,6,Base,21525.0,16533336.34,3014192.0,13519144.35,3637333.99,5786667.72,4095142.63,94999.98,4000142.64,42000.0,831209.95,3126932.68,81.77,24.77,18.91
2024-07-01,2024,7,Base,23993.0,17588896.73,3206411.49,14382485.25,3869557.26,6156113.85,4356814.12,94999.98,4261814.11,42000.0,886160.95,3333653.15,81.77,24.77,18.95
2024-08-01,2024,8,Base,22962.0,17587959.15,3210808.75,14377150.41,3869351.0,6155785.71,4352013.7,94999.98,4257013.69,42000.0,885152.88,3329860.82,81.74,24.74,18.93
2024-09-01,2024,9,Base,22886.0,17109411.62,3121101.18,13988310.42,3764070.56,5988294.06,4235945.81,94999.98,4140945.79,42000.0,860778.61,3238167.19,81.76,24.76,18.93
2024-10-01,2024,10,Base,21316.0,16371829.86,2989565.35,13382264.5,3601802.56,5730140.45,4050321.49,94999.98,3955321.48,42000.0,821797.52,3091523.97,81.74,24.74,18.88
2024-11-01,2024,11,Base,23578.0,18152525.07,3326844.75,14825680.32,3993555.51,6353383.77,4478741.02,94999.98,4383741.03,42000.0,911765.62,3429975.4,81.67,24.67,18.9
2024-12-01,2024,12,Base,22891.0,17767247.21,3264065.82,14503181.39,3908794.39,6218536.52,4375850.48,94999.98,4280850.48,42000.0,890158.6,3348691.88,81.63,24.63,18.85
