date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2016-01-01,2016,1,Base,34801.0,1207456.52,543898.79,663557.73,265640.43,241491.3,156425.99,75000.0,81425.99,28000.0,12287.98,41138.01,54.95,12.95,3.41
2016-02-01,2016,2,Base,36982.0,1177940.13,532594.48,645345.65,259146.83,235588.03,150610.8,75000.0,75610.8,28000.0,10950.48,36660.31,54.79,12.79,3.11
2016-03-01,2016,3,Base,36446.0,1284834.43,580783.46,704050.97,282663.57,256966.89,164420.51,75000.0,89420.51,28000.0,14126.72,47293.79,54.8,12.8,3.68
2016-04-01,2016,4,Base,39150.0,1413381.97,640597.2,772784.77,310944.03,282676.39,179164.34,75000.0,104164.34,28000.0,17517.8,58646.54,54.68,12.68,4.15
2016-05-01,2016,5,Base,47030.0,1521678.22,694318.42,827359.81,334769.21,304335.64,188254.95,75000.0,113254.95,28000.0,19608.64,65646.31,54.37,12.37,4.31
2016-06-01,2016,6,Base,35678.0,1304158.99,599485.69,704673.3,286914.98,260831.8,156926.53,75000.0,81926.53,28000.0,12403.1,41523.43,54.03,12.03,3.18
2016-07-01,2016,7,Base,36416.0,1307462.04,599865.88,707596.16,287641.65,261492.41,158462.11,75000.0,83462.11,28000.0,12756.28,42705.82,54.12,12.12,3.27
2016-08-01,2016,8,Base,44126.0,1489616.69,681520.74,808095.95,327715.67,297923.34,182456.94,75000.0,107456.94,28000.0,18275.1,61181.85,54.25,12.25,4.11
2016-09-01,2016,9,Base,44364.0,1556424.77,717751.52,838673.25,342413.45,311284.95,184974.84,75000.0,109974.84,28000.0,18854.21,63120.63,53.88,11.88,4.06
2016-10-01,2016,10,Base,46797.0,1638358.08,755072.81,883285.27,360438.78,327671.62,195174.88,75000.0,120174.88,28000.0,21200.22,70974.65,53.91,11.91,4.33
2016-11-01,2016,11,Base,67017.0,2184939.19,997554.62,1187384.57,480686.62,436987.84,269710.11,75000.0,194710.11,28000.0,38343.32,128366.78,54.34,12.34,5.88
2016-12-01,2016,12,Base,67017.0,2230294.71,1021601.65,1208693.06,490664.84,446058.94,271969.28,75000.0,196969.28,28000.0,38862.93,130106.35,54.19,12.19,5.83
2017-01-01,2017,1,Base,34183.0,1200637.29,554532.5,646104.8,264140.2,240127.46,141837.13,75000.0,66837.13,28000.0,8932.54,29904.59,53.81,11.81,2.49
