date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Base,1.0,1.0457,0.9794,1.0033,0.1659,0.6682,0,50175.0,42.57,2135961.06,963104.84,1172856.22,213596.11,427192.21,532067.9,150.0,531917.9,56.0,122328.24,409533.66
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Optimistic,1.0,1.0457,0.9794,1.0033,0.1723,0.5996,0,45029.0,48.86,2200030.77,991993.88,1208036.9,220003.08,440006.15,548027.67,150.0,547877.67,56.0,125998.98,421822.68
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Pessimistic,1.0,1.0457,0.9794,1.0033,0.3774,0.8869,0,66596.0,32.58,2169508.93,978231.58,1191277.36,216950.89,433901.79,540424.68,150.0,540274.68,56.0,124250.3,415968.38
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Turnaround,1.0,1.0457,0.9794,1.0033,0.3053,0.7882,0,59192.0,36.63,2168061.91,977579.12,1190482.8,216806.19,433612.38,540064.22,150.0,539914.22,56.0,124167.39,415690.83
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Base,1.0,1.0457,0.9794,1.0033,0.1287,0.6543,0,49130.0,43.07,2116071.49,954136.64,1161934.86,211607.15,423214.3,527113.41,150.0,526963.41,56.0,121188.7,405718.7
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Optimistic,1.0,1.0457,0.9794,1.0033,0.0373,0.5562,0,41766.0,50.94,2127680.5,959371.14,1168309.36,212768.05,425536.1,530005.21,150.0,529855.21,56.0,121853.82,407945.39
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Pessimistic,1.0,1.0457,0.9794,1.0033,0.1133,0.7602,0,57089.0,35.49,2025954.4,913502.84,1112451.56,202595.44,405190.88,504665.24,150.0,504515.24,56.0,116025.63,388433.61
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Turnaround,1.0,1.0457,0.9794,1.0033,0.1178,0.7075,0,53125.0,38.9,2066332.11,931709.15,1134622.96,206633.21,413266.42,514723.33,150.0,514573.33,56.0,118338.99,396178.34
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Base,1.0,1.0457,0.9794,1.0033,0.3,0.7223,0,54236.0,40.77,2211134.25,997000.43,1214133.82,221113.42,442226.85,550793.54,150.0,550643.54,56.0,126635.13,423952.41
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Optimistic,1.0,1.0457,0.9794,1.0033,0.4305,0.699,0,52493.0,44.87,2355229.15,1061972.82,1293256.32,235522.91,471045.83,586687.58,150.0,586537.58,56.0,134890.76,451590.82
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Pessimistic,1.0,1.0457,0.9794,1.0033,0.0595,0.7379,0,55413.0,36.08,1999293.54,901481.46,1097812.09,199929.35,399858.71,498024.02,150.0,497874.02,56.0,114498.15,383319.88
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Turnaround,1.0,1.0457,0.9794,1.0033,0.1612,0.725,0,54440.0,38.37,2088908.66,941888.91,1147019.74,208890.87,417781.73,520347.15,150.0,520197.15,56.0,119632.46,400508.68
2023-01-01,2023,1,Apparel,Northeast US,Wholesale,Base,1.0,1.0457,0.9794,1.0033,0.3529,0.7455,0,55982.0,40.06,2242487.2,1011137.48,1231349.72,224248.72,448497.44,558603.56,150.0,558453.56,56.0,128431.44,429966.12
2023-01-01,2023,1,Apparel,Northeast US,Wholesale,Optimistic,1.0,1.0457,0.9794,1.0033,0.127,0.5845,0,43892.0,49.56,2175158.39,980778.92,1194379.47,217515.84,435031.68,541831.95,150.0,541681.95,56.0,124573.97,417051.98
2023-01-01,2023,1,Apparel,Northeast US,Wholesale,Pessimistic,1.0,1.0457,0.9794,1.0033,0.289,0.841,0,63156.0,33.55,2118962.76,955440.31,1163522.45,211896.28,423792.55,527833.62,150.0,527683.62,56.0,121354.35,406273.27
2023-01-01,2023,1,Apparel,Northeast US,Wholesale,Turnaround,1.0,1.0457,0.9794,1.0033,0.2594,0.7672,0,57612.0,37.18,2142156.47,965898.35,1176258.12,214215.65,428431.29,533611.18,150.0,533461.18,56.0,122683.19,410721.99
2023-01-01,2023,1,Apparel,Northeast US,Outlet,Base,1.0,1.0457,0.9794,1.0033,0.2536,0.7028,0,52775.0,41.39,2184470.23,984977.63,1199492.6,218447.02,436894.05,544151.53,150.0,544001.53,56.0,125107.47,418838.06
2023-01-01,2023,1,Apparel,Northeast US,Outlet,Optimistic,1.0,1.0457,0.9794,1.0033,0.1458,0.5907,0,44359.0,49.27,2185410.62,985401.65,1200008.97,218541.06,437082.12,544385.79,150.0,544235.79,56.0,125161.35,419018.44
2023-01-01,2023,1,Apparel,Northeast US,Outlet,Pessimistic,1.0,1.0457,0.9794,1.0033,0.0953,0.7526,0,56518.0,35.69,2016923.91,909430.99,1107492.92,201692.39,403384.78,502415.74,150.0,502265.74,56.0,115508.24,386701.5
2023-01-01,2023,1,Apparel,Northeast US,Outlet,Turnaround,1.0,1.0457,0.9794,1.0033,0.1556,0.7227,0,54269.0,38.44,2085986.03,940571.1,1145414.93,208598.6,417197.21,519619.12,150.0,519469.12,56.0,119465.02,399948.1
2023-01-01,2023,1,Apparel,Southeast US,Physical Stores,Base,1.0,1.0457,1.0308,1.0033,0.2659,0.7079,0,53157.0,41.23,2191476.24,988136.63,1203339.6,219147.62,438295.25,545896.73,150.0,545746.73,56.0,125508.87,420181.86
2023-01-01,2023,1,Apparel,Southeast US,Physical Stores,Optimistic,1.0,1.0457,1.0308,1.0033,0.0282,0.5534,0,41557.0,51.08,2122956.18,957240.94,1165715.24,212295.62,424591.24,528828.39,150.0,528678.39,56.0,121583.15,407039.24
2023-01-01,2023,1,Apparel,Southeast US,Physical Stores,Pessimistic,1.0,1.0457,1.0308,1.0033,0.5408,0.9824,1,73774.0,30.78,2270485.12,1023761.74,1246723.38,227048.51,454097.02,565577.84,150.0,565427.84,56.0,130035.52,435336.32
2023-01-01,2023,1,Apparel,Southeast US,Physical Stores,Turnaround,1.0,1.0457,1.0308,1.0033,0.0175,0.6694,0,50269.0,40.11,2016203.5,909106.16,1107097.34,201620.35,403240.7,502236.29,150.0,502086.29,56.0,115466.97,386563.32
2023-01-01,2023,1,Apparel,Southeast US,E-Commerce,Base,1.0,1.0457,1.0308,1.0033,0.0315,0.62,0,46559.0,44.38,2066116.27,931611.83,1134504.44,206611.63,413223.25,514669.56,150.0,514519.56,56.0,118326.62,396136.94
2023-01-01,2023,1,Apparel,Southeast US,E-Commerce,Optimistic,1.0,1.0457,1.0308,1.0033,0.0837,0.5706,0,42844.0,50.23,2151931.27,970305.81,1181625.46,215193.13,430386.25,536046.08,150.0,535896.08,56.0,123243.22,412596.86
2023-01-01,2023,1,Apparel,Southeast US,E-Commerce,Pessimistic,1.0,1.0457,1.0308,1.0033,0.1329,0.7687,0,57721.0,35.27,2035884.4,917980.28,1117904.13,203588.44,407176.88,507138.8,150.0,506988.8,56.0,116594.55,390338.26
2023-01-01,2023,1,Apparel,Southeast US,E-Commerce,Turnaround,1.0,1.0457,1.0308,1.0033,0.1759,0.7311,0,54898.0,38.19,2096707.91,945405.6,1151302.31,209670.79,419341.58,522289.94,150.0,522139.94,56.0,120079.31,402004.63
2023-01-01,2023,1,Apparel,Southeast US,Mobile App,Base,1.0,1.0457,1.0308,1.0033,0.1799,0.6735,0,50576.0,42.38,2143521.81,966513.98,1177007.82,214352.18,428704.36,533951.28,150.0,533801.28,56.0,122761.41,410983.87
2023-01-01,2023,1,Apparel,Southeast US,Mobile App,Optimistic,1.0,1.0457,1.0308,1.0033,0.1935,0.607,0,45580.0,48.53,2211944.31,997365.69,1214578.62,221194.43,442388.86,550995.33,150.0,550845.33,56.0,126681.55,424107.78
2023-01-01,2023,1,Apparel,Southeast US,Mobile App,Pessimistic,1.0,1.0457,1.0308,1.0033,0.1082,0.7581,0,56927.0,35.54,2023392.55,912347.7,1111044.85,202339.25,404678.51,504027.08,150.0,503877.08,56.0,115878.85,387942.23
2023-01-01,2023,1,Apparel,Southeast US,Mobile App,Turnaround,1.0,1.0457,1.0308,1.0033,0.4466,0.8591,0,64512.0,34.92,2252599.52,1015697.12,1236902.39,225259.95,450519.9,561122.54,150.0,560972.54,56.0,129010.8,431905.74
2023-01-01,2023,1,Apparel,Southeast US,Wholesale,Base,1.0,1.0457,1.0308,1.0033,0.1503,0.6623,0,49732.0,42.78,2127558.17,959315.98,1168242.19,212755.82,425511.63,529974.74,150.0,529824.74,56.0,121846.81,407921.93
2023-01-01,2023,1,Apparel,Southeast US,Wholesale,Optimistic,1.0,1.0457,1.0308,1.0033,0.1835,0.6035,0,45318.0,48.68,2206285.81,994814.27,1211471.54,220628.58,441257.16,549585.8,150.0,549435.8,56.0,126357.35,423022.44
2023-01-01,2023,1,Apparel,Southeast US,Wholesale,Pessimistic,1.0,1.0457,1.0308,1.0033,0.067,0.741,0,55641.0,36.0,2002955.9,903132.82,1099823.09,200295.59,400591.18,498936.32,150.0,498786.32,56.0,114707.97,384022.34
2023-01-01,2023,1,Apparel,Southeast US,Wholesale,Turnaround,1.0,1.0457,1.0308,1.0033,0.1586,0.7239,0,54360.0,38.4,2087535.71,941269.85,1146265.86,208753.57,417507.14,520005.15,150.0,519855.15,56.0,119553.8,400245.34
2023-01-01,2023,1,Apparel,Southeast US,Outlet,Base,1.0,1.0457,1.0308,1.0033,0.3839,0.7597,0,57045.0,39.64,2261312.7,1019625.9,1241686.8,226131.27,452262.54,563292.99,150.0,563142.99,56.0,129510.01,433576.99
2023-01-01,2023,1,Apparel,Southeast US,Outlet,Optimistic,1.0,1.0457,1.0308,1.0033,0.3561,0.6679,0,50157.0,46.02,2308048.83,1040699.22,1267349.61,230804.88,461609.77,574934.96,150.0,574784.96,56.0,132187.66,442541.3
2023-01-01,2023,1,Apparel,Southeast US,Outlet,Pessimistic,1.0,1.0457,1.0308,1.0033,0.3282,0.8609,0,64646.0,33.12,2141035.96,965393.12,1175642.85,214103.6,428207.19,533332.06,150.0,533182.06,56.0,122618.99,410507.07
2023-01-01,2023,1,Apparel,Southeast US,Outlet,Turnaround,1.0,1.0457,1.0308,1.0033,0.1899,0.7369,0,55339.0,38.02,2104168.16,948769.42,1155398.74,210416.82,420833.63,524148.29,150.0,523998.29,56.0,120506.73,403435.56
2023-01-01,2023,1,Apparel,Midwest US,Physical Stores,Base,1.0,1.0457,0.9574,1.0033,0.1819,0.6743,0,50634.0,42.36,2144630.72,967013.99,1177616.73,214463.07,428926.14,534227.51,150.0,534077.51,56.0,122824.95,411196.57
2023-01-01,2023,1,Apparel,Midwest US,Physical Stores,Optimistic,1.0,1.0457,0.9574,1.0033,0.3327,0.6586,0,49456.0,46.38,2293657.51,1034210.17,1259447.34,229365.75,458731.5,571350.09,150.0,571200.09,56.0,131363.14,439780.95
2023-01-01,2023,1,Apparel,Midwest US,Physical Stores,Pessimistic,1.0,1.0457,0.9574,1.0033,0.1403,0.7719,0,57962.0,35.19,2039659.49,919682.47,1119977.03,203965.95,407931.9,508079.18,150.0,507929.18,56.0,116810.83,391062.35
2023-01-01,2023,1,Apparel,Midwest US,Physical Stores,Turnaround,1.0,1.0457,0.9574,1.0033,0.2691,0.7716,0,57939.0,37.07,2147540.6,968326.05,1179214.54,214754.06,429508.12,534952.36,150.0,534802.36,56.0,122991.66,411754.7
2023-01-01,2023,1,Apparel,Midwest US,E-Commerce,Base,1.0,1.0457,0.9574,1.0033,0.2232,0.6905,0,51849.0,41.8,2167336.66,977252.1,1190084.56,216733.67,433467.33,539883.56,150.0,539733.56,56.0,124125.84,415551.72
2023-01-01,2023,1,Apparel,Midwest US,E-Commerce,Optimistic,1.0,1.0457,0.9574,1.0033,0.2002,0.6093,0,45754.0,48.43,2215698.6,999058.5,1216640.1,221569.86,443139.72,551930.52,150.0,551780.52,56.0,126896.64,424827.88
