date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,6539484.0,284776891.76,128405900.48,156370991.23,28477689.13,56955378.39,70937923.71,18750.0,70919173.71,7000.0,16309799.96,54602373.83,54.91,24.91,19.17
2023-02-01,2023,2,Base,6054464.0,265485346.52,121343173.84,144142172.58,26548534.61,53097069.25,64496568.65,18750.0,64477818.65,7000.0,14828288.32,49642530.35,54.29,24.29,18.7
2023-03-01,2023,3,Base,6313098.0,279441635.47,127970555.76,151471079.75,27944163.55,55888327.1,67638589.2,18750.0,67619839.2,7000.0,15550953.04,52061886.17,54.2,24.2,18.63
2023-04-01,2023,4,Base,6578288.0,292930628.99,137332737.49,155597891.52,29293062.92,58586125.76,67718702.84,18750.0,67699952.84,7000.0,15569379.13,52123573.74,53.12,23.12,17.79
2023-05-01,2023,5,Base,5848563.0,257692713.44,121497350.26,136195363.15,25769271.29,51538542.67,58887549.16,18750.0,58868799.16,7000.0,13538213.79,45323585.39,52.85,22.85,17.59
2023-06-01,2023,6,Base,5319360.0,238119751.75,112535157.11,125584594.6,23811975.17,47623950.32,54148669.1,18750.0,54129919.1,7000.0,12448271.41,41674647.68,52.74,22.74,17.5
2023-07-01,2023,7,Base,5559987.0,249216422.03,121463662.89,127752759.08,24921642.13,49843284.47,52987832.55,18750.0,52969082.55,7000.0,12181278.94,40780803.59,51.26,21.26,16.36
2023-08-01,2023,8,Base,5634383.0,251547551.0,121500378.08,130047172.92,25154755.13,50309510.19,54582907.57,18750.0,54564157.57,7000.0,12548146.27,42009011.36,51.7,21.7,16.7
2023-09-01,2023,9,Base,5738352.0,256394204.39,124387547.82,132006656.62,25639420.5,51278840.87,55088395.26,18750.0,55069645.26,7000.0,12664408.42,42398236.82,51.49,21.49,16.54
2023-10-01,2023,10,Base,5627818.0,249165824.87,118605694.93,130560129.91,24916582.5,49833164.98,55810382.47,18750.0,55791632.47,7000.0,12830465.49,42954167.07,52.4,22.4,17.24
2023-11-01,2023,11,Base,6148920.0,271360115.47,130616783.87,140743331.63,27136011.48,54272023.09,59335297.0,18750.0,59316547.0,7000.0,13641195.83,45668351.17,51.87,21.87,16.83
2023-12-01,2023,12,Base,6410261.0,284449854.13,136848535.61,147601318.5,28444985.42,56889970.86,62266362.3,18750.0,62247612.3,7000.0,14315340.86,47925271.4,51.89,21.89,16.85
2024-01-01,2024,1,Base,6377114.0,283069819.1,137670293.75,145399525.44,28306981.92,56613963.82,60478579.74,18750.0,60459829.74,7000.0,13904150.84,46548678.84,51.37,21.37,16.44
2024-02-01,2024,2,Base,6916878.0,303578812.4,148182055.12,155396757.26,30357881.28,60715762.53,64323113.62,18750.0,64304363.62,7000.0,14788393.59,49508970.01,51.19,21.19,16.31
2024-03-01,2024,3,Base,6942541.0,304814663.15,149303296.34,155511366.8,30481466.29,60962932.66,64066967.85,18750.0,64048217.85,7000.0,14729480.15,49311737.8,51.02,21.02,16.18
2024-04-01,2024,4,Base,6429637.0,283049598.6,139524758.87,143524839.61,28304959.86,56609919.7,58609960.14,18750.0,58591210.14,7000.0,13474368.31,45109841.82,50.71,20.71,15.94
2024-05-01,2024,5,Base,6538374.0,287931849.92,142208048.9,145723800.99,28793185.02,57586369.94,59344246.03,18750.0,59325496.03,7000.0,13643254.04,45675241.96,50.61,20.61,15.86
2024-06-01,2024,6,Base,6062094.0,267733196.99,132487805.44,135245391.49,26773319.69,53546639.39,54925432.42,18750.0,54906682.42,7000.0,12626926.94,42272755.45,50.51,20.51,15.79
2024-07-01,2024,7,Base,6364856.0,283505434.99,139885838.3,143619596.69,28350543.53,56701086.94,58567966.18,18750.0,58549216.18,7000.0,13464709.69,45077506.46,50.66,20.66,15.9
2024-08-01,2024,8,Base,6313858.0,280900492.96,141746257.1,139154235.84,28090049.3,56180098.57,54884087.95,18750.0,54865337.95,7000.0,12617417.81,42240920.24,49.54,19.54,15.04
2024-09-01,2024,9,Base,6045203.0,273142409.02,137569939.12,135572469.83,27314240.92,54628481.8,53629747.2,18750.0,53610997.2,7000.0,12328919.36,41275077.82,49.63,19.63,15.11
2024-10-01,2024,10,Base,5837860.0,262261000.42,132044213.26,130216787.11,26226100.03,52452200.1,51538487.04,18750.0,51519737.04,7000.0,11847929.53,39664807.59,49.65,19.65,15.12
2024-11-01,2024,11,Base,6382146.0,286003294.37,144725543.3,141277751.15,28600329.43,57200658.9,55476762.84,18750.0,55458012.84,7000.0,12753732.99,42697279.89,49.4,19.4,14.93
2024-12-01,2024,12,Base,6312250.0,281536060.26,145138879.97,136397180.34,28153606.03,56307212.03,51936362.21,18750.0,51917612.21,7000.0,11939440.84,39971171.43,48.45,18.45,14.2
