date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Base,1.0,1.0457,0.9937,1.0033,0.1659,0.6682,0,50175.0,42.57,2135961.06,963104.84,1172856.22,213596.11,427192.21,532067.9,150.0,531917.9,56.0,122328.24,409533.66
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Optimistic,1.0,1.0457,0.9937,1.0033,0.1723,0.5996,0,45029.0,48.86,2200030.77,991993.88,1208036.9,220003.08,440006.15,548027.67,150.0,547877.67,56.0,125998.98,421822.68
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Pessimistic,1.0,1.0457,0.9937,1.0033,0.3774,0.8869,0,66596.0,32.58,2169508.93,978231.58,1191277.36,216950.89,433901.79,540424.68,150.0,540274.68,56.0,124250.3,415968.38
2023-01-01,2023,1,Apparel,Northeast US,Physical Stores,Turnaround,1.0,1.0457,0.9937,1.0033,0.3053,0.7882,0,59192.0,36.63,2168061.91,977579.12,1190482.8,216806.19,433612.38,540064.22,150.0,539914.22,56.0,124167.39,415690.83
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Base,1.0,1.0457,0.9937,1.0033,0.1287,0.6543,0,49130.0,43.07,2116071.49,954136.64,1161934.86,211607.15,423214.3,527113.41,150.0,526963.41,56.0,121188.7,405718.7
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Optimistic,1.0,1.0457,0.9937,1.0033,0.0373,0.5562,0,41766.0,50.94,2127680.5,959371.14,1168309.36,212768.05,425536.1,530005.21,150.0,529855.21,56.0,121853.82,407945.39
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Pessimistic,1.0,1.0457,0.9937,1.0033,0.1133,0.7602,0,57089.0,35.49,2025954.4,913502.84,1112451.56,202595.44,405190.88,504665.24,150.0,504515.24,56.0,116025.63,388433.61
2023-01-01,2023,1,Apparel,Northeast US,E-Commerce,Turnaround,1.0,1.0457,0.9937,1.0033,0.1178,0.7075,0,53125.0,38.9,2066332.11,931709.15,1134622.96,206633.21,413266.42,514723.33,150.0,514573.33,56.0,118338.99,396178.34
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Base,1.0,1.0457,0.9937,1.0033,0.3,0.7223,0,54236.0,40.77,2211134.25,997000.43,1214133.82,221113.42,442226.85,550793.54,150.0,550643.54,56.0,126635.13,423952.41
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Optimistic,1.0,1.0457,0.9937,1.0033,0.4305,0.699,0,52493.0,44.87,2355229.15,1061972.82,1293256.32,235522.91,471045.83,586687.58,150.0,586537.58,56.0,134890.76,451590.82
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Pessimistic,1.0,1.0457,0.9937,1.0033,0.0595,0.7379,0,55413.0,36.08,1999293.54,901481.46,1097812.09,199929.35,399858.71,498024.02,150.0,497874.02,56.0,114498.15,383319.88
2023-01-01,2023,1,Apparel,Northeast US,Mobile App,Turnaround,1.0,1.0457,0.9937,1.0033,0.1612,0.725,0,54440.0,38.37,2088908.66,941888.91,1147019.74,208890.87,417781.73,520347.15,150.0,520197.15,56.0,119632.46,400508.68
2023-01-01,2023,1,Apparel,Northeast US,Wholesale,Base,1.0,1.0457,0.9937,1.0033,0.3529,0.7455,0,55982.0,40.06,2242487.2,1011137.48,1231349.72,224248.72,448497.44,558603.56,150.0,558453.56,56.0,128431.44,429966.12
