date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,6539484.0,284776891.76,128405900.48,156370991.23,28477689.13,56955378.39,70937923.71,18750.0,70919173.71,7000.0,16309799.96,54602373.83,54.91,24.91,19.17
2023-02-01,2023,2,Base,6040086.0,265205308.22,120276384.74,144928923.44,26520530.82,53041061.63,65367331.07,18750.0,65348581.07,7000.0,15028563.61,50313017.35,54.65,24.65,18.97
2023-03-01,2023,3,Base,6327401.0,279723597.06,127124454.41,152599142.58,27972359.73,55944719.42,68682063.5,18750.0,68663313.5,7000.0,15790952.08,52865361.39,54.55,24.55,18.9
2023-04-01,2023,4,Base,6635899.0,294083474.44,134856803.83,159226670.68,29408347.43,58816694.86,71001628.34,18750.0,70982878.34,7000.0,16324452.03,54651426.31,54.14,24.14,18.58
2023-05-01,2023,5,Base,5870948.0,258187826.62,118764934.75,139422891.73,25818782.7,51637565.33,61966543.72,18750.0,61947793.72,7000.0,14246382.56,47694411.19,54.0,24.0,18.47
2023-06-01,2023,6,Base,5371196.0,239172771.48,110234152.62,128938618.88,23917277.21,47834554.28,57186787.4,18750.0,57168037.4,7000.0,13147038.62,44013998.88,53.91,23.91,18.4
2023-07-01,2023,7,Base,5674028.0,251561458.89,117238028.53,134323430.31,25156145.85,50312291.77,58854992.72,18750.0,58836242.72,7000.0,13530725.82,45298516.86,53.4,23.4,18.01
2023-08-01,2023,8,Base,5712250.0,253154697.02,117811446.79,135343250.19,25315469.69,50630939.41,59396841.12,18750.0,59378091.12,7000.0,13655351.0,45715740.18,53.46,23.46,18.06
2023-09-01,2023,9,Base,5780436.0,257286921.22,120097884.08,137189037.09,25728692.11,51457384.25,60002960.69,18750.0,59984210.69,7000.0,13794758.51,46182452.32,53.32,23.32,17.95
2023-10-01,2023,10,Base,5648017.0,249590462.83,115963448.12,133627014.72,24959046.28,49918092.55,58749875.91,18750.0,58731125.91,7000.0,13506548.92,45217576.88,53.54,23.54,18.12
2023-11-01,2023,11,Base,6129428.0,271036579.01,126573313.77,144463265.23,27103657.86,54207315.81,63152291.58,18750.0,63133541.58,7000.0,14519104.53,48607436.99,53.3,23.3,17.93
2023-12-01,2023,12,Base,6394331.0,284212728.28,132809645.4,151403082.85,28421272.83,56842545.63,66139264.34,18750.0,66120514.34,7000.0,15206108.27,50907406.06,53.27,23.27,17.91
2024-01-01,2024,1,Base,6323719.0,282069783.95,132441428.22,149628355.75,28206978.38,56413956.79,65007420.58,18750.0,64988670.58,7000.0,14945784.22,50035886.36,53.05,23.05,17.74
2024-02-01,2024,2,Base,6797780.0,301337784.01,141898471.15,159439312.86,30133778.42,60267556.85,69037977.64,18750.0,69019227.64,7000.0,15872812.35,53139415.29,52.91,22.91,17.63
2024-03-01,2024,3,Base,6778871.0,301638684.68,142311882.29,159326802.43,30163868.5,60327736.97,68835197.07,18750.0,68816447.07,7000.0,15826172.78,52983274.27,52.82,22.82,17.57
2024-04-01,2024,4,Base,6289548.0,280323360.39,132706164.96,147617195.48,28032336.03,56064672.08,63520187.3,18750.0,63501437.3,7000.0,14603720.64,48890716.75,52.66,22.66,17.44
2024-05-01,2024,5,Base,6425593.0,285790981.4,135548197.49,150242783.82,28579098.19,57158196.29,64505489.45,18750.0,64486739.45,7000.0,14830340.11,49649399.37,52.57,22.57,17.37
2024-06-01,2024,6,Base,5979904.0,266216283.89,126555073.9,139661209.94,26621628.39,53243256.79,59796324.72,18750.0,59777574.72,7000.0,13747232.17,46023342.58,52.46,22.46,17.29
2024-07-01,2024,7,Base,6300412.0,282353649.46,134492796.57,147860852.96,28235364.89,56470729.87,63154758.12,18750.0,63136008.12,7000.0,14519671.85,48609336.26,52.37,22.37,17.22
2024-08-01,2024,8,Base,6286555.0,280517961.87,134799845.01,145718116.81,28051796.23,56103592.34,61562728.29,18750.0,61543978.29,7000.0,14153504.98,47383473.24,51.95,21.95,16.89
2024-09-01,2024,9,Base,6036086.0,273138821.29,131279199.05,141859622.29,27313882.1,54627764.31,59917975.91,18750.0,59899225.91,7000.0,13775211.96,46117013.93,51.94,21.94,16.88
2024-10-01,2024,10,Base,5808844.0,261840602.11,125973793.05,135866808.94,26184060.2,52368120.42,57314628.36,18750.0,57295878.36,7000.0,13176442.01,44112436.36,51.89,21.89,16.85
2024-11-01,2024,11,Base,6297794.0,284442135.26,137188582.66,147253552.61,28444213.53,56888427.05,61920912.06,18750.0,61902162.06,7000.0,14235887.26,47659274.78,51.77,21.77,16.76
2024-12-01,2024,12,Base,6181894.0,279076305.71,135668536.51,143407769.17,27907630.53,55815261.11,59684877.5,18750.0,59666127.5,7000.0,13721599.3,45937528.11,51.39,21.39,16.46
2023-01-01,2023,1,Optimistic,5859747.0,293407277.96,132297341.66,161109936.34,29340727.77,58681455.57,73087752.94,18750.0,73069002.94,7000.0,16804260.68,56257742.25,54.91,24.91,19.17
2023-02-01,2023,2,Optimistic,5442168.0,273468827.62,124026538.28,149442289.41,27346882.76,54693765.56,67401641.13,18750.0,67382891.13,7000.0,15496454.94,51879436.15,54.65,24.65,18.97
2023-03-01,2023,3,Optimistic,5705788.0,288452431.54,131090821.43,157361610.1,28845243.1,57690486.27,70825880.63,18750.0,70807130.63,7000.0,16284030.03,54516100.54,54.55,24.55,18.9
2023-04-01,2023,4,Optimistic,5998140.0,303485234.34,139167602.35,164317631.89,30348523.41,60697046.85,73272061.58,18750.0,73253311.58,7000.0,16846651.71,56399659.94,54.14,24.14,18.58
2023-05-01,2023,5,Optimistic,5227953.0,265372713.26,122075137.24,143297576.09,26537271.37,53074542.64,63685762.09,18750.0,63667012.09,7000.0,14641802.81,49018209.33,54.0,24.0,18.47
2023-06-01,2023,6,Optimistic,4911743.0,248475463.59,114524566.14,133950897.52,24847546.41,49695092.69,59408258.4,18750.0,59389508.4,7000.0,13657976.97,45724531.47,53.91,23.91,18.4
2023-07-01,2023,7,Optimistic,5178223.0,261064967.71,121669934.28,139395033.45,26106496.73,52212993.6,61075543.04,18750.0,61056793.04,7000.0,14041452.39,47008340.69,53.39,23.39,18.01
2023-08-01,2023,8,Optimistic,5040104.0,258043019.27,120090350.05,137952669.15,25804301.88,51608603.87,60539763.42,18750.0,60521013.42,7000.0,13918223.07,46595790.27,53.46,23.46,18.06
2023-09-01,2023,9,Optimistic,5247421.0,266042730.05,124182864.51,141859865.48,26604273.0,53208546.07,62047046.54,18750.0,62028296.54,7000.0,14264898.22,47756398.37,53.32,23.32,17.95
2023-10-01,2023,10,Optimistic,5011742.0,255522567.37,118717902.33,136804665.09,25552256.73,51104513.45,60147894.84,18750.0,60129144.84,7000.0,13828093.3,46294051.54,53.54,23.54,18.12
2023-11-01,2023,11,Optimistic,5476745.0,278521344.97,130071998.77,148449346.19,27852134.48,55704268.97,64892942.66,18750.0,64874192.66,7000.0,14919454.35,49947738.43,53.3,23.3,17.93
2023-12-01,2023,12,Optimistic,5687839.0,291408866.19,136180848.24,155228017.97,29140886.62,58281773.17,67805358.08,18750.0,67786608.08,7000.0,15589309.85,52190298.23,53.27,23.27,17.91
2024-01-01,2024,1,Optimistic,5683554.0,290458989.41,136386699.34,154072289.92,29045898.93,58091797.91,66934593.09,18750.0,66915843.09,7000.0,15389033.98,51519809.22,53.04,23.04,17.74
2024-02-01,2024,2,Optimistic,6039747.0,308683746.9,145349304.93,163334442.04,30868374.67,61736749.37,70729317.96,18750.0,70710567.96,7000.0,16261820.6,54441747.31,52.91,22.91,17.64
2024-03-01,2024,3,Optimistic,6077262.0,310400070.41,146446270.21,163953800.22,31040007.05,62080014.11,70833779.13,18750.0,70815029.13,7000.0,16285846.7,54522182.45,52.82,22.82,17.57
2024-04-01,2024,4,Optimistic,5663391.0,288904190.96,136765672.18,152138518.74,28890419.12,57780838.22,65467261.51,18750.0,65448511.51,7000.0,15051547.65,50389963.84,52.66,22.66,17.44
2024-05-01,2024,5,Optimistic,5731177.0,293629304.38,139261083.16,154368221.21,29362930.41,58725860.9,66279429.89,18750.0,66260679.89,7000.0,15238346.41,51015333.53,52.57,22.57,17.37
2024-06-01,2024,6,Optimistic,5365902.0,274512017.75,130471638.51,144040379.23,27451201.77,54902403.56,61686773.99,18750.0,61668023.99,7000.0,14182035.5,47478988.36,52.47,22.47,17.3
2024-07-01,2024,7,Optimistic,5642997.0,290672904.84,138449680.41,152223224.44,29067290.49,58134581.01,65021352.98,18750.0,65002602.98,7000.0,14948988.69,50046614.3,52.37,22.37,17.22
2024-08-01,2024,8,Optimistic,5556761.0,287007334.31,137928665.01,149078669.27,28700733.4,57401466.87,62976469.03,18750.0,62957719.03,7000.0,14478665.39,48472053.59,51.94,21.94,16.89
2024-09-01,2024,9,Optimistic,5403424.0,280819083.89,134967083.82,145852000.04,28081908.43,56163816.78,61606274.97,18750.0,61587524.97,7000.0,14163520.76,47417004.17,51.94,21.94,16.89
2024-10-01,2024,10,Optimistic,5230267.0,270113950.98,129949442.5,140164508.49,27011395.07,54022790.24,59130323.19,18750.0,59111573.19,7000.0,13594051.87,45510521.32,51.89,21.89,16.85
2024-11-01,2024,11,Optimistic,5680797.0,293795491.73,141703329.69,152092162.07,29379549.18,58759098.35,63953514.46,18750.0,63934764.46,7000.0,14703385.79,49224378.62,51.77,21.77,16.75
2024-12-01,2024,12,Optimistic,5654550.0,290029544.63,140989429.34,149040115.44,29002954.5,58005908.91,62031252.01,18750.0,62012502.01,7000.0,14261265.47,47744236.46,51.39,21.39,16.46
2023-01-01,2023,1,Pessimistic,7590632.0,272556494.4,122895723.34,149660771.05,27255649.47,54511298.89,67893822.7,18750.0,67875072.7,7000.0,15609656.74,52258416.06,54.91,24.91,19.17
2023-02-01,2023,2,Pessimistic,7121622.0,255256095.46,115762974.13,139493121.36,25525609.58,51051219.06,62916292.71,18750.0,62897542.71,7000.0,14464824.81,48425717.94,54.65,24.65,18.97
