date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,19544120.0,854224509.13,385169831.12,469054677.94,85422450.9,170844901.81,212787325.19,18750.0,212768575.19,7001.25,48935162.27,163826412.85,54.91,24.91,19.18
2023-02-01,2023,2,Base,18167502.0,796168731.23,361079803.49,435088927.92,79616873.14,159233746.25,196238308.48,18750.0,196219558.48,7001.25,45128888.42,151083670.04,54.65,24.65,18.98
2023-03-01,2023,3,Base,19146467.0,842534548.47,382901685.39,459632863.17,84253454.85,168506909.77,206872498.51,18750.0,206853748.51,7001.25,47574752.19,159271996.4,54.55,24.55,18.9
2023-04-01,2023,4,Base,20190691.0,887324987.74,406899076.12,480425911.48,88732498.73,177464997.62,214228415.27,18750.0,214209665.27,7001.25,49266612.97,164936052.21,54.14,24.14,18.59
2023-05-01,2023,5,Base,17608066.0,775177507.89,356577663.17,418599844.67,77517750.76,155035501.49,186046592.29,18750.0,186027842.29,7001.25,42784793.65,143236048.6,54.0,24.0,18.48
2023-06-01,2023,6,Base,16413395.0,724013851.5,333695667.19,390318184.43,72401385.21,144802770.33,173114028.97,18750.0,173095278.97,7001.25,39810304.13,133277974.78,53.91,23.91,18.41
2023-07-01,2023,7,Base,16946064.0,753322796.75,351084024.42,402238772.44,75332279.63,150664559.4,176241933.47,18750.0,176223183.47,7001.25,40529722.18,135686461.13,53.4,23.4,18.01
2023-08-01,2023,8,Base,17096796.0,757375178.42,352452791.22,404922387.18,75737517.86,151475035.6,177709833.73,18750.0,177691083.73,7001.25,40867339.28,136816744.37,53.46,23.46,18.06
2023-09-01,2023,9,Base,17385754.0,773150927.95,360891806.73,412259121.13,77315092.74,154630185.56,180313842.73,18750.0,180295092.73,7001.25,41466261.33,138821831.5,53.32,23.32,17.96
2023-10-01,2023,10,Base,16863329.0,746351210.26,346759012.7,399592197.65,74635120.96,149270242.17,175686834.51,18750.0,175668084.51,7001.25,40402049.41,135259035.26,53.54,23.54,18.12
2023-11-01,2023,11,Base,18280616.0,810569044.78,378545344.37,432023700.47,81056904.46,162113809.01,188852987.04,18750.0,188834237.04,7001.25,43430264.58,145396972.5,53.3,23.3,17.94
2023-12-01,2023,12,Base,19134941.0,851559554.28,397934074.02,453625480.2,85155955.4,170311910.85,198157613.98,18750.0,198138863.98,7001.25,45570328.69,152561535.26,53.27,23.27,17.92
2024-01-01,2024,1,Base,19086103.0,848482097.81,398393496.65,450088601.28,84848209.73,169696419.56,195543971.87,18750.0,195525221.87,7001.25,44969191.07,150549030.8,53.05,23.05,17.74
2024-02-01,2024,2,Base,20332004.0,902172324.4,424819946.19,477352378.13,90217232.44,180434464.89,206700680.82,18750.0,206681930.82,7001.25,47535234.15,159139696.89,52.91,22.91,17.64
2024-03-01,2024,3,Base,20413587.0,905939616.35,427425287.12,478514329.08,90593961.62,181187923.24,206732444.24,18750.0,206713694.24,7001.25,47542539.67,159164154.64,52.82,22.82,17.57
2024-04-01,2024,4,Base,19126028.0,845918897.11,400445198.43,445473698.79,84591889.68,169183779.34,191698029.54,18750.0,191679279.54,7001.25,44084624.36,147587655.32,52.66,22.66,17.45
2024-05-01,2024,5,Base,19211869.0,855492914.99,405740853.83,449752061.24,85549291.51,171098582.98,193104186.74,18750.0,193085436.74,7001.25,44408040.41,148670396.27,52.57,22.57,17.38
2024-06-01,2024,6,Base,17941353.0,800115619.43,380378836.7,419736782.79,80011561.93,160023123.88,179702097.02,18750.0,179683347.02,7001.25,41325559.82,138350787.08,52.46,22.46,17.29
2024-07-01,2024,7,Base,19040474.0,849931914.6,404868779.3,445063135.32,84993191.48,169986382.87,190083561.03,18750.0,190064811.03,7001.25,43713296.51,146344514.36,52.36,22.36,17.22
2024-08-01,2024,8,Base,18554821.0,834984506.24,401266267.45,433718238.82,83498450.59,166996901.17,183222886.99,18750.0,183204136.99,7001.25,42135341.51,141061795.47,51.94,21.94,16.89
