date,year,month,Region,Product,Channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,North America,Snacks,Direct Sales,1.0,1.0457,0.9983,1.0033,0.2211,0.7892,0,76662.0,8.66,663590.56,345872.25,317718.31,53087.24,79630.87,185000.2,1250.0,183750.2,500.0,45812.55,137437.65
2023-01-01,2023,1,North America,Beverages,Direct Sales,1.0,1.0457,0.9983,1.0033,0.2249,0.7905,0,76793.0,8.65,663913.8,346040.73,317873.08,53113.1,79669.66,185090.32,1250.0,183840.32,500.0,45835.08,137505.24
2023-01-01,2023,1,North America,Personal Care,Direct Sales,1.0,1.0457,0.9983,1.0033,0.2051,0.7835,0,76112.0,8.7,662227.11,345161.6,317065.51,52978.17,79467.25,184620.09,1250.0,183370.09,500.0,45717.52,137152.57
2023-01-01,2023,1,North America,Household,Direct Sales,1.0,1.0457,0.9983,1.0033,0.1108,0.7516,0,73015.0,8.96,654411.99,341088.25,313323.73,52352.96,78529.44,182441.34,1250.0,181191.34,500.0,45172.83,135518.5
2023-01-01,2023,1,North America,Baby & Child,Direct Sales,1.0,1.0457,0.9983,1.0033,0.2904,0.8144,0,79117.0,8.46,669593.89,349001.26,320592.63,53567.51,80351.27,186673.85,1250.0,185423.85,500.0,46230.96,138692.89
2023-01-01,2023,1,North America,GGN,Direct Sales,1.0,1.0457,0.9983,1.0033,0.0617,0.7359,0,71484.0,9.1,650463.07,339030.02,311433.04,52037.05,78055.57,181340.43,1250.0,180090.43,500.0,44897.61,134692.82
2023-01-01,2023,1,Europe,Snacks,Direct Sales,1.0,1.0457,0.9983,1.0033,0.2513,0.8,0,77717.0,8.57,666186.3,347225.18,318961.12,53294.9,79942.36,185723.86,1250.0,184473.86,500.0,45993.46,137980.39
2023-01-01,2023,1,Europe,Beverages,Direct Sales,1.0,1.0457,0.9983,1.0033,0.1888,0.7778,0,75562.0,8.75,660855.59,344446.74,316408.84,52868.45,79302.67,184237.73,1250.0,182987.73,500.0,45621.93,136865.79
2023-01-01,2023,1,Europe,Personal Care,Direct Sales,1.0,1.0457,0.9983,1.0033,0.0654,0.737,0,71598.0,9.09,650759.63,339184.59,311575.03,52060.77,78091.16,181423.11,1250.0,180173.11,500.0,44918.28,134754.83
2023-01-01,2023,1,Europe,Household,Direct Sales,1.0,1.0457,0.9983,1.0033,0.272,0.8076,0,78453.0,8.51,667982.85,348161.57,319821.28,53438.63,80157.94,186224.71,1250.0,184974.71,500.0,46118.68,138356.03
2023-01-01,2023,1,Europe,Baby & Child,Direct Sales,1.0,1.0457,0.9983,1.0033,0.1746,0.7729,0,75086.0,8.79,659663.63,343825.48,315838.15,52773.09,79159.64,183905.42,1250.0,182655.42,500.0,45538.86,136616.57
2023-01-01,2023,1,Europe,GGN,Direct Sales,1.0,1.0457,0.9983,1.0033,0.4767,0.8898,0,86435.0,7.95,686733.9,357934.87,328799.04,54938.71,82408.07,191452.26,1250.0,190202.26,500.0,47425.56,142276.69
2023-01-01,2023,1,Asia Pacific,Snacks,Direct Sales,1.0,1.0457,0.9983,1.0033,0.1614,0.7685,0,74651.0,8.82,658568.29,343254.57,315313.71,52685.46,79028.19,183600.06,1250.0,182350.06,500.0,45462.51,136387.54
2023-01-01,2023,1,Asia Pacific,Beverages,Direct Sales,1.0,1.0457,0.9983,1.0033,0.4197,0.8655,0,84076.0,8.1,681324.33,355115.32,326209.0,54505.95,81758.92,189944.14,1250.0,188694.14,500.0,47048.53,141145.6
2023-01-01,2023,1,Asia Pacific,Personal Care,Direct Sales,1.0,1.0457,0.9983,1.0033,0.1125,0.7522,0,73069.0,8.96,654549.75,341160.06,313389.69,52363.98,78545.97,182479.74,1250.0,181229.74,500.0,45182.44,135547.31
2023-01-01,2023,1,Asia Pacific,Household,Direct Sales,1.0,1.0457,0.9983,1.0033,0.0444,0.7304,0,70958.0,9.15,649090.09,338314.41,310775.68,51927.21,77890.81,180957.66,1250.0,179707.66,500.0,44801.92,134405.75
2023-01-01,2023,1,Asia Pacific,Baby & Child,Direct Sales,1.0,1.0457,0.9983,1.0033,0.3954,0.8555,0,83104.0,8.17,679064.76,353937.61,325127.15,54325.18,81487.77,189314.2,1250.0,188064.2,500.0,46891.05,140673.15
