date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,2749580.0,23856541.57,12434347.54,11422194.01,1908523.32,2862784.99,6650885.73,45000.0,6605885.73,18000.0,1646971.43,4940914.27,47.88,27.88,20.71
2023-02-01,2023,2,Base,2620327.0,22691606.02,11933914.04,10757692.04,1815328.47,2722992.74,6219370.8,45000.0,6174370.8,18000.0,1539092.68,4617278.09,47.41,27.41,20.35
2023-03-01,2023,3,Base,2730439.0,23685567.94,12566050.59,11119517.34,1894845.39,2842268.14,6382403.71,45000.0,6337403.71,18000.0,1579850.93,4739552.8,46.95,26.95,20.01
2023-04-01,2023,4,Base,2815397.0,24580511.36,13006865.71,11573645.64,1966440.89,2949661.37,6657543.4,45000.0,6612543.4,18000.0,1648635.84,4945907.56,47.08,27.08,20.12
2023-05-01,2023,5,Base,2560042.0,22273355.66,11745940.88,10527414.83,1781868.45,2672802.68,6072743.64,45000.0,6027743.64,18000.0,1502435.92,4507307.73,47.26,27.26,20.24
2023-06-01,2023,6,Base,2425687.0,21175571.15,11187690.28,9987880.83,1694045.7,2541068.55,5752766.62,45000.0,5707766.62,18000.0,1422441.65,4267324.98,47.17,27.17,20.15
2023-07-01,2023,7,Base,2451698.0,21749538.51,11535981.24,10213557.25,1739963.09,2609944.63,5863649.58,45000.0,5818649.58,18000.0,1450162.41,4350487.21,46.96,26.96,20.0
2023-08-01,2023,8,Base,2480486.0,21864923.21,11603875.36,10261047.84,1749193.86,2623790.76,5888063.21,45000.0,5843063.21,18000.0,1456265.81,4368797.4,46.93,26.93,19.98
2023-09-01,2023,9,Base,2549678.0,22297061.83,11850795.58,10446266.3,1783764.96,2675647.41,5986853.94,45000.0,5941853.94,18000.0,1480963.46,4442890.45,46.85,26.85,19.93
2023-10-01,2023,10,Base,2530618.0,21810417.92,11620132.29,10190285.62,1744833.43,2617250.17,5828202.06,45000.0,5783202.06,18000.0,1441300.51,4323901.55,46.72,26.72,19.82
2023-11-01,2023,11,Base,2606528.0,22984855.92,12359356.62,10625499.29,1838788.46,2758182.66,6028528.1,45000.0,5983528.1,18000.0,1491381.99,4474146.07,46.23,26.23,19.47
2023-12-01,2023,12,Base,2701503.0,23878829.45,12892592.2,10986237.31,1910306.34,2865459.52,6210471.37,45000.0,6165471.37,18000.0,1536867.85,4610603.53,46.01,26.01,19.31
2024-01-01,2024,1,Base,2693222.0,23813549.18,12957171.46,10856377.66,1905083.92,2857625.92,6093667.86,45000.0,6048667.86,18000.0,1507666.97,4523000.9,45.59,25.59,18.99
2024-02-01,2024,2,Base,2783658.0,24807075.43,13536211.37,11270864.1,1984566.02,2976849.08,6309449.01,45000.0,6264449.01,18000.0,1561612.26,4684836.77,45.43,25.43,18.89
2024-03-01,2024,3,Base,2838875.0,25021462.01,13716510.16,11304951.85,2001716.95,3002575.46,6300659.43,45000.0,6255659.43,18000.0,1559414.85,4678244.57,45.18,25.18,18.7
2024-04-01,2024,4,Base,2685369.0,23699092.91,13087984.64,10611108.27,1895927.41,2843891.16,5871289.66,45000.0,5826289.66,18000.0,1452072.41,4356217.28,44.77,24.77,18.38
2024-05-01,2024,5,Base,2674817.0,23890070.36,13070076.41,10819993.98,1911205.63,2866808.45,6041979.87,45000.0,5996979.87,18000.0,1494744.96,4484234.89,45.29,25.29,18.77
2024-06-01,2024,6,Base,2527061.0,22684679.1,12407624.94,10277054.19,1814774.32,2722161.49,5740118.34,45000.0,5695118.34,18000.0,1419279.57,4257838.77,45.3,25.3,18.77
2024-07-01,2024,7,Base,2657199.0,23770253.69,12982780.79,10787472.88,1901620.27,2852430.44,6033422.18,45000.0,5988422.18,18000.0,1492605.55,4477816.63,45.38,25.38,18.84
