date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Apparel,Northeast US,All,Base,1.0,1.0488,0.9937,1.0033,0.2249,0.692,0,39213.0,33.2,1302027.26,587084.09,714943.17,130202.73,260405.45,324334.99,12500.0,311834.99,4666.67,70648.71,236519.61
2023-01-01,2023,1,Apparel,Southeast US,All,Base,1.0,1.0488,1.0097,1.0033,0.2051,0.6841,0,38766.0,33.42,1295419.99,584104.87,711315.11,129542.0,259084.0,322689.12,12500.0,310189.12,4666.67,70270.16,235252.29
2023-01-01,2023,1,Footwear,Northeast US,All,Base,1.0,1.0488,0.9937,1.0033,0.1108,0.6485,0,55752.0,42.08,2345821.55,1057730.94,1288090.61,234582.15,469164.31,584344.15,12500.0,571844.15,4666.67,130450.82,436726.66
2023-01-01,2023,1,Footwear,Southeast US,All,Base,1.0,1.0488,1.0097,1.0033,0.2904,0.719,0,61814.0,39.73,2455926.94,1107377.46,1348549.48,245592.69,491185.39,611771.4,12500.0,599271.4,4666.67,136759.09,457845.64
2023-01-01,2023,1,Accessories,Northeast US,All,Base,1.0,1.0488,0.9937,1.0033,0.0617,0.6311,0,60182.0,51.42,3094352.3,1395243.45,1699108.85,309435.23,618870.46,770803.16,12500.0,758303.16,4666.67,173336.39,580300.1
2023-01-01,2023,1,Accessories,Southeast US,All,Base,1.0,1.0488,1.0097,1.0033,0.2513,0.7027,0,67011.0,48.44,3245756.02,1463511.39,1782244.63,324575.6,649151.2,808517.82,12500.0,796017.82,4666.67,182010.77,609340.39
2023-02-01,2023,2,Apparel,Northeast US,All,Base,1.0,0.8702,0.9886,1.0067,0.1888,0.6305,0,35729.0,33.58,1199867.8,543915.37,655952.43,119986.78,239973.56,295992.09,12500.0,283492.09,4666.67,64129.85,214695.58
2023-02-01,2023,2,Apparel,Southeast US,All,Base,1.0,0.8702,1.0106,1.0067,0.0654,0.5864,0,33229.0,34.96,1161805.67,525207.57,636598.09,116180.57,232361.13,288056.39,12500.0,275556.39,4666.67,62304.64,208585.09
2023-02-01,2023,2,Footwear,Northeast US,All,Base,1.0,0.8702,0.9886,1.0067,0.272,0.6617,0,56884.0,39.96,2273247.36,1030492.01,1242755.36,227324.74,454649.47,560781.15,12500.0,548281.15,4666.67,125031.33,418583.15
2023-02-01,2023,2,Footwear,Southeast US,All,Base,1.0,0.8702,1.0106,1.0067,0.1746,0.6234,0,53590.0,41.31,2213773.41,1000761.66,1213011.75,221377.34,442754.68,548879.73,12500.0,536379.73,4666.67,122294.0,409419.06
2023-02-01,2023,2,Accessories,Northeast US,All,Base,1.0,0.8702,0.9886,1.0067,0.4767,0.7495,0,71470.0,44.88,3207931.15,1454196.08,1753735.07,320793.12,641586.23,791355.73,12500.0,778855.73,4666.67,178063.48,596125.58
2023-02-01,2023,2,Accessories,Southeast US,All,Base,1.0,0.8702,1.0106,1.0067,0.1614,0.6187,0,59002.0,49.93,2945925.15,1331739.25,1614185.9,294592.51,589185.03,730408.36,12500.0,717908.36,4666.67,164045.59,549196.1
2023-03-01,2023,3,Apparel,Northeast US,All,Base,1.0,1.0227,0.9961,1.01,0.4197,0.7648,0,43342.0,31.23,1353521.49,613699.35,739822.14,135352.15,270704.3,333765.69,12500.0,321265.69,4666.67,72817.78,243781.25
2023-03-01,2023,3,Apparel,Southeast US,All,Base,1.0,1.0227,1.0147,1.01,0.1125,0.6377,0,36136.0,34.55,1248446.25,567019.94,681426.31,124844.62,249689.25,306892.43,12500.0,294392.43,4666.67,66636.93,223088.84
2023-03-01,2023,3,Footwear,Northeast US,All,Base,1.0,1.0227,0.9961,1.01,0.0444,0.615,0,52868.0,43.09,2278049.31,1032888.95,1245160.36,227804.93,455609.86,561745.57,12500.0,549245.57,4666.67,125253.15,419325.75
2023-03-01,2023,3,Footwear,Southeast US,All,Base,1.0,1.0227,1.0147,1.01,0.3954,0.7524,0,64686.0,38.52,2491739.97,1131699.71,1360040.26,249174.0,498347.99,612518.27,12500.0,600018.27,4666.67,136930.87,458420.74
2023-03-01,2023,3,Accessories,Northeast US,All,Base,1.0,1.0227,0.9961,1.01,0.0262,0.6089,0,58066.0,52.15,3028177.54,1373004.13,1655173.41,302817.75,605635.51,746720.15,12500.0,734220.15,4666.67,167797.3,561756.18
2023-03-01,2023,3,Accessories,Southeast US,All,Base,1.0,1.0227,1.0147,1.01,0.0828,0.6273,0,59816.0,51.3,3068398.75,1393606.88,1674791.87,306839.88,613679.75,754272.24,12500.0,741772.24,4666.67,169534.28,567571.29
2023-04-01,2023,4,Apparel,Northeast US,All,Base,1.0,1.1675,1.0013,1.0134,0.2737,0.7368,0,41751.0,32.89,1373143.79,625937.14,747206.65,137314.38,274628.76,335263.51,12500.0,322763.51,4666.67,73162.28,244934.57
2023-04-01,2023,4,Apparel,Southeast US,All,Base,1.0,1.1675,1.0239,1.0134,0.1659,0.6898,0,39090.0,34.11,1333530.13,610489.76,723040.37,133353.01,266706.03,322981.33,12500.0,310481.33,4666.67,70337.37,235477.29
2023-04-01,2023,4,Footwear,Northeast US,All,Base,1.0,1.1675,1.0013,1.0134,0.1723,0.6948,0,59730.0,41.53,2480756.72,1130834.06,1349922.67,248075.67,496151.34,605695.65,12500.0,593195.65,4666.67,135361.67,453167.32
2023-04-01,2023,4,Footwear,Southeast US,All,Base,1.0,1.1675,1.0239,1.0134,0.3774,0.7812,0,67156.0,38.92,2613388.5,1196408.6,1416979.89,261338.85,522677.7,632963.34,12500.0,620463.34,4666.67,141633.24,474163.44
2023-04-01,2023,4,Accessories,Northeast US,All,Base,1.0,1.1675,1.0013,1.0134,0.3053,0.7507,0,71585.0,47.89,3428073.77,1562661.32,1865412.45,342807.38,685614.75,836990.32,12500.0,824490.32,4666.67,188559.44,631264.21
2023-04-01,2023,4,Accessories,Southeast US,All,Base,1.0,1.1675,1.0239,1.0134,0.1287,0.6754,0,64411.0,50.78,3270902.74,1497418.46,1773484.28,327090.27,654180.55,792213.46,12500.0,779713.46,4666.67,178260.76,596786.03
2023-05-01,2023,5,Apparel,Northeast US,All,Base,1.0,0.8135,1.0072,1.0168,0.0373,0.5558,0,31495.0,35.54,1119298.19,513193.15,606105.04,111929.82,223859.64,270315.58,12500.0,257815.58,4666.67,58224.25,194924.66
2023-05-01,2023,5,Apparel,Southeast US,All,Base,1.0,0.8135,1.0025,1.0168,0.1133,0.5861,0,33213.0,34.51,1146031.8,523354.81,622676.99,114603.18,229206.36,278867.45,12500.0,266367.45,4666.67,60191.18,201509.6
2023-05-01,2023,5,Footwear,Northeast US,All,Base,1.0,0.8135,1.0072,1.0168,0.1178,0.5811,0,49953.0,42.38,2117026.93,970647.26,1146379.67,211702.69,423405.39,511271.59,12500.0,498771.59,4666.67,113644.13,380460.79
2023-05-01,2023,5,Footwear,Southeast US,All,Base,1.0,0.8135,1.0025,1.0168,0.3,0.6526,0,56104.0,39.73,2229157.16,1017982.33,1211174.84,222915.72,445831.43,542427.69,12500.0,529927.69,4666.67,120810.03,404450.99
2023-05-01,2023,5,Accessories,Northeast US,All,Base,1.0,0.8135,1.0072,1.0168,0.4305,0.6985,0,66614.0,46.05,3067611.45,1406485.96,1661125.49,306761.14,613522.29,740842.05,12500.0,728342.05,4666.67,166445.34,557230.05
2023-05-01,2023,5,Accessories,Southeast US,All,Base,1.0,0.8135,1.0025,1.0168,0.0595,0.5689,0,54250.0,51.61,2800085.94,1278706.61,1521379.33,280008.59,560017.19,681353.55,12500.0,668853.55,4666.67,152762.98,511423.9
2023-06-01,2023,6,Apparel,Northeast US,All,Base,1.0,0.6518,1.0133,1.0202,0.1612,0.5506,0,31204.0,34.31,1070706.4,493860.26,576846.14,107070.64,214141.28,255634.22,12500.0,243134.22,4666.67,54847.54,183620.02
2023-06-01,2023,6,Apparel,Southeast US,All,Base,1.0,0.6518,0.9978,1.0202,0.3529,0.6266,0,35509.0,31.94,1134002.88,520488.39,613514.49,113400.29,226800.58,273313.62,12500.0,260813.62,4666.67,58913.8,197233.16
2023-06-01,2023,6,Footwear,Northeast US,All,Base,1.0,0.6518,1.0133,1.0202,0.127,0.5401,0,46435.0,42.39,1968550.55,907988.3,1060562.25,196855.05,393710.11,469997.08,12500.0,457497.08,4666.67,104151.0,348679.42
2023-06-01,2023,6,Footwear,Southeast US,All,Base,1.0,0.6518,0.9978,1.0202,0.289,0.6031,0,51851.0,39.87,2067476.3,948937.11,1118539.19,206747.63,413495.26,498296.3,12500.0,485796.3,4666.67,110659.82,370469.82
2023-06-01,2023,6,Accessories,Northeast US,All,Base,1.0,0.6518,1.0133,1.0202,0.2594,0.5827,0,55571.0,48.92,2718503.72,1253902.05,1464601.67,271850.37,543700.74,649050.55,12500.0,636550.55,4666.67,145333.29,486550.59
2023-06-01,2023,6,Accessories,Southeast US,All,Base,1.0,0.6518,0.9978,1.0202,0.2536,0.5907,0,56333.0,48.55,2735004.89,1255321.59,1479683.31,273500.49,547000.98,659181.84,12500.0,646681.84,4666.67,147663.49,494351.68
2023-07-01,2023,7,Apparel,Northeast US,All,Base,1.0,0.7593,1.045,1.0236,0.1458,0.5622,0,31857.0,34.85,1110273.91,523584.82,586689.09,111027.39,222054.78,253606.92,12500.0,241106.92,4666.67,54381.26,182058.99
2023-07-01,2023,7,Apparel,Southeast US,All,Base,1.0,0.7593,0.9909,1.0236,0.0953,0.5674,0,32156.0,34.67,1114899.49,515018.78,599880.71,111489.95,222979.9,265410.86,12500.0,252910.86,4666.67,57096.17,191148.03
2023-07-01,2023,7,Footwear,Northeast US,All,Base,1.0,0.7593,1.045,1.0236,0.1556,0.5653,0,48597.0,42.47,2063931.82,973312.41,1090619.41,206393.18,412786.36,471439.87,12500.0,458939.87,4666.67,104482.84,349790.37
2023-07-01,2023,7,Footwear,Southeast US,All,Base,1.0,0.7593,0.9909,1.0236,0.2659,0.6255,0,53776.0,40.15,2158944.81,997307.05,1161637.76,215894.48,431788.96,513954.32,12500.0,501454.32,4666.67,114261.16,382526.49
2023-07-01,2023,7,Accessories,Northeast US,All,Base,1.0,0.7593,1.045,1.0236,0.0282,0.5267,0,50224.0,53.17,2670335.98,1259281.49,1411054.49,267033.6,534067.2,609953.7,12500.0,597453.7,4666.67,136341.02,456446.01
2023-07-01,2023,7,Accessories,Southeast US,All,Base,1.0,0.7593,0.9909,1.0236,0.5408,0.7407,0,70635.0,43.99,3107367.77,1435423.34,1671944.43,310736.78,621473.55,739734.1,12500.0,727234.1,4666.67,166190.51,556376.92
2023-08-01,2023,8,Apparel,Northeast US,All,Base,1.0,0.7689,1.0388,1.027,0.0175,0.5263,0,29825.0,36.24,1080763.3,508698.67,572064.62,108076.33,216152.66,247835.63,12500.0,235335.63,4666.67,53053.86,177615.1
2023-08-01,2023,8,Apparel,Southeast US,All,Base,1.0,0.7689,0.9817,1.027,0.0315,0.5516,0,31259.0,35.3,1103565.65,513829.39,589736.26,110356.57,220713.13,258666.57,12500.0,246166.57,4666.67,55544.98,185954.92
2023-08-01,2023,8,Footwear,Northeast US,All,Base,1.0,0.7689,1.0388,1.027,0.0837,0.5458,0,46918.0,43.41,2036710.74,958648.45,1078062.3,203671.07,407342.15,467049.08,12500.0,454549.08,4666.67,103472.95,346409.45
2023-08-01,2023,8,Footwear,Southeast US,All,Base,1.0,0.7689,0.9817,1.027,0.1329,0.5835,0,50161.0,41.83,2098116.33,976900.5,1121215.83,209811.63,419623.27,491780.93,12500.0,479280.93,4666.67,109161.28,365452.99
2023-08-01,2023,8,Accessories,Northeast US,All,Base,1.0,0.7689,1.0388,1.027,0.1759,0.5748,0,54812.0,50.77,2782671.56,1309760.74,1472910.83,278267.16,556534.31,638109.36,12500.0,625609.36,4666.67,142816.82,478125.87
2023-08-01,2023,8,Accessories,Southeast US,All,Base,1.0,0.7689,0.9817,1.027,0.1799,0.5992,0,57142.0,49.61,2834647.87,1319835.74,1514812.13,283464.79,566929.57,664417.77,12500.0,651917.77,4666.67,148867.75,498383.35
2023-09-01,2023,9,Apparel,Northeast US,All,Base,1.0,0.824,1.0311,1.0304,0.1935,0.5957,0,33758.0,34.28,1157253.76,543128.0,614125.76,115725.38,231450.75,266949.63,12500.0,254449.63,4666.67,57450.08,192332.88
2023-09-01,2023,9,Apparel,Southeast US,All,Base,1.0,0.824,0.9777,1.0304,0.1082,0.5893,0,33393.0,34.49,1151678.06,538684.4,612993.66,115167.81,230335.61,267490.24,12500.0,254990.24,4666.67,57574.42,192749.15
2023-09-01,2023,9,Footwear,Northeast US,All,Base,1.0,0.824,1.0311,1.0304,0.4466,0.693,0,59577.0,38.53,2295225.0,1077206.23,1218018.77,229522.5,459045.0,529451.27,12500.0,516951.27,4666.67,117825.46,394459.14
2023-09-01,2023,9,Footwear,Southeast US,All,Base,1.0,0.824,0.9777,1.0304,0.1503,0.6034,0,51872.0,41.61,2158196.41,1009471.99,1148724.42,215819.64,431639.28,501265.5,12500.0,488765.5,4666.67,111342.73,372756.1
2023-09-01,2023,9,Accessories,Northeast US,All,Base,1.0,0.824,1.0311,1.0304,0.1835,0.5923,0,56482.0,50.6,2857879.92,1341274.19,1516605.73,285787.99,571575.98,659241.75,12500.0,646741.75,4666.67,147677.27,494397.82
2023-09-01,2023,9,Accessories,Southeast US,All,Base,1.0,0.824,0.9777,1.0304,0.067,0.576,0,54925.0,51.39,2822605.16,1320241.67,1502363.48,282260.52,564521.03,655581.94,12500.0,643081.94,4666.67,146835.51,491579.76
2023-10-01,2023,10,Apparel,Northeast US,All,Base,1.0,0.7315,1.0189,1.0338,0.1586,0.563,0,31903.0,34.59,1103386.3,514895.17,588491.13,110338.63,220677.26,257475.24,12500.0,244975.24,4666.67,55270.97,185037.6
2023-10-01,2023,10,Apparel,Southeast US,All,Base,1.0,0.7315,0.999,1.0338,0.3839,0.6553,0,37136.0,31.79,1180434.74,545776.02,634658.72,118043.47,236086.95,280528.3,12500.0,268028.3,4666.67,60573.18,202788.46
2023-10-01,2023,10,Footwear,Northeast US,All,Base,1.0,0.7315,1.0189,1.0338,0.3561,0.632,0,54333.0,39.64,2153988.6,1005158.69,1148829.91,215398.86,430797.72,502633.33,12500.0,490133.33,4666.67,111657.33,373809.33
2023-10-01,2023,10,Footwear,Southeast US,All,Base,1.0,0.7315,0.999,1.0338,0.3282,0.6336,0,54473.0,39.59,2156444.84,997035.96,1159408.89,215644.48,431288.97,512475.43,12500.0,499975.43,4666.67,113921.02,381387.75
2023-10-01,2023,10,Accessories,Northeast US,All,Base,1.0,0.7315,1.0189,1.0338,0.1899,0.5731,0,54655.0,50.38,2753606.71,1284970.46,1468636.25,275360.67,550721.34,642554.24,12500.0,630054.24,4666.67,143839.14,481548.43
2023-10-01,2023,10,Accessories,Southeast US,All,Base,1.0,0.7315,0.999,1.0338,0.1819,0.5817,0,55471.0,49.97,2771798.64,1281545.83,1490252.8,277179.86,554359.73,658713.21,12500.0,646213.21,4666.67,147555.71,493990.84
2023-11-01,2023,11,Apparel,Northeast US,All,Base,1.0,0.9393,1.0279,1.0373,0.3327,0.6763,0,38324.0,32.82,1257780.33,591514.89,666265.44,125778.03,251556.07,288931.34,12500.0,276431.34,4666.67,62505.87,209258.8
2023-11-01,2023,11,Apparel,Southeast US,All,Base,1.0,0.9393,0.9865,1.0373,0.1403,0.6237,0,35345.0,34.33,1213359.37,566674.65,646684.72,121335.94,242671.87,282676.91,12500.0,270176.91,4666.67,61067.36,204442.89
2023-11-01,2023,11,Footwear,Northeast US,All,Base,1.0,0.9393,1.0279,1.0373,0.2691,0.6512,0,55983.0,40.97,2293530.29,1078612.29,1214918.0,229353.03,458706.06,526858.91,12500.0,514358.91,4666.67,117229.22,392463.03
2023-11-01,2023,11,Footwear,Southeast US,All,Base,1.0,0.9393,0.9865,1.0373,0.2232,0.654,0,56220.0,40.87,2297823.82,1073151.56,1224672.26,229782.38,459564.76,535325.11,12500.0,522825.11,4666.67,119176.44,398982.0
2023-11-01,2023,11,Accessories,Northeast US,All,Base,1.0,0.9393,1.0279,1.0373,0.2002,0.6257,0,59665.0,50.42,3008255.4,1414736.6,1593518.79,300825.54,601651.08,691042.18,12500.0,678542.18,4666.67,154991.37,518884.14
2023-11-01,2023,11,Accessories,Southeast US,All,Base,1.0,0.9393,0.9865,1.0373,0.3366,0.6992,0,66676.0,47.4,3160530.83,1476061.21,1684469.63,316053.08,632106.17,736310.38,12500.0,723810.38,4666.67,165403.05,553740.66
2023-12-01,2023,12,Apparel,Northeast US,All,Base,1.0,1.0789,1.0447,1.0407,0.0591,0.6041,0,34235.0,36.04,1233827.56,587630.94,646196.61,123382.76,246765.51,276048.34,12500.0,263548.34,4666.67,59542.79,199338.89
2023-12-01,2023,12,Apparel,Southeast US,All,Base,1.0,1.0789,1.0002,1.0407,0.2322,0.6881,0,38995.0,33.53,1307334.68,606404.92,700929.77,130733.47,261466.94,308729.36,12500.0,296229.36,4666.67,67059.42,224503.28
2023-12-01,2023,12,Footwear,Northeast US,All,Base,1.0,1.0789,1.0447,1.0407,0.4098,0.7408,0,63684.0,39.33,2505016.53,1193055.89,1311960.64,250501.65,501003.31,560455.68,12500.0,547955.68,4666.67,124956.47,418332.54
2023-12-01,2023,12,Footwear,Southeast US,All,Base,1.0,1.0789,1.0002,1.0407,0.1693,0.6637,0,57059.0,41.81,2385649.66,1106579.44,1279070.22,238564.97,477129.93,563375.32,12500.0,550875.32,4666.67,125627.99,420580.66
2023-12-01,2023,12,Accessories,Northeast US,All,Base,1.0,1.0789,1.0447,1.0407,0.2291,0.665,0,63415.0,50.27,3187928.11,1518303.91,1669624.2,318792.81,637585.62,713245.77,12500.0,700745.77,4666.67,160098.19,535980.91
2023-12-01,2023,12,Accessories,Southeast US,All,Base,1.0,1.0789,1.0002,1.0407,0.1905,0.6718,0,64063.0,49.99,3202379.92,1485418.35,1716961.57,320237.99,640475.98,756247.6,12500.0,743747.6,4666.67,169988.61,569092.32
2024-01-01,2024,1,Apparel,Northeast US,All,Base,1.0,1.0698,1.0429,1.0442,0.1446,0.6304,0,35723.0,35.13,1254905.78,598196.35,656709.43,125490.58,250981.16,280237.7,12500.0,267737.7,4666.67,60506.34,202564.69
2024-01-01,2024,1,Apparel,Southeast US,All,Base,1.0,1.0698,0.9761,1.0442,0.0485,0.6249,0,35409.0,35.3,1249984.35,590028.14,659956.21,124998.44,249996.87,284960.91,12500.0,272460.91,4666.67,61592.67,206201.56
2024-01-01,2024,1,Footwear,Northeast US,All,Base,1.0,1.0698,1.0429,1.0442,0.0736,0.6059,0,52090.0,43.89,2286451.88,1089920.21,1196531.67,228645.19,457290.38,510596.11,12500.0,498096.11,4666.67,113488.77,379940.67
2024-01-01,2024,1,Footwear,Southeast US,All,Base,1.0,1.0698,0.9761,1.0442,0.2828,0.7139,0,61371.0,40.07,2459283.96,1160851.92,1298432.03,245928.4,491856.79,560646.84,12500.0,548146.84,4666.67,125000.44,418479.74
2024-01-01,2024,1,Accessories,Northeast US,All,Base,1.0,1.0698,1.0429,1.0442,0.6713,0.8725,0,83198.0,43.15,3589723.93,1711172.09,1878551.83,358972.39,717944.79,801634.66,12500.0,789134.66,4666.67,180427.64,604040.35
2024-01-01,2024,1,Accessories,Southeast US,All,Base,1.0,1.0698,0.9761,1.0442,0.0877,0.6385,0,60887.0,51.32,3124624.63,1474911.63,1649713.0,312462.46,624924.93,712325.61,12500.0,699825.61,4666.67,159886.56,535272.38
2024-02-01,2024,2,Apparel,Northeast US,All,Base,1.0,1.2327,1.0302,1.0477,0.0835,0.6507,0,36871.0,35.72,1316884.09,623994.81,692889.28,131688.41,263376.82,297824.06,12500.0,285324.06,4666.67,64551.2,216106.19
2024-02-01,2024,2,Apparel,Southeast US,All,Base,1.0,1.2327,0.9713,1.0477,0.2378,0.7395,0,41906.0,33.26,1393965.9,661346.7,732619.2,139396.59,278793.18,314429.43,12500.0,301929.43,4666.67,68370.44,228892.33
2024-02-01,2024,2,Footwear,Northeast US,All,Base,1.0,1.2327,1.0302,1.0477,0.2246,0.7048,0,60587.0,41.76,2530229.26,1198928.54,1331300.72,253022.93,506045.85,572231.94,12500.0,559731.94,4666.67,127665.01,427400.26
2024-02-01,2024,2,Footwear,Southeast US,All,Base,1.0,1.2327,0.9713,1.0477,0.2521,0.7457,0,64105.0,40.47,2594499.66,1230922.35,1363577.31,259449.97,518899.93,585227.41,12500.0,572727.41,4666.67,130653.97,437406.77
2024-02-01,2024,2,Accessories,Northeast US,All,Base,1.0,1.2327,1.0302,1.0477,0.2259,0.7053,0,67259.0,50.24,3379405.08,1601303.59,1778101.49,337940.51,675881.02,764279.97,12500.0,751779.97,4666.67,171836.06,575277.24
2024-02-01,2024,2,Accessories,Southeast US,All,Base,1.0,1.2327,0.9713,1.0477,0.1166,0.6901,0,65810.0,50.86,3346863.53,1587870.37,1758993.16,334686.35,669372.71,754934.1,12500.0,742434.1,4666.67,169686.51,568080.93
2024-03-01,2024,3,Apparel,Northeast US,All,Base,1.0,1.2493,1.0179,1.0512,0.1469,0.681,0,38592.0,34.94,1348393.87,635229.74,713164.13,134839.39,269678.77,308645.97,12500.0,296145.97,4666.67,67040.24,224439.06
2024-03-01,2024,3,Apparel,Southeast US,All,Base,1.0,1.2493,0.9735,1.0512,0.2562,0.7493,0,42459.0,33.13,1406856.6,667896.26,738960.34,140685.66,281371.32,316903.36,12500.0,304403.36,4666.67,68939.44,230797.25
2024-03-01,2024,3,Footwear,Northeast US,All,Base,1.0,1.2493,1.0179,1.0512,0.4133,0.797,0,68514.0,39.14,2681363.26,1263193.0,1418170.26,268136.33,536272.65,613761.29,12500.0,601261.29,4666.67,137216.76,459377.86
2024-03-01,2024,3,Footwear,Southeast US,All,Base,1.0,1.2493,0.9735,1.0512,0.163,0.7101,0,61047.0,41.73,2547310.08,1209319.33,1337990.75,254731.01,509462.02,573797.73,12500.0,561297.73,4666.67,128025.14,428605.92
2024-03-01,2024,3,Accessories,Northeast US,All,Base,1.0,1.2493,1.0179,1.0512,0.1562,0.6846,0,65289.0,51.25,3346306.28,1576448.34,1769857.94,334630.63,669261.26,765966.06,12500.0,753466.06,4666.67,172223.86,576575.53
2024-03-01,2024,3,Accessories,Southeast US,All,Base,1.0,1.2493,0.9735,1.0512,0.3978,0.8156,0,77779.0,46.5,3617044.88,1717169.15,1899875.73,361704.49,723408.98,814762.27,12500.0,802262.27,4666.67,183446.99,614148.61
2024-04-01,2024,4,Apparel,Northeast US,All,Base,1.0,1.0495,1.0274,1.0547,0.0819,0.6044,0,34251.0,35.8,1226240.2,582379.24,643860.96,122624.02,245248.04,275988.9,12500.0,263488.9,4666.67,59529.11,199293.12
2024-04-01,2024,4,Apparel,Southeast US,All,Base,1.0,1.0495,0.9817,1.0547,0.3358,0.7234,0,40991.0,32.4,1328158.39,628542.86,699615.53,132815.84,265631.68,301168.01,12500.0,288668.01,4666.67,65320.31,218681.04
2024-04-01,2024,4,Footwear,Northeast US,All,Base,1.0,1.0495,1.0274,1.0547,0.1179,0.6167,0,53014.0,43.28,2294276.32,1089622.49,1204653.82,229427.63,458855.26,516370.93,12500.0,503870.93,4666.67,114816.98,384387.28
2024-04-01,2024,4,Footwear,Southeast US,All,Base,1.0,1.0495,0.9817,1.0547,0.2439,0.6851,0,58896.0,40.82,2404100.4,1137725.86,1266374.54,240410.04,480820.08,545144.42,12500.0,532644.42,4666.67,121434.88,406542.87
2024-04-01,2024,4,Accessories,Northeast US,All,Base,1.0,1.0495,1.0274,1.0547,0.2362,0.6597,0,62910.0,50.17,3156432.37,1499086.96,1657345.41,315643.24,631286.47,710415.7,12500.0,697915.7,4666.67,159447.28,533801.76
2024-04-01,2024,4,Accessories,Southeast US,All,Base,1.0,1.0495,0.9817,1.0547,0.0943,0.6292,0,60001.0,51.51,3090714.7,1462661.89,1628052.81,309071.47,618142.94,700838.4,12500.0,688338.4,4666.67,157244.5,526427.24
2024-05-01,2024,5,Apparel,Northeast US,All,Base,1.0,1.0961,1.0384,1.0582,0.1373,0.6295,0,35674.0,35.36,1261262.36,604425.21,656837.15,126126.24,252252.47,278458.44,12500.0,265958.44,4666.67,60097.11,201194.67
2024-05-01,2024,5,Apparel,Southeast US,All,Base,1.0,1.0961,0.9917,1.0582,0.1994,0.6745,0,38225.0,34.02,1300578.89,612800.74,687778.16,130057.89,260115.78,297604.49,12500.0,285104.49,4666.67,64500.7,215937.12
2024-05-01,2024,5,Footwear,Northeast US,All,Base,1.0,1.0961,1.0384,1.0582,0.0643,0.6045,0,51965.0,44.2,2296994.37,1100771.22,1196223.15,229699.44,459398.87,507124.84,12500.0,494624.84,4666.67,112690.38,377267.79
2024-05-01,2024,5,Footwear,Southeast US,All,Base,1.0,1.0961,0.9917,1.0582,0.1055,0.6396,0,54988.0,42.84,2355456.98,1109833.31,1245623.67,235545.7,471091.4,538986.58,12500.0,526486.58,4666.67,120018.58,401801.33
2024-05-01,2024,5,Accessories,Northeast US,All,Base,1.0,1.0961,1.0384,1.0582,0.238,0.6669,0,63596.0,50.38,3203775.91,1535321.27,1668454.63,320377.59,640755.18,707321.86,12500.0,694821.86,4666.67,158735.69,531419.5
2024-05-01,2024,5,Accessories,Southeast US,All,Base,1.0,1.0961,0.9917,1.0582,0.1911,0.6713,0,64020.0,50.19,3213256.92,1514007.51,1699249.41,321325.69,642651.38,735272.34,12500.0,722772.34,4666.67,165164.3,552941.37
2024-06-01,2024,6,Apparel,Northeast US,All,Base,1.0,0.9187,1.0464,1.0617,0.1679,0.5927,0,33588.0,35.15,1180582.34,569806.12,610776.23,118058.23,236116.47,256601.52,12500.0,244101.52,4666.67,55070.02,184364.84
2024-06-01,2024,6,Apparel,Southeast US,All,Base,1.0,0.9187,1.003,1.0617,0.1923,0.6205,0,35161.0,34.27,1204844.03,564717.82,640126.21,120484.4,240968.81,278673.0,12500.0,266173.0,4666.67,60146.46,201359.88
