date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,322738.0,13739304.06,6195052.2,7544251.85,1373930.4,2747860.81,3422460.64,75000.0,3347460.64,28000.02,763475.94,2555984.69,54.91,24.91,18.6
2023-02-01,2023,2,Base,309904.0,13002550.54,5886311.94,7116238.6,1300255.06,2600510.1,3215473.45,75000.0,3140473.45,28000.02,715868.89,2396604.56,54.73,24.73,18.43
2023-03-01,2023,3,Base,314914.0,13468333.31,6111918.96,7356414.35,1346833.33,2693666.66,3315914.35,75000.0,3240914.35,28000.02,738970.31,2473944.05,54.62,24.62,18.37
2023-04-01,2023,4,Base,343723.0,14499795.65,6623749.34,7876046.31,1449979.56,2899959.13,3526107.61,75000.0,3451107.61,28000.02,787314.76,2635792.86,54.32,24.32,18.18
2023-05-01,2023,5,Base,291629.0,12479211.47,5710370.12,6768841.36,1247921.14,2495842.3,3025077.91,75000.0,2950077.91,28000.02,672077.91,2249999.99,54.24,24.24,18.03
2023-06-01,2023,6,Base,276903.0,11694244.74,5380497.7,6313747.05,1169424.47,2338848.95,2805473.61,75000.0,2730473.61,28000.02,621568.94,2080904.69,53.99,23.99,17.79
2023-07-01,2023,7,Base,287245.0,12225753.78,5703927.89,6521825.89,1222575.38,2445150.75,2854099.77,75000.0,2779099.77,28000.02,632752.96,2118346.81,53.34,23.34,17.33
2023-08-01,2023,8,Base,270117.0,11936475.45,5587673.49,6348801.97,1193647.55,2387295.09,2767859.34,75000.0,2692859.34,28000.02,612917.64,2051941.68,53.19,23.19,17.19
2023-09-01,2023,9,Base,290007.0,12442838.31,5830006.48,6612831.82,1244283.84,2488567.65,2879980.33,75000.0,2804980.33,28000.02,638705.47,2138274.85,53.15,23.15,17.18
2023-10-01,2023,10,Base,287971.0,12119659.83,5629382.13,6490277.7,1211965.97,2423931.97,2854379.75,75000.0,2779379.75,28000.02,632817.35,2118562.41,53.55,23.55,17.48
2023-11-01,2023,11,Base,312213.0,13231280.04,6200751.2,7030528.84,1323128.0,2646256.01,3061144.83,75000.0,2986144.83,28000.02,680373.31,2277771.52,53.14,23.14,17.22
2023-12-01,2023,12,Base,321451.0,13822136.46,6497393.45,7324743.01,1382213.65,2764427.29,3178102.07,75000.0,3103102.07,28000.02,707273.47,2367828.6,52.99,22.99,17.13
2024-01-01,2024,1,Base,328678.0,13964974.53,6625080.34,7339894.17,1396497.46,2792994.92,3150401.83,75000.0,3075401.83,28000.02,700902.42,2346499.39,52.56,22.56,16.8
2024-02-01,2024,2,Base,336538.0,14561847.52,6904366.36,7657481.16,1456184.76,2912369.51,3288926.91,75000.0,3213926.91,28000.02,732763.19,2453163.72,52.59,22.59,16.85
2024-03-01,2024,3,Base,353680.0,14947274.97,7069255.82,7878019.15,1494727.51,2989455.0,3393836.68,75000.0,3318836.68,28000.02,756892.43,2533944.23,52.71,22.71,16.95
2024-04-01,2024,4,Base,310063.0,13499922.38,6400019.3,7099903.07,1349992.24,2699984.47,3049926.36,75000.0,2974926.36,28000.02,677793.06,2269133.31,52.59,22.59,16.81
2024-05-01,2024,5,Base,308468.0,13631325.43,6477159.26,7154166.17,1363132.55,2726265.08,3064768.55,75000.0,2989768.55,28000.02,681206.76,2280561.78,52.48,22.48,16.73
2024-06-01,2024,6,Base,283464.0,12598312.15,5992314.55,6605997.59,1259831.21,2519662.43,2826503.93,75000.0,2751503.93,28000.02,626405.91,2097098.05,52.44,22.44,16.65
2024-07-01,2024,7,Base,330103.0,13947899.2,6637081.12,7310818.06,1394789.91,2789579.84,3126448.32,75000.0,3051448.32,28000.02,695393.12,2328055.19,52.42,22.42,16.69
2024-08-01,2024,8,Base,300308.0,13322294.97,6373614.57,6948680.4,1332229.5,2664458.98,2951991.91,75000.0,2876991.91,28000.02,655268.13,2193723.79,52.16,22.16,16.47
2024-09-01,2024,9,Base,306717.0,13356134.82,6380014.81,6976120.0,1335613.48,2671226.97,2969279.55,75000.0,2894279.55,28000.02,659244.3,2207035.26,52.23,22.23,16.52
2024-10-01,2024,10,Base,279480.0,12440465.94,5966009.07,6474456.88,1244046.6,2488093.18,2742317.1,75000.0,2667317.1,28000.02,607042.94,2032274.15,52.04,22.04,16.34
2024-11-01,2024,11,Base,302988.0,13584619.14,6593307.26,6991311.88,1358461.92,2716923.84,2915926.13,75000.0,2840926.13,28000.02,646973.01,2165953.15,51.46,21.46,15.94
2024-12-01,2024,12,Base,292677.0,13190190.93,6455391.65,6734799.28,1319019.09,2638038.18,2777742.01,75000.0,2702742.01,28000.02,615190.66,2059551.34,51.06,21.06,15.61
