date,year,month,quarter,month_name
2016-01-01,2016,1,Q1,Jan
2016-02-01,2016,2,Q1,Feb
2016-03-01,2016,3,Q1,Mar
2016-04-01,2016,4,Q2,Apr
2016-05-01,2016,5,Q2,May
2016-06-01,2016,6,Q2,Jun
2016-07-01,2016,7,Q3,Jul
2016-08-01,2016,8,Q3,Aug
2016-09-01,2016,9,Q3,Sep
2016-10-01,2016,10,Q4,Oct
2016-11-01,2016,11,Q4,Nov
2016-12-01,2016,12,Q4,Dec
2017-01-01,2017,1,Q1,Jan
2017-02-01,2017,2,Q1,Feb
2017-03-01,2017,3,Q1,Mar
2017-04-01,2017,4,Q2,Apr
2017-05-01,2017,5,Q2,May
2017-06-01,2017,6,Q2,Jun
2017-07-01,2017,7,Q3,Jul
2017-08-01,2017,8,Q3,Aug
2017-09-01,2017,9,Q3,Sep
2017-10-01,2017,10,Q4,Oct
2017-11-01,2017,11,Q4,Nov
2017-12-01,2017,12,Q4,Dec
2018-01-01,2018,1,Q1,Jan
2018-02-01,2018,2,Q1,Feb
2018-03-01,2018,3,Q1,Mar
2018-04-01,2018,4,Q2,Apr
2018-05-01,2018,5,Q2,May
2018-06-01,2018,6,Q2,Jun
2018-07-01,2018,7,Q3,Jul
2018-08-01,2018,8,Q3,Aug
2018-09-01,2018,9,Q3,Sep
2018-10-01,2018,10,Q4,Oct
2018-11-01,2018,11,Q4,Nov
2018-12-01,2018,12,Q4,Dec
2019-01-01,2019,1,Q1,Jan
2019-02-01,2019,2,Q1,Feb
2019-03-01,2019,3,Q1,Mar
2019-04-01,2019,4,Q2,Apr
2019-05-01,2019,5,Q2,May
2019-06-01,2019,6,Q2,Jun
2019-07-01,2019,7,Q3,Jul
2019-08-01,2019,8,Q3,Aug
2019-09-01,2019,9,Q3,Sep
2019-10-01,2019,10,Q4,Oct
2019-11-01,2019,11,Q4,Nov
2019-12-01,2019,12,Q4,Dec
2020-01-01,2020,1,Q1,Jan
2020-02-01,2020,2,Q1,Feb
2020-03-01,2020,3,Q1,Mar
2020-04-01,2020,4,Q2,Apr
2020-05-01,2020,5,Q2,May
2020-06-01,2020,6,Q2,Jun
2020-07-01,2020,7,Q3,Jul
2020-08-01,2020,8,Q3,Aug
2020-09-01,2020,9,Q3,Sep
2020-10-01,2020,10,Q4,Oct
2020-11-01,2020,11,Q4,Nov
2020-12-01,2020,12,Q4,Dec
