date,year,month,product,region,channel,scenario,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2016-01-01,2016,1,Snacks,North America,Club,Base,1.0,1.3015,0.9787,1.0058,0.1172,0.8098,0,148457.0,12.71,1887497.63,985506.56,901991.08,150999.81,226499.72,524491.55,500.0,523991.55,200.0,130947.89,392843.66
2016-01-01,2016,1,Snacks,North America,Club,Optimistic,1.0,1.3015,0.9787,1.0058,0.1495,0.7766,0,142386.0,14.47,2060916.62,1076052.66,984863.97,164873.33,247309.99,572680.64,500.0,572180.64,200.0,142995.16,428985.48
2016-01-01,2016,1,Snacks,North America,Club,Pessimistic,1.0,1.3015,0.9787,1.0058,0.2481,0.9292,0,170346.0,10.0,1703691.65,889537.16,814154.49,136295.33,204443.0,473416.16,500.0,472916.16,200.0,118179.04,354537.12
2016-01-01,2016,1,Snacks,North America,Drug,Base,1.0,1.3015,0.9787,1.0058,0.49,0.9622,0,176402.0,11.24,1982836.74,1035285.33,947551.41,158626.94,237940.41,550984.06,500.0,550484.06,200.0,137571.02,412713.05
2016-01-01,2016,1,Snacks,North America,Drug,Optimistic,1.0,1.3015,0.9787,1.0058,0.3637,0.8562,0,156969.0,13.5,2119140.94,1106452.93,1012688.01,169531.27,254296.91,588859.82,500.0,588359.82,200.0,147039.95,441119.86
2016-01-01,2016,1,Snacks,North America,Drug,Pessimistic,1.0,1.3015,0.9787,1.0058,0.1293,0.8813,0,161575.0,10.39,1678151.31,876201.96,801949.36,134252.11,201378.16,466319.09,500.0,465819.09,200.0,116404.77,349214.32
2016-01-01,2016,1,Snacks,Asia Pacific,Club,Base,1.0,1.3015,0.7211,1.0058,0.2927,0.8759,0,160590.0,12.02,1930341.53,1007876.35,922465.18,154427.32,231640.98,536396.87,500.0,535896.87,200.0,133924.22,401772.65
2016-01-01,2016,1,Snacks,Asia Pacific,Club,Optimistic,1.0,1.3015,0.7211,1.0058,0.3758,0.8611,0,157867.0,13.45,2122597.12,1108257.48,1014339.64,169807.77,254711.65,589820.21,500.0,589320.21,200.0,147280.05,441840.16
2016-01-01,2016,1,Snacks,Asia Pacific,Club,Pessimistic,1.0,1.3015,0.7211,1.0058,0.2113,0.9139,0,167545.0,10.12,1695639.96,885333.19,810306.77,135651.2,203476.79,471178.78,500.0,470678.78,200.0,117619.69,352859.08
2016-01-01,2016,1,Snacks,Asia Pacific,Drug,Base,1.0,1.3015,0.7211,1.0058,0.0399,0.7833,0,143605.0,13.02,1869661.41,976193.85,893467.56,149572.91,224359.37,519535.28,500.0,519035.28,200.0,129708.82,389126.46
2016-01-01,2016,1,Snacks,Asia Pacific,Drug,Optimistic,1.0,1.3015,0.7211,1.0058,0.7988,1.0,1,183332.0,11.52,2112417.78,1102942.61,1009475.17,168993.42,253490.13,586991.61,500.0,586491.61,200.0,146572.9,439718.71
2016-01-01,2016,1,Snacks,Asia Pacific,Drug,Pessimistic,1.0,1.3015,0.7211,1.0058,0.0399,0.848,0,155463.0,10.68,1659765.78,866602.44,793163.34,132781.26,199171.89,461210.18,500.0,460710.18,200.0,115127.55,345382.64
2016-01-01,2016,1,Snacks,Latin America,Club,Base,1.0,1.3015,0.1904,1.0058,0.364,0.9056,0,166017.0,11.74,1948760.54,1017493.35,931267.19,155900.84,233851.27,541515.08,500.0,541015.08,200.0,135203.77,405611.31
2016-01-01,2016,1,Snacks,Latin America,Club,Optimistic,1.0,1.3015,0.1904,1.0058,0.1147,0.7649,0,140232.0,14.63,2051963.86,1071378.21,980585.65,164157.11,246235.66,570192.88,500.0,569692.88,200.0,142373.22,427119.66
2016-01-01,2016,1,Snacks,Latin America,Club,Pessimistic,1.0,1.3015,0.1904,1.0058,0.1832,0.9025,0,165455.0,10.21,1689569.11,882163.46,807405.66,135165.53,202748.29,469491.83,500.0,468991.83,200.0,117197.96,351593.87
2016-01-01,2016,1,Snacks,Latin America,Drug,Base,1.0,1.3015,0.1904,1.0058,0.0685,0.7929,0,145370.0,12.91,1876198.78,979607.16,896591.62,150095.9,225143.85,521351.86,500.0,520851.86,200.0,130162.97,390488.9
2016-01-01,2016,1,Snacks,Latin America,Drug,Optimistic,1.0,1.3015,0.1904,1.0058,0.3078,0.8341,0,152922.0,13.75,2103385.29,1098226.54,1005158.75,168270.82,252406.23,584481.69,500.0,583981.69,200.0,145945.42,437836.27
2016-01-01,2016,1,Snacks,Latin America,Drug,Pessimistic,1.0,1.3015,0.1904,1.0058,0.0646,0.857,0,157111.0,10.6,1664772.57,869216.6,795555.97,133181.81,199772.71,462601.45,500.0,462101.45,200.0,115475.36,346426.09
2016-01-01,2016,1,Beverages,North America,Club,Base,1.0,1.3015,0.9787,1.0058,0.4608,0.9486,0,134744.0,7.6,1023939.4,534622.66,489316.75,81915.15,122872.73,284528.87,500.0,284028.87,200.0,70957.22,212871.65
2016-01-01,2016,1,Beverages,North America,Club,Optimistic,1.0,1.3015,0.9787,1.0058,0.0796,0.7534,0,107020.0,9.9,1059366.29,553119.86,506246.43,84749.3,127123.95,294373.17,500.0,293873.17,200.0,73418.29,220254.88
2016-01-01,2016,1,Beverages,North America,Club,Pessimistic,1.0,1.3015,0.9787,1.0058,0.1079,0.8731,0,124029.0,7.0,867823.57,453110.94,414712.64,69425.89,104138.83,241147.92,500.0,240647.92,200.0,60111.98,180335.94
2016-01-01,2016,1,Beverages,North America,Drug,Base,1.0,1.3015,0.9787,1.0058,0.1477,0.8206,0,116573.0,8.43,982425.2,512947.12,469478.08,78594.02,117891.02,272993.04,500.0,272493.04,200.0,68073.26,204219.78
2016-01-01,2016,1,Beverages,North America,Drug,Optimistic,1.0,1.3015,0.9787,1.0058,0.1143,0.7648,0,108635.0,9.79,1063909.52,555491.98,508417.53,85112.76,127669.14,295635.63,500.0,295135.63,200.0,73733.91,221201.72
2016-01-01,2016,1,Beverages,North America,Drug,Pessimistic,1.0,1.3015,0.9787,1.0058,0.5394,1.0,1,142049.0,6.06,860954.25,449524.3,411429.95,68876.34,103314.51,239239.1,500.0,238739.1,200.0,59634.77,178904.32
2016-01-01,2016,1,Beverages,Asia Pacific,Club,Base,1.0,1.3015,0.7211,1.0058,0.2023,0.8408,0,119430.0,8.28,989247.1,516508.99,472738.1,79139.77,118709.65,274888.69,500.0,274388.69,200.0,68547.17,205641.51
2016-01-01,2016,1,Beverages,Asia Pacific,Club,Optimistic,1.0,1.3015,0.7211,1.0058,0.2924,0.8282,0,117650.0,9.25,1088419.96,568289.46,520130.5,87073.6,130610.4,302446.51,500.0,301946.51,200.0,75436.63,226309.88
2016-01-01,2016,1,Beverages,Asia Pacific,Club,Pessimistic,1.0,1.3015,0.7211,1.0058,0.489,1.0,1,142049.0,6.17,876471.06,457625.99,418845.07,70117.68,105176.53,243550.86,500.0,243050.86,200.0,60712.71,182138.14
2016-01-01,2016,1,Beverages,Asia Pacific,Drug,Base,1.0,1.3015,0.7211,1.0058,0.2867,0.8735,0,124085.0,8.06,1000111.64,522181.63,477930.02,80008.93,120013.4,277907.69,500.0,277407.69,200.0,69301.92,207905.77
2016-01-01,2016,1,Beverages,Asia Pacific,Drug,Optimistic,1.0,1.3015,0.7211,1.0058,0.1678,0.7829,0,111218.0,9.63,1071076.7,559234.14,511842.56,85686.14,128529.2,297627.22,500.0,297127.22,200.0,74231.81,222695.42
