date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2016-01-01,2016,1,Base,3719605.0,44379232.19,23171432.66,21207799.55,3550338.58,5325507.87,12331953.1,15000.0,12316953.1,6000.0,3077738.3,9233214.84,47.79,27.79,20.81
2016-02-01,2016,2,Base,3777608.0,44607638.4,23440819.96,21166818.44,3568611.09,5352916.61,12245290.75,15000.0,12230290.75,6000.0,3056072.71,9168218.07,47.45,27.45,20.55
2016-03-01,2016,3,Base,3703423.0,44644183.2,23596148.7,21048034.49,3571534.67,5357301.98,12119197.83,15000.0,12104197.83,6000.0,3024549.49,9073648.38,47.15,27.15,20.32
2016-04-01,2016,4,Base,3448404.0,40822004.63,21685997.92,19136006.74,3265760.38,4898640.59,10971605.75,15000.0,10956605.75,6000.0,2737651.45,8212954.37,46.88,26.88,20.12
2016-05-01,2016,5,Base,3341389.0,40096379.64,21439214.85,18657164.78,3207710.36,4811565.58,10637888.87,15000.0,10622888.87,6000.0,2654222.2,7962666.61,46.53,26.53,19.86
2016-06-01,2016,6,Base,3533805.0,42081103.07,22618103.77,19462999.31,3366488.28,5049732.36,11046778.69,15000.0,11031778.69,6000.0,2756444.65,8269334.02,46.25,26.25,19.65
2016-07-01,2016,7,Base,3356235.0,40191204.17,21667584.59,18523619.53,3215296.33,4822944.5,10485378.75,15000.0,10470378.75,6000.0,2616094.66,7848284.05,46.09,26.09,19.53
2016-08-01,2016,8,Base,3275647.0,39582292.2,21470028.79,18112263.42,3166583.39,4749875.08,10195804.97,15000.0,10180804.97,6000.0,2543701.25,7631103.73,45.76,25.76,19.28
2016-09-01,2016,9,Base,3318000.0,40131448.93,21871484.83,18259964.06,3210515.91,4815773.89,10233674.29,15000.0,10218674.29,6000.0,2553168.61,7659505.73,45.5,25.5,19.09
2016-10-01,2016,10,Base,3426822.0,41178986.62,22529447.34,18649539.24,3294318.92,4941478.42,10413741.91,15000.0,10398741.91,6000.0,2598185.46,7794556.42,45.29,25.29,18.93
2016-11-01,2016,11,Base,3483099.0,42017925.03,23084956.25,18932968.76,3361434.02,5042151.0,10529383.77,15000.0,10514383.77,6000.0,2627095.92,7881287.81,45.06,25.06,18.76
2016-12-01,2016,12,Base,3605925.0,43392158.78,24040050.65,19352108.16,3471372.68,5207059.05,10673676.37,15000.0,10658676.37,6000.0,2663169.12,7989507.31,44.6,24.6,18.41
2017-01-01,2017,1,Base,3431809.0,41782912.78,23095900.1,18687012.68,3342633.01,5013949.55,10330430.16,15000.0,10315430.16,6000.0,2577357.53,7732072.6,44.72,24.72,18.51
2017-02-01,2017,2,Base,3547855.0,43110868.54,23905495.42,19205373.09,3448869.48,5173304.24,10583199.4,15000.0,10568199.4,6000.0,2640549.83,7921649.51,44.55,24.55,18.38
2017-03-01,2017,3,Base,3441045.0,42026065.82,23433468.39,18592597.47,3362085.3,5043127.9,10187384.26,15000.0,10172384.26,6000.0,2541596.07,7624788.23,44.24,24.24,18.14
2017-04-01,2017,4,Base,3625229.0,43923670.72,24575910.69,19347760.04,3513893.65,5270840.49,10563025.87,15000.0,10548025.87,6000.0,2635506.48,7906519.42,44.05,24.05,18.0
2017-05-01,2017,5,Base,3332040.0,41172453.96,23075879.79,18096574.14,3293796.33,4940694.47,9862083.35,15000.0,9847083.35,6000.0,2460270.85,7380812.53,43.95,23.95,17.93
2017-06-01,2017,6,Base,3556297.0,44347770.25,25039878.52,19307891.73,3547821.62,5321732.45,10438337.66,15000.0,10423337.66,6000.0,2604334.41,7813003.23,43.54,23.54,17.62
2017-07-01,2017,7,Base,3417036.0,42173067.07,23864010.79,18309056.31,3373845.37,5060768.06,9874442.9,15000.0,9859442.9,6000.0,2463360.71,7390082.16,43.41,23.41,17.52
2017-08-01,2017,8,Base,3252342.0,40023042.07,22835932.81,17187109.3,3201843.37,4802765.04,9182500.87,15000.0,9167500.87,6000.0,2290375.2,6871125.67,42.94,22.94,17.17
2017-09-01,2017,9,Base,3458747.0,43456330.55,24814778.06,18641552.5,3476506.45,5214759.66,9950286.37,15000.0,9935286.37,6000.0,2482321.61,7446964.78,42.9,22.9,17.14
2017-10-01,2017,10,Base,3468451.0,43914221.15,25200413.69,18713807.47,3513137.67,5269706.55,9930963.24,15000.0,9915963.24,6000.0,2477490.82,7432472.42,42.61,22.61,16.92
2017-11-01,2017,11,Base,3526574.0,43970300.41,25294016.4,18676284.01,3517624.04,5276436.05,9882223.93,15000.0,9867223.93,6000.0,2465305.98,7395917.96,42.47,22.47,16.82
2017-12-01,2017,12,Base,3404610.0,42772431.77,24645109.58,18127322.22,3421794.55,5132691.81,9572835.88,15000.0,9557835.88,6000.0,2387958.98,7163876.89,42.38,22.38,16.75
2018-01-01,2018,1,Base,3300460.0,41366320.45,24079645.84,17286674.59,3309305.64,4963958.47,9013410.5,15000.0,8998410.5,6000.0,2248102.61,6744307.88,41.79,21.79,16.3
2018-02-01,2018,2,Base,3258774.0,41006300.53,23916067.22,17090233.3,3280504.07,4920756.03,8888973.21,15000.0,8873973.21,6000.0,2216993.32,6650979.91,41.68,21.68,16.22
2018-03-01,2018,3,Base,3301666.0,41652462.32,24494535.25,17157927.07,3332197.0,4998295.45,8827434.59,15000.0,8812434.59,6000.0,2201608.63,6604825.96,41.19,21.19,15.86
2018-04-01,2018,4,Base,3104604.0,38966417.84,23104986.12,15861431.78,3117313.41,4675970.15,8068148.19,15000.0,8053148.19,6000.0,2011787.08,6035361.13,40.71,20.71,15.49
2018-05-01,2018,5,Base,3143583.0,40396020.13,24007839.29,16388180.8,3231681.61,4847522.4,8308976.79,15000.0,8293976.79,6000.0,2071994.21,6215982.6,40.57,20.57,15.39
