date,year,month,product,region,scenario,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Snacks,North America,Base,Grocery,1.0,1.0457,0.9937,1.0033,0.1659,0.77,0,99121.0,11.08,1098671.17,572642.07,526029.11,87893.69,131840.54,306294.87,75.0,306219.87,30.0,76547.47,229642.41
2023-01-01,2023,1,Snacks,North America,Base,Mass Retail,1.0,1.0457,0.9937,1.0033,0.1723,0.7722,0,99399.0,11.06,1099551.71,573101.01,526450.7,87964.14,131946.21,306540.36,75.0,306465.36,30.0,76608.84,229826.52
2023-01-01,2023,1,Snacks,North America,Base,Club,1.0,1.0457,0.9937,1.0033,0.3774,0.8482,0,109188.0,10.34,1129458.82,588689.0,540769.82,90356.71,135535.06,314878.06,75.0,314803.06,30.0,78693.26,236079.79
2023-01-01,2023,1,Snacks,North America,Base,E-Commerce,1.0,1.0457,0.9937,1.0033,0.3053,0.82,0,105565.0,10.6,1118620.19,583039.76,535580.43,89489.62,134234.42,311856.39,75.0,311781.39,30.0,77937.85,233813.55
2023-01-01,2023,1,Snacks,North America,Base,Drug,1.0,1.0457,0.9937,1.0033,0.1287,0.7575,0,97512.0,11.21,1093543.93,569969.68,523574.25,87483.51,131225.27,304865.47,75.0,304790.47,30.0,76190.12,228570.35
2023-01-01,2023,1,Snacks,North America,Base,Convenience,1.0,1.0457,0.9937,1.0033,0.0373,0.7283,0,93750.0,11.53,1081320.63,563598.73,517721.9,86505.65,129758.48,301457.77,75.0,301382.77,30.0,75338.19,226014.58
2023-01-01,2023,1,Snacks,North America,Optimistic,Grocery,1.0,1.0457,0.9937,1.0033,0.1133,0.7115,0,91594.0,12.96,1186924.83,618641.05,568283.78,94953.99,142430.98,330898.82,75.0,330823.82,30.0,82698.45,248095.36
2023-01-01,2023,1,Snacks,North America,Optimistic,Mass Retail,1.0,1.0457,0.9937,1.0033,0.1178,0.7129,0,91773.0,12.94,1187587.4,618986.39,568601.01,95006.99,142510.49,331083.53,75.0,331008.53,30.0,82744.63,248233.9
2023-01-01,2023,1,Snacks,North America,Optimistic,Club,1.0,1.0457,0.9937,1.0033,0.3,0.7736,0,99581.0,12.21,1215618.57,633596.61,582021.96,97249.49,145874.23,338898.25,75.0,338823.25,30.0,84698.31,254094.94
2023-01-01,2023,1,Snacks,North America,Optimistic,E-Commerce,1.0,1.0457,0.9937,1.0033,0.4305,0.8227,0,105904.0,11.68,1237190.48,644840.17,592350.3,98975.24,148462.86,344912.21,75.0,344837.21,30.0,86201.8,258605.41
2023-01-01,2023,1,Snacks,North America,Optimistic,Drug,1.0,1.0457,0.9937,1.0033,0.0595,0.6952,0,89495.0,13.17,1179089.21,614557.02,564532.19,94327.14,141490.71,328714.35,75.0,328639.35,30.0,82152.34,246457.01
2023-01-01,2023,1,Snacks,North America,Optimistic,Convenience,1.0,1.0457,0.9937,1.0033,0.1612,0.7266,0,93535.0,12.77,1194057.51,622358.69,571698.81,95524.6,143286.9,332887.31,75.0,332812.31,30.0,83195.58,249586.73
2023-01-01,2023,1,Snacks,North America,Pessimistic,Grocery,1.0,1.0457,0.9937,1.0033,0.3529,0.9077,0,116850.0,8.55,999365.52,520882.64,478482.89,79949.24,119923.86,278609.78,75.0,278534.78,30.0,69626.2,208878.59
2023-01-01,2023,1,Snacks,North America,Pessimistic,Mass Retail,1.0,1.0457,0.9937,1.0033,0.127,0.8195,0,105491.0,9.2,970588.26,505883.54,464704.72,77647.06,116470.59,270587.07,75.0,270512.07,30.0,67620.52,202861.55
2023-01-01,2023,1,Snacks,North America,Pessimistic,Club,1.0,1.0457,0.9937,1.0033,0.289,0.8812,0,113431.0,8.74,990922.42,516481.98,474440.44,79273.79,118910.69,276255.96,75.0,276180.96,30.0,69037.74,207113.22
2023-01-01,2023,1,Snacks,North America,Pessimistic,E-Commerce,1.0,1.0457,0.9937,1.0033,0.2594,0.8693,0,111907.0,8.82,987099.02,514489.17,472609.85,78967.92,118451.88,275190.05,75.0,275115.05,30.0,68771.26,206313.78
2023-01-01,2023,1,Snacks,North America,Pessimistic,Drug,1.0,1.0457,0.9937,1.0033,0.2536,0.867,0,111611.0,8.84,986353.16,514100.42,472252.74,78908.25,118362.38,274982.11,75.0,274907.11,30.0,68719.28,206157.83
2023-01-01,2023,1,Snacks,North America,Pessimistic,Convenience,1.0,1.0457,0.9937,1.0033,0.1458,0.8263,0,106363.0,9.15,972872.93,507074.34,465798.58,77829.83,116744.75,271224.0,75.0,271149.0,30.0,67779.75,203339.25
2023-01-01,2023,1,Snacks,North America,Stress Test,Grocery,1.0,1.0457,0.9937,1.0033,0.0953,0.887,0,114178.0,7.37,840973.77,438326.74,402647.03,67277.9,100916.85,234452.27,75.0,234377.27,30.0,58586.82,175760.46
2023-01-01,2023,1,Snacks,North America,Stress Test,Mass Retail,1.0,1.0457,0.9937,1.0033,0.1556,0.9106,0,117226.0,7.23,847325.99,441637.6,405688.38,67786.08,101679.12,236223.19,75.0,236148.19,30.0,59029.55,177088.64
2023-01-01,2023,1,Snacks,North America,Stress Test,Club,1.0,1.0457,0.9937,1.0033,0.2659,0.9568,0,123169.0,6.98,859384.39,447922.6,411461.79,68750.75,103126.13,239584.91,75.0,239509.91,30.0,59869.98,179609.93
2023-01-01,2023,1,Snacks,North America,Stress Test,E-Commerce,1.0,1.0457,0.9937,1.0033,0.0282,0.8619,0,110947.0,7.52,834103.24,434745.73,399357.51,66728.26,100092.39,232536.86,75.0,232461.86,30.0,58107.97,174323.9
2023-01-01,2023,1,Snacks,North America,Stress Test,Drug,1.0,1.0457,0.9937,1.0033,0.5408,1.0,1,128729.0,6.35,817687.49,426189.62,391497.87,65415.0,98122.5,227960.37,75.0,227885.37,30.0,56963.84,170891.53
2023-01-01,2023,1,Snacks,North America,Stress Test,Convenience,1.0,1.0457,0.9937,1.0033,0.0175,0.858,0,110449.0,7.54,833032.62,434187.71,398844.91,66642.61,99963.91,232238.39,75.0,232163.39,30.0,58033.35,174100.04
2023-01-01,2023,1,Snacks,Europe,Base,Grocery,1.0,1.0457,1.0905,1.0033,0.0315,0.7265,0,93519.0,11.55,1080558.9,563201.7,517357.19,86444.71,129667.07,301245.41,75.0,301170.41,30.0,75285.1,225855.31
2023-01-01,2023,1,Snacks,Europe,Base,Mass Retail,1.0,1.0457,1.0905,1.0033,0.0837,0.7429,0,95628.0,11.37,1087465.48,566801.51,520663.97,86997.24,130495.86,303170.88,75.0,303095.88,30.0,75766.47,227299.41
2023-01-01,2023,1,Snacks,Europe,Base,Club,1.0,1.0457,1.0905,1.0033,0.1329,0.7589,0,97692.0,11.2,1094123.23,570271.61,523851.61,87529.86,131294.79,305026.97,75.0,304951.97,30.0,76230.49,228691.48
2023-01-01,2023,1,Snacks,Europe,Base,E-Commerce,1.0,1.0457,1.0905,1.0033,0.1759,0.7734,0,99560.0,11.05,1100058.5,573365.16,526693.34,88004.68,132007.02,306681.64,75.0,306606.64,30.0,76644.16,229932.48
2023-01-01,2023,1,Snacks,Europe,Base,Drug,1.0,1.0457,1.0905,1.0033,0.1799,0.7748,0,99736.0,11.04,1100613.96,573654.67,526959.29,88049.12,132073.68,306836.5,75.0,306761.5,30.0,76682.87,230048.62
2023-01-01,2023,1,Snacks,Europe,Base,Convenience,1.0,1.0457,1.0905,1.0033,0.1935,0.7795,0,100343.0,10.99,1102524.82,574650.64,527874.18,88201.99,132302.98,307369.22,75.0,307294.22,30.0,76816.05,230448.16
2023-01-01,2023,1,Snacks,Europe,Optimistic,Grocery,1.0,1.0457,1.0905,1.0033,0.1082,0.7099,0,91391.0,12.98,1186174.15,618249.78,567924.37,94893.93,142340.9,330689.54,75.0,330614.54,30.0,82646.13,247938.4
2023-01-01,2023,1,Snacks,Europe,Optimistic,Mass Retail,1.0,1.0457,1.0905,1.0033,0.4466,0.8291,0,106736.0,11.62,1239959.53,646283.44,593676.09,99196.76,148795.14,345684.18,75.0,345609.18,30.0,86394.8,259184.39
2023-01-01,2023,1,Snacks,Europe,Optimistic,Club,1.0,1.0457,1.0905,1.0033,0.1503,0.7231,0,93087.0,12.81,1192423.4,621506.98,570916.43,95393.87,143090.81,332431.75,75.0,332356.75,30.0,83081.69,249245.06
2023-01-01,2023,1,Snacks,Europe,Optimistic,E-Commerce,1.0,1.0457,1.0905,1.0033,0.1835,0.7338,0,94463.0,12.68,1197432.03,624117.54,573314.49,95794.56,143691.84,333828.08,75.0,333753.08,30.0,83430.77,250292.31
2023-01-01,2023,1,Snacks,Europe,Optimistic,Drug,1.0,1.0457,1.0905,1.0033,0.067,0.6974,0,89782.0,13.14,1180168.66,615119.64,565049.02,94413.49,141620.24,329015.29,75.0,328940.29,30.0,82227.57,246682.72
2023-01-01,2023,1,Snacks,Europe,Optimistic,Convenience,1.0,1.0457,1.0905,1.0033,0.1586,0.7258,0,93427.0,12.78,1193665.04,622154.14,571510.91,95493.2,143239.81,332777.9,75.0,332702.9,30.0,83168.22,249504.67
2023-01-01,2023,1,Snacks,Europe,Pessimistic,Grocery,1.0,1.0457,1.0905,1.0033,0.3839,0.9211,0,118572.0,8.46,1003551.55,523064.45,480487.1,80284.12,120426.19,279776.79,75.0,279701.79,30.0,69917.95,209753.84
2023-01-01,2023,1,Snacks,Europe,Pessimistic,Mass Retail,1.0,1.0457,1.0905,1.0033,0.3561,0.9091,0,117027.0,8.54,999797.6,521107.84,478689.76,79983.81,119975.71,278730.24,75.0,278655.24,30.0,69656.31,208968.93
2023-01-01,2023,1,Snacks,Europe,Pessimistic,Club,1.0,1.0457,1.0905,1.0033,0.3282,0.8973,0,115507.0,8.62,996070.26,519165.1,476905.16,79685.62,119528.43,277691.11,75.0,277616.11,30.0,69396.53,208189.58
2023-01-01,2023,1,Snacks,Europe,Pessimistic,E-Commerce,1.0,1.0457,1.0905,1.0033,0.1899,0.8425,0,108457.0,9.02,978307.42,509906.87,468400.55,78264.59,117396.89,272739.06,75.0,272664.06,30.0,68158.52,204475.55
2023-01-01,2023,1,Snacks,Europe,Pessimistic,Drug,1.0,1.0457,1.0905,1.0033,0.1819,0.8395,0,108073.0,9.04,977317.42,509390.87,467926.55,78185.39,117278.09,272463.06,75.0,272388.06,30.0,68089.52,204268.55
2023-01-01,2023,1,Snacks,Europe,Pessimistic,Convenience,1.0,1.0457,1.0905,1.0033,0.3327,0.8992,0,115753.0,8.61,996675.72,519480.67,477195.04,79734.06,119601.09,277859.9,75.0,277784.9,30.0,69438.73,208316.18
2023-01-01,2023,1,Snacks,Europe,Stress Test,Grocery,1.0,1.0457,1.0905,1.0033,0.1403,0.9045,0,116440.0,7.26,845700.39,440790.32,404910.07,67656.03,101484.05,235769.99,75.0,235694.99,30.0,58916.25,176748.74
2023-01-01,2023,1,Snacks,Europe,Stress Test,Mass Retail,1.0,1.0457,1.0905,1.0033,0.2691,0.9582,0,123346.0,6.97,859736.8,448106.29,411630.52,68778.94,103168.42,239683.16,75.0,239608.16,30.0,59894.54,179683.62
2023-01-01,2023,1,Snacks,Europe,Stress Test,Club,1.0,1.0457,1.0905,1.0033,0.2232,0.9384,0,120805.0,7.07,854638.13,445448.79,409189.34,68371.05,102556.58,238261.72,75.0,238186.72,30.0,59539.18,178617.54
2023-01-01,2023,1,Snacks,Europe,Stress Test,E-Commerce,1.0,1.0457,1.0905,1.0033,0.2002,0.9288,0,119567.0,7.13,852127.61,444140.27,407987.34,68170.21,102255.31,237561.82,75.0,237486.82,30.0,59364.2,178092.61
2023-01-01,2023,1,Snacks,Europe,Stress Test,Drug,1.0,1.0457,1.0905,1.0033,0.3366,0.9886,1,127256.0,6.82,867436.96,452119.71,415317.25,69394.96,104092.44,241829.86,75.0,241754.86,30.0,60431.21,181293.64
2023-01-01,2023,1,Snacks,Europe,Stress Test,Convenience,1.0,1.0457,1.0905,1.0033,0.0591,0.8733,0,112416.0,7.45,837244.29,436382.89,400861.4,66979.54,100469.31,233412.54,75.0,233337.54,30.0,58326.89,174980.66
2023-01-01,2023,1,Snacks,Asia Pacific,Base,Grocery,1.0,1.0457,0.7302,1.0033,0.2322,0.7931,0,102098.0,10.85,1107998.66,577503.67,530494.98,88639.89,132959.84,308895.25,75.0,308820.25,30.0,77197.56,231592.69
2023-01-01,2023,1,Snacks,Asia Pacific,Base,Mass Retail,1.0,1.0457,0.7302,1.0033,0.4098,0.8614,0,110885.0,10.23,1134447.35,591289.08,543158.26,90755.79,136133.68,316268.79,75.0,316193.79,30.0,79040.95,237122.85
2023-01-01,2023,1,Snacks,Asia Pacific,Base,Club,1.0,1.0457,0.7302,1.0033,0.1693,0.7711,0,99268.0,11.07,1099135.6,572884.13,526251.47,87930.85,131896.27,306424.35,75.0,306349.35,30.0,76579.84,229739.51
2023-01-01,2023,1,Snacks,Asia Pacific,Base,E-Commerce,1.0,1.0457,0.7302,1.0033,0.2291,0.792,0,101956.0,10.86,1107560.12,577275.1,530285.02,88604.81,132907.21,308772.99,75.0,308697.99,30.0,77167.0,231501.0
2023-01-01,2023,1,Snacks,Asia Pacific,Base,Drug,1.0,1.0457,0.7302,1.0033,0.1905,0.7784,0,100206.0,11.0,1102093.33,574425.74,527667.59,88167.47,132251.2,307248.92,75.0,307173.92,30.0,76785.98,230357.94
2023-01-01,2023,1,Snacks,Asia Pacific,Base,Convenience,1.0,1.0457,0.7302,1.0033,0.1446,0.7628,0,98192.0,11.16,1095718.8,571103.25,524615.55,87657.5,131486.26,305471.79,75.0,305396.79,30.0,76341.7,229025.09
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,Grocery,1.0,1.0457,0.7302,1.0033,0.0485,0.692,0,89075.0,13.22,1177504.97,613731.29,563773.68,94200.4,141300.6,328272.68,75.0,328197.68,30.0,82041.92,246125.76
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,Mass Retail,1.0,1.0457,0.7302,1.0033,0.0736,0.6994,0,90036.0,13.12,1181123.71,615617.43,565506.29,94489.9,141734.85,329281.54,75.0,329206.54,30.0,82294.14,246882.41
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,Club,1.0,1.0457,0.7302,1.0033,0.2828,0.7675,0,98797.0,12.28,1212877.38,632167.86,580709.52,97030.19,145545.29,338134.04,75.0,338059.04,30.0,84507.26,253521.78
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,E-Commerce,1.0,1.0457,0.7302,1.0033,0.6713,0.9287,0,119553.0,10.71,1280792.82,667566.3,613226.53,102463.43,153695.14,357067.96,75.0,356992.96,30.0,89240.74,267722.22
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,Drug,1.0,1.0457,0.7302,1.0033,0.0877,0.7037,0,90582.0,13.06,1183165.47,616681.62,566483.85,94653.24,141979.86,329850.76,75.0,329775.76,30.0,82436.44,247309.32
2023-01-01,2023,1,Snacks,Asia Pacific,Optimistic,Convenience,1.0,1.0457,0.7302,1.0033,0.0835,0.7024,0,90420.0,13.08,1182560.3,616366.19,566194.1,94604.82,141907.24,329682.04,75.0,329607.04,30.0,82394.26,247182.78
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,Grocery,1.0,1.0457,0.7302,1.0033,0.2378,0.8608,0,110814.0,8.88,984333.8,513047.9,471285.9,78746.7,118120.06,274419.14,75.0,274344.14,30.0,68578.53,205735.6
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,Mass Retail,1.0,1.0457,0.7302,1.0033,0.2246,0.8557,0,110154.0,8.92,982655.21,512173.0,470482.21,78612.42,117918.63,273951.17,75.0,273876.17,30.0,68461.54,205384.63
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,Club,1.0,1.0457,0.7302,1.0033,0.2521,0.8664,0,111533.0,8.84,986155.11,513997.19,472157.92,78892.41,118338.61,274926.9,75.0,274851.9,30.0,68705.47,206116.42
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,E-Commerce,1.0,1.0457,0.7302,1.0033,0.2259,0.8562,0,110219.0,8.92,982823.1,512260.5,470562.6,78625.85,117938.77,273997.98,75.0,273922.98,30.0,68473.24,205419.73
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,Drug,1.0,1.0457,0.7302,1.0033,0.1166,0.8158,0,105013.0,9.23,969329.5,505227.46,464102.04,77546.36,116319.54,270236.14,75.0,270161.14,30.0,67532.78,202598.35
2023-01-01,2023,1,Snacks,Asia Pacific,Pessimistic,Convenience,1.0,1.0457,0.7302,1.0033,0.1469,0.8266,0,106412.0,9.14,973000.41,507140.79,465859.62,77840.03,116760.05,271259.54,75.0,271184.54,30.0,67788.64,203365.91
2023-01-01,2023,1,Snacks,Asia Pacific,Stress Test,Grocery,1.0,1.0457,0.7302,1.0033,0.2562,0.9526,0,122623.0,7.0,858294.62,447354.6,410940.02,68663.57,102995.35,239281.1,75.0,239206.1,30.0,59794.02,179382.07
