date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,15403117.0,174925112.82,91173301.15,83751811.68,13994009.04,20991013.59,48766789.08,11250.0,48755539.08,4500.0,12187759.78,36563279.37,47.88,27.88,20.9
2023-02-01,2023,2,Base,14463478.0,165784482.8,86749970.22,79034512.64,13262758.59,19894137.87,45877616.12,11250.0,45866366.12,4500.0,11465466.48,34396399.56,47.67,27.67,20.75
2023-03-01,2023,3,Base,15142728.0,173214746.11,90879011.15,82335734.9,13857179.64,20785769.57,47692785.7,11250.0,47681535.7,4500.0,11919258.94,35757776.78,47.53,27.53,20.64
2023-04-01,2023,4,Base,15787802.0,180292875.93,95127308.98,85165566.93,14423430.11,21635145.07,49106991.76,11250.0,49095741.76,4500.0,12272810.43,36818431.31,47.24,27.24,20.42
2023-05-01,2023,5,Base,14118791.0,162653297.74,86001918.75,76651378.84,13012263.79,19518395.76,44120719.39,11250.0,44109469.39,4500.0,11026242.32,33078727.0,47.13,27.13,20.34
2023-06-01,2023,6,Base,13545352.0,155097871.45,82297470.67,72800400.8,12407829.69,18611744.55,41780826.51,11250.0,41769576.51,4500.0,10441269.14,31323807.37,46.94,26.94,20.2
2023-07-01,2023,7,Base,13891259.0,160032606.95,85605786.13,74426820.89,12802608.56,19203912.84,42420299.46,11250.0,42409049.46,4500.0,10601137.35,31803412.07,46.51,26.51,19.87
2023-08-01,2023,8,Base,13961925.0,160485579.91,85987284.94,74498295.0,12838846.33,19258269.57,42401179.0,11250.0,42389929.0,4500.0,10596357.3,31789071.77,46.42,26.42,19.81
2023-09-01,2023,9,Base,14254226.0,163367039.55,87750330.71,75616708.86,13069363.15,19604044.72,42943300.92,11250.0,42932050.92,4500.0,10731887.77,32195663.22,46.29,26.29,19.71
2023-10-01,2023,10,Base,13801788.0,158772572.65,85060657.44,73711915.11,12701805.83,19052708.72,41957400.73,11250.0,41946150.73,4500.0,10485412.66,31456238.01,46.43,26.43,19.81
2023-11-01,2023,11,Base,14629006.0,168496298.71,90675436.27,77820862.46,13479703.9,20219555.88,44121602.71,11250.0,44110352.71,4500.0,11026463.18,33079389.59,46.19,26.19,19.63
2023-12-01,2023,12,Base,15135767.0,175059236.52,94374875.1,80684361.42,14004738.91,21007108.38,45672514.13,11250.0,45661264.13,4500.0,11414191.07,34242573.15,46.09,26.09,19.56
2024-01-01,2024,1,Base,15195452.0,175013808.33,94866245.84,80147562.48,14001104.72,21001657.06,45144800.85,11250.0,45133550.85,4500.0,11282262.71,33846788.14,45.79,25.79,19.34
