date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2023-01-01,2023,1,Base,634781.0,7041186.68,3669960.39,3371226.31,563294.93,844942.41,1962988.97,45000.0,1917988.97,18000.0,474997.24,1424991.72,47.88,27.88,20.24
2023-02-01,2023,2,Base,618379.0,6750634.62,3532702.39,3217932.21,540050.77,810076.16,1867805.29,45000.0,1822805.29,18000.0,451201.34,1353603.98,47.67,27.67,20.05
2023-03-01,2023,3,Base,623292.0,6956979.6,3650849.17,3306130.44,556558.36,834837.56,1914734.52,45000.0,1869734.52,18000.0,462933.63,1388800.89,47.52,27.52,19.96
2023-04-01,2023,4,Base,665464.0,7306093.29,3858895.22,3447198.06,584487.46,876731.19,1985979.4,45000.0,1940979.4,18000.0,480744.86,1442234.56,47.18,27.18,19.74
2023-05-01,2023,5,Base,591758.0,6585242.71,3484801.59,3100441.1,526819.41,790229.12,1783392.57,45000.0,1738392.57,18000.0,430098.14,1290294.42,47.08,27.08,19.59
2023-06-01,2023,6,Base,572901.0,6294164.9,3348796.38,2945368.5,503533.19,755299.78,1686535.54,45000.0,1641535.54,18000.0,405883.88,1217651.66,46.8,26.8,19.35
2023-07-01,2023,7,Base,586543.0,6491001.23,3497954.07,2993047.16,519280.11,778920.14,1694846.9,45000.0,1649846.9,18000.0,407961.72,1223885.19,46.11,26.11,18.86
2023-08-01,2023,8,Base,559529.0,6420726.91,3472231.71,2948495.22,513658.16,770487.23,1664349.83,45000.0,1619349.83,18000.0,400337.46,1201012.38,45.92,25.92,18.71
2023-09-01,2023,9,Base,589867.0,6584129.13,3565749.41,3018379.73,526730.32,790095.5,1701553.9,45000.0,1656553.9,18000.0,409638.47,1228915.41,45.84,25.84,18.66
2023-10-01,2023,10,Base,589080.0,6450537.45,3468444.85,2982092.6,516042.98,774064.5,1691985.1,45000.0,1646985.1,18000.0,407246.28,1221738.82,46.23,26.23,18.94
2023-11-01,2023,11,Base,622575.0,6854660.11,3717075.95,3137584.17,548372.82,822559.22,1766652.14,45000.0,1721652.14,18000.0,425913.03,1277739.12,45.77,25.77,18.64
2023-12-01,2023,12,Base,634872.0,7088034.61,3854775.96,3233258.65,567042.77,850564.16,1815651.73,45000.0,1770651.73,18000.0,438162.94,1314488.8,45.62,25.62,18.55
2024-01-01,2024,1,Base,645053.0,7115681.92,3904421.69,3211260.22,569254.56,853881.83,1788123.85,45000.0,1743123.85,18000.0,431280.95,1293842.88,45.13,25.13,18.18
2024-02-01,2024,2,Base,655200.0,7365455.01,4042742.8,3322712.22,589236.39,883854.6,1849621.2,45000.0,1804621.2,18000.0,446655.32,1339965.93,45.11,25.11,18.19
2024-03-01,2024,3,Base,680474.0,7471297.38,4094408.51,3376888.85,597703.79,896555.69,1882629.37,45000.0,1837629.37,18000.0,454907.34,1364722.03,45.2,25.2,18.27
2024-04-01,2024,4,Base,617737.0,6988078.34,3839250.45,3148827.89,559046.28,838569.4,1751212.21,45000.0,1706212.21,18000.0,422053.06,1266159.17,45.06,25.06,18.12
2024-05-01,2024,5,Base,615105.0,7050550.72,3882833.05,3167717.69,564044.06,846066.09,1757607.54,45000.0,1712607.54,18000.0,423651.88,1270955.66,44.93,24.93,18.03
2024-06-01,2024,6,Base,579479.0,6682706.15,3684845.55,2997860.6,534616.49,801924.74,1661319.38,45000.0,1616319.38,18000.0,399579.85,1198739.54,44.86,24.86,17.94
2024-07-01,2024,7,Base,648650.0,7122410.57,3931707.33,3190703.26,569792.84,854689.27,1766221.13,45000.0,1721221.13,18000.0,425805.29,1277415.86,44.8,24.8,17.94
2024-08-01,2024,8,Base,603535.0,6946367.75,3854909.66,3091458.09,555709.42,833564.13,1702184.54,45000.0,1657184.54,18000.0,409796.14,1229388.4,44.5,24.5,17.7
2024-09-01,2024,9,Base,614517.0,6931991.09,3843702.17,3088288.93,554559.29,831838.93,1701890.72,45000.0,1656890.72,18000.0,409722.68,1229168.04,44.55,24.55,17.73
2024-10-01,2024,10,Base,573797.0,6630518.8,3691488.64,2939030.16,530441.5,795662.26,1612926.4,45000.0,1567926.4,18000.0,387481.6,1162444.8,44.33,24.33,17.53
2024-11-01,2024,11,Base,607136.0,7054618.19,3971990.15,3082628.03,564369.45,846554.19,1671704.4,45000.0,1626704.4,18000.0,402176.1,1206528.3,43.7,23.7,17.1
2024-12-01,2024,12,Base,591958.0,6921253.83,3928088.54,2993165.3,553700.3,830550.45,1608914.53,45000.0,1563914.53,18000.0,386478.63,1159435.9,43.25,23.25,16.75
